CG001Qv42Run260,210118_M02558_0435_000000000-JGL96
CG001Qv42Run261,210108_M03829_0394_000000000-JFPGJ
CG001Qv42Run263,210113_M02558_0433_000000000-JFPRN
CG001Qv42Run264,210112_M02558_0432_000000000-JFNDL
CG001Qv42Run265,210115_M03829_0397_000000000-JFVB5
CG001Qv42Run266,210114_M02558_0434_000000000-JFLR3
CG001Qv42Run267,210119_M03829_0398_000000000-JGKNG
CG001Qv42Run268,210125_M03829_0401_000000000-JGLHG
CG001Qv42Run269,210121_M02558_0437_000000000-JGGD9
CG001Qv42Run270,210122_M02558_0438_000000000-JFLRB
CG001Qv42Run271,210122_M03829_0400_000000000-JGLCD
CG001Qv42Run272,210126_M02558_0440_000000000-JGKP3
CG001Qv42Run273,210128_M02558_0441_000000000-JFLPC
CG001Qv42Run274,210202_M03829_0405_000000000-JFLCH
CG001Qv42Run275,210204_M03829_0406_000000000-JGKNY
