CG001Qv51Run050,210119_M02558_0436_000000000-JGTYY
CG001Qv51Run051,210121_M03829_0399_000000000-JGLJ8
CG001Qv51Run052,210125_M02558_0439_000000000-JFMCN
CG001Qv51Run053,210129_M03829_0403_000000000-JFNC7
CG001Qv51Run055,210201_M02558_0442_000000000-JFLPW
CG001Qv51Run057,210201_M03829_0404_000000000-JFLPD
CG001Qv51Run059,210204_M02558_0444_000000000-JGLDF
CG001Qv51Next023,210119_NB551381_0109_AHJM5FAFX2
CG001Qv51Next024,210121_NB551381_0110_AHJM5HAFX2
CG001Qv51Next025,210125_NB551381_0111_AHJLY3AFX2
CG001Qv51Next026,210129_NB551381_0114_AHKFMWAFX2
CG001Qv51Next028,210126_NB551381_0112_AHKFT5AFX2
CG001Qv51Next031,210204_NB551381_0117_AHMHYCAFX2
CG001Qv51Next032,210205_NB551381_0118_AHMHT3AFX2
