Run,ID
CG001Qv51Run016,200821_M03829_0351_000000000-J8M8P
CG001Qv51Run018,200829_M02558_0392_000000000-JB87N
CG001Qv51Run019,200831_M02558_0393_000000000-CG9MY
CG001Qv51Run020,200908_M03829_0355_000000000-JB7C6
CG001Qv51Run021,200908_M02558_0395_000000000-JB7BV
CG001Qv51Run023,200915_M02558_0398_000000000-JB9CP
CG001Qv51Run024,200922_M03829_0359_000000000-JB7C7
CG001Qv51Run025,200925_M03829_0360_000000000-JB8RF
CG001Qv51Run026,200928_M02558_0402_000000000-JB8BD
CG001Qv51Run027,200929_M02558_0403_000000000-JB7CJ
CG001Qv51Run028,201001_M02558_0404_000000000-J88TH
CG001Qv51Run029,201002_M02558_0405_000000000-J9CR5
CG001Qv51Run030,201006_M03829_0363_000000000-JBTYV
CG001Qv51Run031,201007_M02558_0407_000000000-JBTMY
CG001Qv51Run032,201008_M03829_0364_000000000-JB89D
CG001Qv51Run033,201009_M02558_0408_000000000-JC7G8
CG001Qv51Run034,201022_M03829_0369_000000000-JBV6G
CG001Qv51Run035,201016_M03829_0367_000000000-JC7CC
CG001Qv51Run036,201019_M03829_0368_000000000-JC7DH
CG001Qv51Run037,201016_M02558_0409_000000000-JC7LG
CG001Qv51Run038,201028_M02558_0413_000000000-JC72Y
CG001Qv51Run039,201022_M02558_0412_000000000-JBTYH
CG001Qv51Run040,201030_M02558_0414_000000000-JC7CV
CG001Qv51Run042,201117_M02558_0417_000000000-JC7C6
CG001Qv51Run043,201123_M03829_0381_000000000-CFR4F
CG001Qv51Run044,201123_M02558_0418_000000000-JDLBP
CG001Qv51Run045,201210_M03829_0387_000000000-JDJGL
CG001Qv51Run046,201214_M02558_0424_000000000-JDJ5L
CG001Qv51Next001,200831_NB551381_0081_AHFY5KAFX2
CG001Qv51Next002,201002_NB551381_0087_AHFW2FAFX2
CG001Qv51Next003,201007_NB551381_0088_AHFYYHAFX2
CG001Qv51Next004,201009_NB551381_0089_AHFWCMAFX2
CG001Qv51Next005,201013_NB551381_0090_AHFW2GAFX2
CG001Qv51Next006,201016_NB551381_0091_AHFW22AFX2
CG001Qv51Next007,201023_NB551381_0093_AHFWLJAFX2
CG001Qv51Next008,201026_NB551381_0094_AHHH73AFX2
CG001Qv51Next009,201027_NB551381_0095_AHHGYHAFX2
CG001Qv51Next010,201029_NB551381_0096_AHHKM7AFX2
CG001Qv51Next011,201102_NB551381_0097_AHHKHWAFX2
CG001Qv51Next012,201104_NB551381_0098_AHHKK5AFX2
CG001Qv51Next013,201112_NB551381_0099_AHJM32AFX2
CG001Qv51Next014,201117_NB551381_0100_AHJKK3AFX2
CG001Qv51Next015,201120_NB551381_0101_AHJLKMAFX2
CG001Qv51Next016,201123_NB551381_0102_AHJLHYAFX2
CG001Qv51Next017,201125_NB551381_0103_AHJLHWAFX2
CG001Qv51Next018,201127_NB551381_0104_AHJLGGAFX2
CG001Qv51Next019,201130_NB551381_0105_AHJLL7AFX2
CG001Qv51Next020,201202_NB551381_0106_AHJLHLAFX2
CG001Qv51Next021,201207_NB551381_0107_AHJLJYAFX2
CG001Qv51Next022,201214_NB551381_0108_AHJLLFAFX2
