DNA-25951-CG001Qv42Run255-10_S10.CG001v3.4.5	ratio of unmerged reads:0.07
DNA-25951-CG001Qv42Run255-10_S10.CG001v3.4.130	no read
DNA-25951-CG001Qv42Run255-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:82067 0.04858
DNA-25951-CG001Qv42Run255-17_S17.CG001v3.4.5	ratio of unmerged reads:0.07
DNA-25951-CG001Qv42Run255-17_S17.CG001v3.4.130	no read
DNA-25951-CG001Qv42Run255-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:202872 0.04725
DNA-25951-CG001Qv42Run255-24_S24.CG001v3.4.130	no read
DNA-25951-CG001Qv42Run255-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:109703 0.04734
DNA-25952-CG001Qv42Run255-11_S11.CG001v3.4.130	no read
DNA-25952-CG001Qv42Run255-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:128575 0.04741
DNA-25952-CG001Qv42Run255-18_S18.CG001v3.4.130	no read
DNA-25952-CG001Qv42Run255-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:98036 0.04817
DNA-25952-CG001Qv42Run255-4_S4.CG001v3.4.5	ratio of unmerged reads:0.12
DNA-25952-CG001Qv42Run255-4_S4.CG001v3.4.130	no read
DNA-25952-CG001Qv42Run255-4_S4.CG001v4.0.40	ratio of unmerged reads:0.06
DNA-25952-CG001Qv42Run255-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:71505 0.04674
DNA-25953-CG001Qv42Run255-12_S12.CG001v3.4.130	no read
DNA-25953-CG001Qv42Run255-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:132344 0.04746
DNA-25953-CG001Qv42Run255-19_S19.CG001v3.4.130	no read
DNA-25953-CG001Qv42Run255-19_S19.CG001v4.0.40	ratio of unmerged reads:0.06
DNA-25953-CG001Qv42Run255-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:233974 0.04699
DNA-25953-CG001Qv42Run255-5_S5.CG001v3.4.5	ratio of unmerged reads:0.09
DNA-25953-CG001Qv42Run255-5_S5.CG001v3.4.130	no read
DNA-25953-CG001Qv42Run255-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:151286 0.05373
DNA-25954-CG001Qv42Run255-13_S13.CG001v3.4.130	no read
DNA-25954-CG001Qv42Run255-13_S13.CG001v4.0.40	ratio of unmerged reads:0.06
DNA-25954-CG001Qv42Run255-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:167819 0.04713
DNA-25954-CG001Qv42Run255-20_S20.CG001v3.4.130	no read
DNA-25954-CG001Qv42Run255-20_S20.CG001v4.0.40	ratio of unmerged reads:0.06
DNA-25954-CG001Qv42Run255-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:34476 0.04481
DNA-25954-CG001Qv42Run255-6_S6.CG001v3.4.5	ratio of unmerged reads:0.07
DNA-25954-CG001Qv42Run255-6_S6.CG001v3.4.130	no read
DNA-25954-CG001Qv42Run255-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:117697 0.04775
DNA-25955-CG001Qv42Run255-14_S14.CG001v3.4.130	no read
DNA-25955-CG001Qv42Run255-14_S14.CG001v4.0.40	ratio of unmerged reads:0.06
DNA-25955-CG001Qv42Run255-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:165912 0.04755
