DNA-25951-CG001Qv42Run256-10_S10.CG001v3.4.130	no read
DNA-25951-CG001Qv42Run256-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:87576 0.05143
DNA-25951-CG001Qv42Run256-17_S17.CG001v3.4.130	no read
DNA-25951-CG001Qv42Run256-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:57469 0.05226
DNA-25951-CG001Qv42Run256-24_S24.CG001v3.4.130	no read
DNA-25951-CG001Qv42Run256-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:39509 0.05414
DNA-25952-CG001Qv42Run256-11_S11.CG001v3.4.130	no read
DNA-25952-CG001Qv42Run256-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:30866 0.05109
DNA-25952-CG001Qv42Run256-18_S18.CG001v3.4.130	no read
DNA-25952-CG001Qv42Run256-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:54407 0.0507
DNA-25952-CG001Qv42Run256-4_S4.CG001v3.4.130	no read
DNA-25952-CG001Qv42Run256-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:94087 0.05249
DNA-25953-CG001Qv42Run256-12_S12.CG001v3.4.130	no read
DNA-25953-CG001Qv42Run256-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:93448 0.05247
DNA-25953-CG001Qv42Run256-19_S19.CG001v3.4.130	no read
DNA-25953-CG001Qv42Run256-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:51674 0.0502
DNA-25953-CG001Qv42Run256-5_S5.CG001v3.4.130	no read
DNA-25953-CG001Qv42Run256-5_S5.CG001v4.0.40	ratio of unmerged reads:0.06
DNA-25953-CG001Qv42Run256-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:43169 0.05033
DNA-25954-CG001Qv42Run256-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:56913 0.05298
DNA-25954-CG001Qv42Run256-20_S20.CG001v4.0.40	ratio of unmerged reads:0.06
DNA-25954-CG001Qv42Run256-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:18293 0.0491
DNA-25954-CG001Qv42Run256-6_S6.CG001v3.4.130	no read
DNA-25954-CG001Qv42Run256-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:36000 0.0494
DNA-25955-CG001Qv42Run256-14_S14.CG001v3.4.130	no read
DNA-25955-CG001Qv42Run256-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:117093 0.0516
DNA-25955-CG001Qv42Run256-21_S21.CG001v3.4.130	no read
DNA-25955-CG001Qv42Run256-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:108175 0.05385
DNA-25955-CG001Qv42Run256-7_S7.CG001v3.4.130	no read
DNA-25955-CG001Qv42Run256-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:123863 0.05015
DNA-25956-CG001Qv42Run256-15_S15.CG001v3.4.130	no read
DNA-25956-CG001Qv42Run256-15_S15.CG001v4.0.40	ratio of unmerged reads:0.06
DNA-25956-CG001Qv42Run256-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:25490 0.04975
DNA-25956-CG001Qv42Run256-22_S22.CG001v3.4.130	no read
DNA-25956-CG001Qv42Run256-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:93612 0.05204
DNA-25956-CG001Qv42Run256-8_S8.CG001v3.4.130	no read
DNA-25956-CG001Qv42Run256-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:77115 0.05301
DNA-25957-CG001Qv42Run256-16_S16.CG001v3.4.130	no read
DNA-25957-CG001Qv42Run256-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:71640 0.05096
DNA-25957-CG001Qv42Run256-23_S23.CG001v3.4.130	no read
DNA-25957-CG001Qv42Run256-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:58948 0.05166
DNA-25957-CG001Qv42Run256-9_S9.CG001v3.4.130	no read
DNA-25957-CG001Qv42Run256-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:105749 0.0516
NF-CG001Qv42Run256-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run256-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:163331 0.05108
QMRS-CG001Qv42Run256-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run256-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:65414 0.05181
