DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.130	no read
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:105889 0.0462
DNA-25987-CG001Qv42Run266-17_S17.CG001v3.4.130	no read
DNA-25987-CG001Qv42Run266-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:70568 0.04425
DNA-25987-CG001Qv42Run266-24_S24.CG001v3.4.130	no read
DNA-25987-CG001Qv42Run266-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:96670 0.04416
DNA-25992-CG001Qv42Run266-11_S11.CG001v3.4.130	no read
DNA-25992-CG001Qv42Run266-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:72985 0.04381
DNA-25992-CG001Qv42Run266-18_S18.CG001v3.4.130	no read
DNA-25992-CG001Qv42Run266-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:100426 0.04384
DNA-25992-CG001Qv42Run266-4_S4.CG001v3.4.130	no read
DNA-25992-CG001Qv42Run266-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:66946 0.04461
DNA-25997-CG001Qv42Run266-14_S14.CG001v3.4.130	no read
DNA-25997-CG001Qv42Run266-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:94842 0.04411
DNA-25997-CG001Qv42Run266-21_S21.CG001v3.4.130	no read
DNA-25997-CG001Qv42Run266-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:122602 0.04512
DNA-25997-CG001Qv42Run266-7_S7.CG001v3.4.130	no read
DNA-25997-CG001Qv42Run266-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:85926 0.04624
DNA-26200-CG001Qv42Run266-12_S12.CG001v3.4.130	no read
DNA-26200-CG001Qv42Run266-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:90224 0.0447
DNA-26200-CG001Qv42Run266-19_S19.CG001v3.4.130	no read
DNA-26200-CG001Qv42Run266-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:88506 0.04461
DNA-26200-CG001Qv42Run266-5_S5.CG001v3.4.130	no read
DNA-26200-CG001Qv42Run266-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:78774 0.04419
DNA-26201-CG001Qv42Run266-13_S13.CG001v3.4.130	no read
DNA-26201-CG001Qv42Run266-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:60546 0.04383
DNA-26201-CG001Qv42Run266-20_S20.CG001v3.4.130	no read
DNA-26201-CG001Qv42Run266-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:98325 0.04479
DNA-26201-CG001Qv42Run266-6_S6.CG001v3.4.130	no read
DNA-26201-CG001Qv42Run266-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:68642 0.04415
DNA-26202-CG001Qv42Run266-15_S15.CG001v3.4.130	no read
DNA-26202-CG001Qv42Run266-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:80402 0.04383
DNA-26202-CG001Qv42Run266-22_S22.CG001v3.4.130	no read
DNA-26202-CG001Qv42Run266-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:94191 0.04348
DNA-26202-CG001Qv42Run266-8_S8.CG001v3.4.130	no read
DNA-26202-CG001Qv42Run266-8_S8.CG001v4.0.40	ratio of unmerged reads:0.06
DNA-26202-CG001Qv42Run266-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:56710 0.04575
DNA-26207-CG001Qv42Run266-16_S16.CG001v3.4.130	no read
DNA-26207-CG001Qv42Run266-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:84477 0.04411
DNA-26207-CG001Qv42Run266-23_S23.CG001v3.4.130	no read
DNA-26207-CG001Qv42Run266-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:92262 0.04381
DNA-26207-CG001Qv42Run266-9_S9.CG001v3.4.130	no read
DNA-26207-CG001Qv42Run266-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:68531 0.04411
NF-CG001Qv42Run266-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run266-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:84918 0.04471
QMRS-CG001Qv42Run266-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run266-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:91398 0.04463
