DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.4	max/average number of variants:6 1.22
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.5	aligned_clusters:643 nb/max/average normalized_alignments:688 13 1.07
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.5	max/average number of variants:23 2.45
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.9	max/average number of variants:17 1.3
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.18	max/average number of variants:6 1.21
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.20	max/average number of variants:6 1.23
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.28	aligned_clusters:848 nb/max/average normalized_alignments:871 20 1.027
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.28	max/average number of variants:26 2.56
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.41	max/average number of variants:6 1.24
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.43	max/average number of variants:8 1.47
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.65	max/average number of variants:6 1.21
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.89	max/average number of variants:7 1.28
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.96	max/average number of variants:11 1.37
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.98	max/average number of variants:6 1.16
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.103	aligned_clusters:721 nb/max/average normalized_alignments:791 66 1.097
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.103	max/average number of variants:5 1.72
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.105	aligned_clusters:815 nb/max/average normalized_alignments:1090 40 1.337
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.105	max/average number of variants:42 16.9
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.110	max/average number of variants:12 1.33
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.125	max/average number of variants:9 1.5
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.130	no normalized_alignment
DNA-25987-CG001Qv42Run266-10_S10.CG001v3.4.130	no variant
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.8	max/average number of variants:7 1.31
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.11	aligned_clusters:434 nb/max/average normalized_alignments:495 58 1.141
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.11	max/average number of variants:8 1.97
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.19	max/average number of variants:8 1.33
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.31	aligned_clusters:593 nb/max/average normalized_alignments:608 17 1.025
DNA-25987-CG001Qv42Run266-10_S10.CG001v4.0.31	max/average number of variants:9 1.79
