DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.4	max/average number of variants:7 1.15
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.5	max/average number of variants:6 1.21
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.15	max/average number of variants:6 1.16
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.31	max/average number of variants:8 1.27
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.49	max/average number of variants:6 1.21
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.91	aligned_clusters:453 nb/max/average normalized_alignments:471 20 1.04
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.91	max/average number of variants:31 3.84
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.92	max/average number of variants:6 1.3
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.94	max/average number of variants:5 1.56
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.96	aligned_clusters:667 nb/max/average normalized_alignments:694 12 1.04
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.96	max/average number of variants:26 2.49
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.102	max/average number of variants:10 1.25
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.105	aligned_clusters:467 nb/max/average normalized_alignments:592 26 1.268
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.105	max/average number of variants:42 14.22
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.130	no normalized_alignment
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.130	no variant
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.135	max/average number of variants:3 1.51
DNA-25987-CG001Qv42Run260-10_S10.CG001v4.0.11	max/average number of variants:7 1.7
DNA-25987-CG001Qv42Run260-10_S10.CG001v4.0.34	max/average number of variants:5 1.62
DNA-25987-CG001Qv42Run260-10_S10.CG001v4.0.40	max/average number of variants:6 1.17
DNA-25987-CG001Qv42Run260-10_S10.CG001v4.0.51	max/average number of variants:4 1.6
DNA-25987-CG001Qv42Run260-10_S10.CG001v4.0.53	max/average number of variants:3 1.59
DNA-25987-CG001Qv42Run260-10_S10.CG001v4.0.57	max/average number of variants:3 1.64
DNA-25987-CG001Qv42Run260-10_S10.CG001v4.0.59	max/average number of variants:3 1.56
DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.56	max/average number of variants:7 1.74
DNA-25987-CG001Qv42Run260-17_S17.CG001v3.4.18	max/average number of variants:7 1.21
