DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.5	ratio of unmerged reads:0.08
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.130	no read
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:84902 0.04098
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.5	ratio of unmerged reads:0.06
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.130	no read
DNA-25963-CG001Qv42Run269-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:78545 0.04052
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.130	no read
DNA-25963-CG001Qv42Run269-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:73088 0.04019
DNA-25977-CG001Qv42Run269-14_S14.CG001v3.4.130	no read
DNA-25977-CG001Qv42Run269-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:81359 0.04075
DNA-25977-CG001Qv42Run269-21_S21.CG001v3.4.130	ratio of unmerged reads:1.0
DNA-25977-CG001Qv42Run269-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:95501 0.04088
DNA-25977-CG001Qv42Run269-7_S7.CG001v3.4.5	ratio of unmerged reads:0.08
DNA-25977-CG001Qv42Run269-7_S7.CG001v3.4.130	no read
DNA-25977-CG001Qv42Run269-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:77551 0.04177
DNA-25994-CG001Qv42Run269-11_S11.CG001v3.4.130	no read
DNA-25994-CG001Qv42Run269-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:73792 0.04012
DNA-25994-CG001Qv42Run269-18_S18.CG001v3.4.130	no read
DNA-25994-CG001Qv42Run269-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:71712 0.04017
DNA-25994-CG001Qv42Run269-4_S4.CG001v3.4.5	ratio of unmerged reads:0.06
DNA-25994-CG001Qv42Run269-4_S4.CG001v3.4.130	no read
DNA-25994-CG001Qv42Run269-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:76090 0.04052
DNA-26673-CG001Qv42Run269-12_S12.CG001v3.4.130	no read
DNA-26673-CG001Qv42Run269-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:91391 0.04093
DNA-26673-CG001Qv42Run269-19_S19.CG001v3.4.130	no read
DNA-26673-CG001Qv42Run269-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:73619 0.04108
DNA-26673-CG001Qv42Run269-5_S5.CG001v3.4.130	no read
DNA-26673-CG001Qv42Run269-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:80102 0.04078
DNA-26674-CG001Qv42Run269-13_S13.CG001v3.4.130	no read
DNA-26674-CG001Qv42Run269-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:74104 0.04005
DNA-26674-CG001Qv42Run269-20_S20.CG001v3.4.130	no read
DNA-26674-CG001Qv42Run269-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:79741 0.04043
DNA-26674-CG001Qv42Run269-6_S6.CG001v3.4.5	ratio of unmerged reads:0.1
DNA-26674-CG001Qv42Run269-6_S6.CG001v3.4.130	no read
DNA-26674-CG001Qv42Run269-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:63324 0.04031
DNA-26675-CG001Qv42Run269-15_S15.CG001v3.4.130	no read
DNA-26675-CG001Qv42Run269-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:74448 0.04006
DNA-26675-CG001Qv42Run269-22_S22.CG001v3.4.130	no read
DNA-26675-CG001Qv42Run269-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:76120 0.03962
DNA-26675-CG001Qv42Run269-8_S8.CG001v3.4.130	no read
DNA-26675-CG001Qv42Run269-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:68536 0.04151
DNA-26676-CG001Qv42Run269-16_S16.CG001v3.4.130	no read
DNA-26676-CG001Qv42Run269-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:85595 0.04048
DNA-26676-CG001Qv42Run269-23_S23.CG001v3.4.130	no read
DNA-26676-CG001Qv42Run269-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:79414 0.03996
DNA-26676-CG001Qv42Run269-9_S9.CG001v3.4.5	ratio of unmerged reads:0.06
DNA-26676-CG001Qv42Run269-9_S9.CG001v3.4.130	no read
DNA-26676-CG001Qv42Run269-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:73600 0.04031
NF-CG001Qv42Run269-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run269-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:91041 0.04089
QMRS-CG001Qv42Run269-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run269-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:98194 0.04081
