DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.28	aligned_clusters:718 nb/max/average normalized_alignments:740 18 1.031
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.43	max/average number of variants:7 1.44
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.49	max/average number of variants:6 1.25
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.54	max/average number of variants:6 1.25
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.91	max/average number of variants:6 1.29
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.94	max/average number of variants:5 1.53
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.102	max/average number of variants:38 1.86
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.105	aligned_clusters:695 nb/max/average normalized_alignments:856 24 1.232
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.105	max/average number of variants:42 12.37
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.106	max/average number of variants:7 1.36
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.111	max/average number of variants:6 1.24
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.122	max/average number of variants:6 1.37
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.125	max/average number of variants:3 1.53
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.130	no normalized_alignment
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.130	no variant
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.7	max/average number of variants:7 1.24
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.11	aligned_clusters:322 nb/max/average normalized_alignments:358 24 1.112
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.11	max/average number of variants:5 1.98
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.21	max/average number of variants:3 1.51
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.23	aligned_clusters:182 nb/max/average normalized_alignments:211 30 1.159
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.23	max/average number of variants:12 3.86
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.32	aligned_clusters:382 nb/max/average normalized_alignments:394 17 1.031
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.34	max/average number of variants:4 1.57
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.38	max/average number of variants:7 1.24
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.40	max/average number of variants:8 1.2
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.44	max/average number of variants:3 1.51
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.51	aligned_clusters:320 nb/max/average normalized_alignments:364 41 1.137
