DNA-24535-CG001Qv42Run261-23_S23.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-24535-CG001Qv42Run261-23_S23.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24536-CG001Qv42Run261-24_S24.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-24536-CG001Qv42Run261-24_S24.CG001v4.0.40	ratio of reads in largest cluster:0.01
DNA-24831-CG001Qv42Run261-18_S18.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-24831-CG001Qv42Run261-18_S18.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24843-CG001Qv42Run261-21_S21.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-25422-CG001Qv42Run261-17_S17.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-25422-CG001Qv42Run261-17_S17.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-25423-CG001Qv42Run261-20_S20.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-25639-CG001Qv42Run261-19_S19.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-25639-CG001Qv42Run261-19_S19.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-25640-CG001Qv42Run261-22_S22.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26077-CG001Qv42Run261-4_S4.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26116-CG001Qv42Run261-5_S5.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26116-CG001Qv42Run261-5_S5.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26117-CG001Qv42Run261-6_S6.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26117-CG001Qv42Run261-6_S6.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26166-CG001Qv42Run261-7_S7.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26166-CG001Qv42Run261-7_S7.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26167-CG001Qv42Run261-8_S8.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26167-CG001Qv42Run261-8_S8.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26168-CG001Qv42Run261-9_S9.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26168-CG001Qv42Run261-9_S9.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26169-CG001Qv42Run261-10_S10.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26169-CG001Qv42Run261-10_S10.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26170-CG001Qv42Run261-11_S11.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26170-CG001Qv42Run261-11_S11.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26171-CG001Qv42Run261-12_S12.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26171-CG001Qv42Run261-12_S12.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26172-CG001Qv42Run261-13_S13.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26172-CG001Qv42Run261-13_S13.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26173-CG001Qv42Run261-14_S14.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26173-CG001Qv42Run261-14_S14.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26174-CG001Qv42Run261-15_S15.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26175-CG001Qv42Run261-16_S16.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26175-CG001Qv42Run261-16_S16.CG001v4.0.40	ratio of reads in largest cluster:0.0
NF-CG001Qv42Run261-3_S3.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
NF-CG001Qv42Run261-3_S3.CG001v4.0.40	ratio of reads in largest cluster:0.0
QMRS-CG001Qv42Run261-2_S2.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
QMRS-CG001Qv42Run261-2_S2.CG001v4.0.40	ratio of reads in largest cluster:0.0
