DNA-24535-CG001Qv42Run261-23_S23.CG001v3.4.130	no read
DNA-24535-CG001Qv42Run261-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:170398 0.04808
DNA-24536-CG001Qv42Run261-24_S24.CG001v3.4.130	no read
DNA-24536-CG001Qv42Run261-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:137228 0.04791
DNA-24831-CG001Qv42Run261-18_S18.CG001v3.4.130	no read
DNA-24831-CG001Qv42Run261-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:164267 0.04801
DNA-24843-CG001Qv42Run261-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:212285 0.04942
DNA-25422-CG001Qv42Run261-17_S17.CG001v3.4.130	no read
DNA-25422-CG001Qv42Run261-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:167848 0.04883
DNA-25423-CG001Qv42Run261-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:213456 0.04862
DNA-25639-CG001Qv42Run261-19_S19.CG001v3.4.130	no read
DNA-25639-CG001Qv42Run261-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:154670 0.04917
DNA-25640-CG001Qv42Run261-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:198674 0.04796
DNA-26077-CG001Qv42Run261-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:139479 0.04847
DNA-26116-CG001Qv42Run261-5_S5.CG001v3.4.130	no read
DNA-26116-CG001Qv42Run261-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:192584 0.04904
DNA-26117-CG001Qv42Run261-6_S6.CG001v3.4.130	no read
DNA-26117-CG001Qv42Run261-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:162637 0.0487
DNA-26166-CG001Qv42Run261-7_S7.CG001v3.4.130	no read
DNA-26166-CG001Qv42Run261-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:179716 0.05017
DNA-26167-CG001Qv42Run261-8_S8.CG001v3.4.130	no read
DNA-26167-CG001Qv42Run261-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:132662 0.0497
DNA-26168-CG001Qv42Run261-9_S9.CG001v3.4.130	no read
DNA-26168-CG001Qv42Run261-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:206748 0.04864
DNA-26169-CG001Qv42Run261-10_S10.CG001v3.4.130	no read
DNA-26169-CG001Qv42Run261-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:205108 0.05001
DNA-26170-CG001Qv42Run261-11_S11.CG001v3.4.130	no read
DNA-26170-CG001Qv42Run261-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:185196 0.04815
DNA-26171-CG001Qv42Run261-12_S12.CG001v3.4.130	no read
DNA-26171-CG001Qv42Run261-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:194916 0.04936
DNA-26172-CG001Qv42Run261-13_S13.CG001v3.4.130	no read
DNA-26172-CG001Qv42Run261-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:149320 0.04822
DNA-26173-CG001Qv42Run261-14_S14.CG001v3.4.130	no read
DNA-26173-CG001Qv42Run261-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:238786 0.04917
DNA-26174-CG001Qv42Run261-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:182577 0.04822
DNA-26175-CG001Qv42Run261-16_S16.CG001v3.4.130	no read
DNA-26175-CG001Qv42Run261-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:163823 0.04856
NF-CG001Qv42Run261-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run261-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:174382 0.04892
QMRS-CG001Qv42Run261-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run261-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:170446 0.04903
