DNA-26352-CG001Qv42Run265-24_S24.CG001v3.4.130	no read
DNA-26352-CG001Qv42Run265-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:143712 0.04791
DNA-26353-CG001Qv42Run265-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:164814 0.04851
DNA-26354-CG001Qv42Run265-5_S5.CG001v3.4.130	no read
DNA-26354-CG001Qv42Run265-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:127962 0.04654
DNA-26355-CG001Qv42Run265-6_S6.CG001v3.4.130	no read
DNA-26355-CG001Qv42Run265-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:205205 0.04759
DNA-26356-CG001Qv42Run265-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:193185 0.04938
DNA-26357-CG001Qv42Run265-8_S8.CG001v3.4.130	no read
DNA-26357-CG001Qv42Run265-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:132325 0.04645
DNA-26358-CG001Qv42Run265-9_S9.CG001v3.4.130	no read
DNA-26358-CG001Qv42Run265-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:169509 0.04862
DNA-26359-CG001Qv42Run265-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:193086 0.04859
DNA-26360-CG001Qv42Run265-11_S11.CG001v3.4.130	no read
DNA-26360-CG001Qv42Run265-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:153927 0.04821
DNA-26361-CG001Qv42Run265-12_S12.CG001v3.4.130	no read
DNA-26361-CG001Qv42Run265-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:137631 0.04644
DNA-26362-CG001Qv42Run265-13_S13.CG001v3.4.130	no read
DNA-26362-CG001Qv42Run265-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:143582 0.04777
DNA-26379-CG001Qv42Run265-14_S14.CG001v3.4.130	no read
DNA-26379-CG001Qv42Run265-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:173705 0.04712
DNA-26380-CG001Qv42Run265-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:166803 0.04776
DNA-26381-CG001Qv42Run265-16_S16.CG001v3.4.130	no read
DNA-26381-CG001Qv42Run265-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:138322 0.04686
DNA-26382-CG001Qv42Run265-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:163073 0.04711
DNA-26452-CG001Qv42Run265-18_S18.CG001v3.4.130	no read
DNA-26452-CG001Qv42Run265-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:127875 0.04773
DNA-26453-CG001Qv42Run265-19_S19.CG001v3.4.130	no read
DNA-26453-CG001Qv42Run265-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:144697 0.0478
DNA-26455-CG001Qv42Run265-20_S20.CG001v3.4.130	no read
DNA-26455-CG001Qv42Run265-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:190128 0.04835
DNA-26456-CG001Qv42Run265-21_S21.CG001v3.4.130	no read
DNA-26456-CG001Qv42Run265-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:173870 0.04787
DNA-26462-CG001Qv42Run265-23_S23.CG001v3.4.130	no read
DNA-26462-CG001Qv42Run265-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:178102 0.04893
DNA-26465-CG001Qv42Run265-22_S22.CG001v3.4.130	no read
DNA-26465-CG001Qv42Run265-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:222511 0.04983
NF-CG001Qv42Run265-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run265-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:103271 0.04653
QMRS-CG001Qv42Run265-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run265-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:119918 0.0477
