DNA-25987-CG001Qv42Run260-10_S10.CG001v3.4.130	no read
DNA-25987-CG001Qv42Run260-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:66611 0.04298
DNA-25987-CG001Qv42Run260-17_S17.CG001v3.4.130	no read
DNA-25987-CG001Qv42Run260-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:74804 0.04051
DNA-25987-CG001Qv42Run260-24_S24.CG001v3.4.130	no read
DNA-25987-CG001Qv42Run260-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:113574 0.04147
DNA-25992-CG001Qv42Run260-11_S11.CG001v3.4.130	no read
DNA-25992-CG001Qv42Run260-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:64931 0.04252
DNA-25992-CG001Qv42Run260-18_S18.CG001v3.4.130	no read
DNA-25992-CG001Qv42Run260-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:64428 0.04151
DNA-25992-CG001Qv42Run260-4_S4.CG001v3.4.130	no read
DNA-25992-CG001Qv42Run260-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:82268 0.04468
DNA-25997-CG001Qv42Run260-14_S14.CG001v3.4.130	no read
DNA-25997-CG001Qv42Run260-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:82732 0.04323
DNA-25997-CG001Qv42Run260-21_S21.CG001v3.4.130	no read
DNA-25997-CG001Qv42Run260-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:101542 0.04141
DNA-25997-CG001Qv42Run260-7_S7.CG001v3.4.130	no read
DNA-25997-CG001Qv42Run260-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:75463 0.04294
DNA-26200-CG001Qv42Run260-12_S12.CG001v3.4.130	no read
DNA-26200-CG001Qv42Run260-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:70096 0.04189
DNA-26200-CG001Qv42Run260-19_S19.CG001v3.4.130	no read
DNA-26200-CG001Qv42Run260-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:116464 0.04435
DNA-26200-CG001Qv42Run260-5_S5.CG001v3.4.130	no read
DNA-26200-CG001Qv42Run260-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:64847 0.04416
DNA-26201-CG001Qv42Run260-13_S13.CG001v3.4.130	no read
DNA-26201-CG001Qv42Run260-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:88687 0.04279
DNA-26201-CG001Qv42Run260-20_S20.CG001v3.4.130	no read
DNA-26201-CG001Qv42Run260-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:102803 0.04462
DNA-26201-CG001Qv42Run260-6_S6.CG001v3.4.130	no read
DNA-26201-CG001Qv42Run260-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:94939 0.04568
DNA-26202-CG001Qv42Run260-15_S15.CG001v3.4.130	no read
DNA-26202-CG001Qv42Run260-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:84740 0.0429
DNA-26202-CG001Qv42Run260-22_S22.CG001v3.4.130	no read
DNA-26202-CG001Qv42Run260-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:94679 0.04259
DNA-26202-CG001Qv42Run260-8_S8.CG001v3.4.130	no read
DNA-26202-CG001Qv42Run260-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:88849 0.04215
DNA-26207-CG001Qv42Run260-16_S16.CG001v3.4.130	no read
DNA-26207-CG001Qv42Run260-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:89646 0.04302
DNA-26207-CG001Qv42Run260-23_S23.CG001v3.4.130	no read
DNA-26207-CG001Qv42Run260-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:48424 0.04067
DNA-26207-CG001Qv42Run260-9_S9.CG001v3.4.130	no read
DNA-26207-CG001Qv42Run260-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:74794 0.043
NF-CG001Qv42Run260-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run260-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:79248 0.04356
QMRS-CG001Qv42Run260-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run260-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:71283 0.04103
