DNA-24844-CG001Qv42Run267-23_S23.CG001v3.4.130	no read
DNA-24844-CG001Qv42Run267-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:129872 0.0452
DNA-25502-CG001Qv42Run267-22_S22.CG001v3.4.130	no read
DNA-25502-CG001Qv42Run267-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:132907 0.04467
DNA-25641-CG001Qv42Run267-24_S24.CG001v3.4.130	no read
DNA-25641-CG001Qv42Run267-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:170426 0.04551
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.130	no read
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:154130 0.04717
DNA-26458-CG001Qv42Run267-6_S6.CG001v3.4.130	no read
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:158886 0.04663
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.130	no read
DNA-26460-CG001Qv42Run267-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:117450 0.04505
DNA-26461-CG001Qv42Run267-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:111577 0.04564
DNA-26479-CG001Qv42Run267-9_S9.CG001v3.4.130	no read
DNA-26479-CG001Qv42Run267-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:70689 0.04603
DNA-26480-CG001Qv42Run267-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:86345 0.04515
DNA-26481-CG001Qv42Run267-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:141160 0.04935
DNA-26482-CG001Qv42Run267-12_S12.CG001v3.4.130	no read
DNA-26482-CG001Qv42Run267-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:146816 0.04503
DNA-26483-CG001Qv42Run267-13_S13.CG001v3.4.130	no read
DNA-26483-CG001Qv42Run267-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:158907 0.04538
DNA-26484-CG001Qv42Run267-14_S14.CG001v3.4.130	no read
DNA-26484-CG001Qv42Run267-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:122482 0.04539
DNA-26485-CG001Qv42Run267-15_S15.CG001v3.4.130	no read
DNA-26485-CG001Qv42Run267-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:161462 0.0478
DNA-26520-CG001Qv42Run267-4_S4.CG001v3.4.130	no read
DNA-26520-CG001Qv42Run267-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:124942 0.04574
DNA-26521-CG001Qv42Run267-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:163974 0.04538
DNA-26522-CG001Qv42Run267-17_S17.CG001v3.4.130	no read
DNA-26522-CG001Qv42Run267-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:118095 0.04505
DNA-26523-CG001Qv42Run267-18_S18.CG001v3.4.130	no read
DNA-26523-CG001Qv42Run267-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:102282 0.04563
DNA-26524-CG001Qv42Run267-19_S19.CG001v3.4.130	no read
DNA-26524-CG001Qv42Run267-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:118547 0.04464
DNA-26525-CG001Qv42Run267-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:117984 0.04594
DNA-26526-CG001Qv42Run267-21_S21.CG001v3.4.130	no read
DNA-26526-CG001Qv42Run267-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:103937 0.04518
NF-CG001Qv42Run267-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run267-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:146684 0.04542
QMRS-CG001Qv42Run267-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run267-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:125103 0.04787
