DNA-24844-CG001Qv42Run267-23_S23.CG001v3.4.9	max/average number of variants:7 1.22
DNA-24844-CG001Qv42Run267-23_S23.CG001v3.4.22	max/average number of variants:4 1.51
DNA-24844-CG001Qv42Run267-23_S23.CG001v3.4.43	max/average number of variants:8 1.28
DNA-24844-CG001Qv42Run267-23_S23.CG001v3.4.94	max/average number of variants:5 1.59
DNA-24844-CG001Qv42Run267-23_S23.CG001v3.4.103	max/average number of variants:5 1.67
DNA-24844-CG001Qv42Run267-23_S23.CG001v3.4.105	aligned_clusters:751 nb/max/average normalized_alignments:911 36 1.213
DNA-24844-CG001Qv42Run267-23_S23.CG001v3.4.105	max/average number of variants:44 10.71
DNA-24844-CG001Qv42Run267-23_S23.CG001v3.4.125	max/average number of variants:4 1.57
DNA-24844-CG001Qv42Run267-23_S23.CG001v3.4.130	no normalized_alignment
DNA-24844-CG001Qv42Run267-23_S23.CG001v3.4.130	no variant
DNA-24844-CG001Qv42Run267-23_S23.CG001v4.0.11	max/average number of variants:5 1.99
DNA-24844-CG001Qv42Run267-23_S23.CG001v4.0.34	aligned_clusters:261 nb/max/average normalized_alignments:290 20 1.111
DNA-24844-CG001Qv42Run267-23_S23.CG001v4.0.34	max/average number of variants:6 1.82
DNA-24844-CG001Qv42Run267-23_S23.CG001v4.0.35	max/average number of variants:4 1.51
DNA-24844-CG001Qv42Run267-23_S23.CG001v4.0.40	max/average number of variants:7 1.15
DNA-24844-CG001Qv42Run267-23_S23.CG001v4.0.49	max/average number of variants:11 1.26
DNA-24844-CG001Qv42Run267-23_S23.CG001v4.0.50	max/average number of variants:4 1.82
DNA-24844-CG001Qv42Run267-23_S23.CG001v4.0.51	max/average number of variants:6 1.78
DNA-24844-CG001Qv42Run267-23_S23.CG001v4.0.53	max/average number of variants:3 1.65
DNA-24844-CG001Qv42Run267-23_S23.CG001v4.0.59	max/average number of variants:4 1.78
DNA-25502-CG001Qv42Run267-22_S22.CG001v3.4.31	max/average number of variants:6 1.34
DNA-25502-CG001Qv42Run267-22_S22.CG001v3.4.94	max/average number of variants:4 1.54
DNA-25502-CG001Qv42Run267-22_S22.CG001v3.4.103	max/average number of variants:5 1.65
DNA-25502-CG001Qv42Run267-22_S22.CG001v3.4.105	max/average number of variants:42 4.07
DNA-25502-CG001Qv42Run267-22_S22.CG001v3.4.125	max/average number of variants:4 1.54
DNA-25502-CG001Qv42Run267-22_S22.CG001v3.4.130	no normalized_alignment
DNA-25502-CG001Qv42Run267-22_S22.CG001v3.4.130	no variant
DNA-25502-CG001Qv42Run267-22_S22.CG001v3.4.132	aligned_clusters:342 nb/max/average normalized_alignments:352 13 1.029
DNA-25502-CG001Qv42Run267-22_S22.CG001v4.0.11	max/average number of variants:5 2.02
DNA-25502-CG001Qv42Run267-22_S22.CG001v4.0.34	max/average number of variants:4 1.76
DNA-25502-CG001Qv42Run267-22_S22.CG001v4.0.40	max/average number of variants:7 1.16
DNA-25502-CG001Qv42Run267-22_S22.CG001v4.0.50	max/average number of variants:3 1.75
DNA-25502-CG001Qv42Run267-22_S22.CG001v4.0.51	max/average number of variants:4 1.74
DNA-25502-CG001Qv42Run267-22_S22.CG001v4.0.53	max/average number of variants:3 1.57
DNA-25502-CG001Qv42Run267-22_S22.CG001v4.0.57	max/average number of variants:4 1.51
DNA-25502-CG001Qv42Run267-22_S22.CG001v4.0.59	max/average number of variants:3 1.73
DNA-25641-CG001Qv42Run267-24_S24.CG001v3.4.22	max/average number of variants:6 1.5
DNA-25641-CG001Qv42Run267-24_S24.CG001v3.4.28	max/average number of variants:6 1.34
DNA-25641-CG001Qv42Run267-24_S24.CG001v3.4.94	max/average number of variants:4 1.57
DNA-25641-CG001Qv42Run267-24_S24.CG001v3.4.103	max/average number of variants:3 1.58
DNA-25641-CG001Qv42Run267-24_S24.CG001v3.4.105	aligned_clusters:705 nb/max/average normalized_alignments:864 34 1.226
DNA-25641-CG001Qv42Run267-24_S24.CG001v3.4.105	max/average number of variants:41 10.93
DNA-25641-CG001Qv42Run267-24_S24.CG001v3.4.108	max/average number of variants:6 1.26
DNA-25641-CG001Qv42Run267-24_S24.CG001v3.4.125	max/average number of variants:4 1.57
DNA-25641-CG001Qv42Run267-24_S24.CG001v3.4.130	no normalized_alignment
DNA-25641-CG001Qv42Run267-24_S24.CG001v3.4.130	no variant
DNA-25641-CG001Qv42Run267-24_S24.CG001v4.0.11	max/average number of variants:10 1.96
DNA-25641-CG001Qv42Run267-24_S24.CG001v4.0.20	max/average number of variants:3 1.53
DNA-25641-CG001Qv42Run267-24_S24.CG001v4.0.34	max/average number of variants:5 1.72
DNA-25641-CG001Qv42Run267-24_S24.CG001v4.0.35	max/average number of variants:4 1.51
DNA-25641-CG001Qv42Run267-24_S24.CG001v4.0.50	max/average number of variants:3 1.66
DNA-25641-CG001Qv42Run267-24_S24.CG001v4.0.51	max/average number of variants:4 1.75
DNA-25641-CG001Qv42Run267-24_S24.CG001v4.0.53	max/average number of variants:3 1.61
DNA-25641-CG001Qv42Run267-24_S24.CG001v4.0.55	max/average number of variants:4 1.52
DNA-25641-CG001Qv42Run267-24_S24.CG001v4.0.58	max/average number of variants:3 1.51
DNA-25641-CG001Qv42Run267-24_S24.CG001v4.0.59	max/average number of variants:4 1.71
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.22	max/average number of variants:7 1.65
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.65	max/average number of variants:6 1.3
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.102	aligned_clusters:381 nb/max/average normalized_alignments:394 16 1.034
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.102	max/average number of variants:40 3.48
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.105	max/average number of variants:45 5.9
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.106	max/average number of variants:7 1.21
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.118	max/average number of variants:3 1.54
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.122	max/average number of variants:6 1.33
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.125	max/average number of variants:3 1.54
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.130	no normalized_alignment
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.130	no variant
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.18	max/average number of variants:3 1.53
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.19	max/average number of variants:3 1.64
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.21	max/average number of variants:4 2.24
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.35	max/average number of variants:4 1.71
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.40	max/average number of variants:7 1.17
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.44	max/average number of variants:4 1.77
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.51	max/average number of variants:4 1.71
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.53	max/average number of variants:3 1.61
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.57	max/average number of variants:4 1.52
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.58	max/average number of variants:4 1.77
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.59	max/average number of variants:3 1.72
DNA-26457-CG001Qv42Run267-5_S5.CG001v3.4.56	max/average number of variants:7 1.39
DNA-26457-CG001Qv42Run267-5_S5.CG001v4.0.1	max/average number of variants:6 1.55
DNA-26458-CG001Qv42Run267-6_S6.CG001v3.4.4	aligned_clusters:458 nb/max/average normalized_alignments:485 30 1.059
DNA-26458-CG001Qv42Run267-6_S6.CG001v3.4.22	max/average number of variants:7 1.65
DNA-26458-CG001Qv42Run267-6_S6.CG001v3.4.94	max/average number of variants:4 1.72
DNA-26458-CG001Qv42Run267-6_S6.CG001v3.4.102	max/average number of variants:36 1.72
DNA-26458-CG001Qv42Run267-6_S6.CG001v3.4.103	max/average number of variants:5 1.62
DNA-26458-CG001Qv42Run267-6_S6.CG001v3.4.105	aligned_clusters:704 nb/max/average normalized_alignments:830 44 1.179
DNA-26458-CG001Qv42Run267-6_S6.CG001v3.4.105	max/average number of variants:43 10.34
DNA-26458-CG001Qv42Run267-6_S6.CG001v3.4.125	max/average number of variants:4 1.53
DNA-26458-CG001Qv42Run267-6_S6.CG001v3.4.130	no normalized_alignment
DNA-26458-CG001Qv42Run267-6_S6.CG001v3.4.130	no variant
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.7	max/average number of variants:6 1.28
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.11	max/average number of variants:5 1.95
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.31	max/average number of variants:6 1.14
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.35	max/average number of variants:5 1.67
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.40	max/average number of variants:6 1.17
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.44	max/average number of variants:3 1.61
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.51	max/average number of variants:4 1.75
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.53	max/average number of variants:3 1.69
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.55	max/average number of variants:4 1.67
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.56	max/average number of variants:4 1.62
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.57	max/average number of variants:4 2.25
DNA-26458-CG001Qv42Run267-6_S6.CG001v4.0.58	max/average number of variants:4 1.77
DNA-26458-CG001Qv42Run267-6_S6.CG001v3.4.56	max/average number of variants:6 1.19
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.7	max/average number of variants:8 1.33
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.24	max/average number of variants:7 1.19
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.54	max/average number of variants:8 1.29
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.94	max/average number of variants:3 1.53
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.96	aligned_clusters:602 nb/max/average normalized_alignments:623 12 1.035
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.96	max/average number of variants:24 1.99
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.103	max/average number of variants:4 1.61
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.105	max/average number of variants:42 4.46
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.118	max/average number of variants:4 1.65
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.125	max/average number of variants:3 1.51
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.130	no normalized_alignment
DNA-26460-CG001Qv42Run267-7_S7.CG001v3.4.130	no variant
DNA-26460-CG001Qv42Run267-7_S7.CG001v4.0.11	max/average number of variants:4 1.92
DNA-26460-CG001Qv42Run267-7_S7.CG001v4.0.19	max/average number of variants:3 1.53
DNA-26460-CG001Qv42Run267-7_S7.CG001v4.0.21	max/average number of variants:3 1.54
DNA-26460-CG001Qv42Run267-7_S7.CG001v4.0.31	max/average number of variants:7 1.23
DNA-26460-CG001Qv42Run267-7_S7.CG001v4.0.40	max/average number of variants:7 1.11
