DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-25963-CG001Qv42Run269-17_S17.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-25963-CG001Qv42Run269-24_S24.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-25977-CG001Qv42Run269-14_S14.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-25977-CG001Qv42Run269-14_S14.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-25977-CG001Qv42Run269-21_S21.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-25977-CG001Qv42Run269-21_S21.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-25977-CG001Qv42Run269-7_S7.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-25977-CG001Qv42Run269-7_S7.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-25994-CG001Qv42Run269-11_S11.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-25994-CG001Qv42Run269-11_S11.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-25994-CG001Qv42Run269-18_S18.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-25994-CG001Qv42Run269-18_S18.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-25994-CG001Qv42Run269-4_S4.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-25994-CG001Qv42Run269-4_S4.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26673-CG001Qv42Run269-12_S12.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26673-CG001Qv42Run269-12_S12.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26673-CG001Qv42Run269-19_S19.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26673-CG001Qv42Run269-19_S19.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26673-CG001Qv42Run269-5_S5.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26673-CG001Qv42Run269-5_S5.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26674-CG001Qv42Run269-13_S13.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26674-CG001Qv42Run269-13_S13.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26674-CG001Qv42Run269-20_S20.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26674-CG001Qv42Run269-20_S20.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26674-CG001Qv42Run269-6_S6.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26674-CG001Qv42Run269-6_S6.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26675-CG001Qv42Run269-15_S15.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26675-CG001Qv42Run269-15_S15.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26675-CG001Qv42Run269-22_S22.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26675-CG001Qv42Run269-22_S22.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26675-CG001Qv42Run269-8_S8.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26675-CG001Qv42Run269-8_S8.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26676-CG001Qv42Run269-16_S16.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26676-CG001Qv42Run269-16_S16.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26676-CG001Qv42Run269-23_S23.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26676-CG001Qv42Run269-23_S23.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26676-CG001Qv42Run269-9_S9.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26676-CG001Qv42Run269-9_S9.CG001v4.0.40	ratio of reads in largest cluster:0.0
NF-CG001Qv42Run269-3_S3.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
NF-CG001Qv42Run269-3_S3.CG001v4.0.40	ratio of reads in largest cluster:0.0
QMRS-CG001Qv42Run269-2_S2.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
QMRS-CG001Qv42Run269-2_S2.CG001v4.0.40	ratio of reads in largest cluster:0.0
