DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.43	max/average number of variants:7 1.44
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.49	max/average number of variants:6 1.25
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.54	max/average number of variants:6 1.25
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.94	max/average number of variants:5 1.53
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.102	max/average number of variants:38 1.86
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.105	aligned_clusters:691 nb/max/average normalized_alignments:852 24 1.233
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.105	max/average number of variants:42 12.3
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.106	max/average number of variants:7 1.36
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.111	max/average number of variants:6 1.24
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.122	max/average number of variants:6 1.37
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.125	max/average number of variants:3 1.53
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.130	no normalized_alignment
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.130	no variant
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.7	max/average number of variants:7 1.24
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.11	max/average number of variants:5 1.69
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.21	max/average number of variants:3 1.51
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.34	max/average number of variants:4 1.55
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.38	max/average number of variants:7 1.24
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.40	max/average number of variants:8 1.2
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.44	max/average number of variants:3 1.51
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.51	aligned_clusters:320 nb/max/average normalized_alignments:364 41 1.137
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.51	max/average number of variants:4 1.69
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.53	max/average number of variants:5 1.67
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.54	max/average number of variants:6 1.42
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.57	max/average number of variants:3 1.65
DNA-25963-CG001Qv42Run269-10_S10.CG001v4.0.59	max/average number of variants:3 1.61
DNA-25963-CG001Qv42Run269-10_S10.CG001v3.4.64	max/average number of variants:6 1.22
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.25	max/average number of variants:6 1.32
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.43	max/average number of variants:6 1.4
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.76	max/average number of variants:13 1.22
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.89	max/average number of variants:8 1.25
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.91	max/average number of variants:7 1.2
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.94	max/average number of variants:3 1.58
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.102	max/average number of variants:6 1.24
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.105	aligned_clusters:601 nb/max/average normalized_alignments:690 24 1.148
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.105	max/average number of variants:42 9.56
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.122	max/average number of variants:6 1.35
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.130	no normalized_alignment
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.130	no variant
DNA-25963-CG001Qv42Run269-17_S17.CG001v4.0.11	max/average number of variants:8 1.71
DNA-25963-CG001Qv42Run269-17_S17.CG001v4.0.34	max/average number of variants:5 1.62
DNA-25963-CG001Qv42Run269-17_S17.CG001v4.0.40	max/average number of variants:8 1.24
DNA-25963-CG001Qv42Run269-17_S17.CG001v4.0.51	aligned_clusters:297 nb/max/average normalized_alignments:310 12 1.044
DNA-25963-CG001Qv42Run269-17_S17.CG001v4.0.51	max/average number of variants:33 2.85
DNA-25963-CG001Qv42Run269-17_S17.CG001v4.0.53	max/average number of variants:3 1.57
DNA-25963-CG001Qv42Run269-17_S17.CG001v4.0.55	max/average number of variants:8 1.42
DNA-25963-CG001Qv42Run269-17_S17.CG001v4.0.57	max/average number of variants:3 1.62
DNA-25963-CG001Qv42Run269-17_S17.CG001v4.0.59	max/average number of variants:3 1.52
DNA-25963-CG001Qv42Run269-17_S17.CG001v4.0.60	max/average number of variants:12 1.49
DNA-25963-CG001Qv42Run269-17_S17.CG001v3.4.56	max/average number of variants:7 1.48
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.26	aligned_clusters:63 nb/max/average normalized_alignments:86 24 1.365
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.26	max/average number of variants:33 11.23
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.30	max/average number of variants:6 1.29
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.76	max/average number of variants:6 1.24
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.89	max/average number of variants:7 1.27
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.91	aligned_clusters:607 nb/max/average normalized_alignments:614 12 1.012
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.91	max/average number of variants:27 2.43
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.94	max/average number of variants:3 1.53
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.105	aligned_clusters:640 nb/max/average normalized_alignments:760 36 1.188
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.105	max/average number of variants:42 10.58
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.130	no normalized_alignment
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.130	no variant
DNA-25963-CG001Qv42Run269-24_S24.CG001v4.0.11	max/average number of variants:8 1.88
DNA-25963-CG001Qv42Run269-24_S24.CG001v4.0.34	max/average number of variants:4 1.6
DNA-25963-CG001Qv42Run269-24_S24.CG001v4.0.40	max/average number of variants:6 1.16
DNA-25963-CG001Qv42Run269-24_S24.CG001v4.0.51	max/average number of variants:3 1.61
DNA-25963-CG001Qv42Run269-24_S24.CG001v4.0.53	max/average number of variants:3 1.55
DNA-25963-CG001Qv42Run269-24_S24.CG001v4.0.57	max/average number of variants:3 1.65
DNA-25963-CG001Qv42Run269-24_S24.CG001v4.0.59	max/average number of variants:3 1.59
DNA-25963-CG001Qv42Run269-24_S24.CG001v3.4.56	max/average number of variants:6 1.7
DNA-25977-CG001Qv42Run269-14_S14.CG001v3.4.16	max/average number of variants:6 1.24
DNA-25977-CG001Qv42Run269-14_S14.CG001v3.4.22	max/average number of variants:7 1.25
DNA-25977-CG001Qv42Run269-14_S14.CG001v3.4.28	max/average number of variants:7 1.35
DNA-25977-CG001Qv42Run269-14_S14.CG001v3.4.89	max/average number of variants:6 1.3
DNA-25977-CG001Qv42Run269-14_S14.CG001v3.4.91	max/average number of variants:7 1.18
DNA-25977-CG001Qv42Run269-14_S14.CG001v3.4.94	max/average number of variants:6 1.51
DNA-25977-CG001Qv42Run269-14_S14.CG001v3.4.98	max/average number of variants:7 1.3
DNA-25977-CG001Qv42Run269-14_S14.CG001v3.4.102	max/average number of variants:6 1.3
DNA-25977-CG001Qv42Run269-14_S14.CG001v3.4.105	aligned_clusters:807 nb/max/average normalized_alignments:958 42 1.187
DNA-25977-CG001Qv42Run269-14_S14.CG001v3.4.105	max/average number of variants:44 11.4
