DNA-26527-CG001Qv42Run271-7_S7.CG001v3.4.130	no read
DNA-26527-CG001Qv42Run271-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:130947 0.04701
DNA-26578-CG001Qv42Run271-8_S8.CG001v3.4.130	no read
DNA-26578-CG001Qv42Run271-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:114026 0.04435
DNA-26579-CG001Qv42Run271-9_S9.CG001v3.4.130	no read
DNA-26579-CG001Qv42Run271-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:125064 0.04626
DNA-26580-CG001Qv42Run271-10_S10.CG001v3.4.130	no read
DNA-26580-CG001Qv42Run271-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:117206 0.04621
DNA-26581-CG001Qv42Run271-11_S11.CG001v3.4.130	no read
DNA-26581-CG001Qv42Run271-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:122826 0.046
DNA-26582-CG001Qv42Run271-12_S12.CG001v3.4.130	no read
DNA-26582-CG001Qv42Run271-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:116415 0.0443
DNA-26583-CG001Qv42Run271-13_S13.CG001v3.4.130	no read
DNA-26583-CG001Qv42Run271-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:136223 0.04544
DNA-26584-CG001Qv42Run271-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:163869 0.0447
DNA-26585-CG001Qv42Run271-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:111637 0.04534
DNA-26586-CG001Qv42Run271-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:103260 0.04447
DNA-26587-CG001Qv42Run271-17_S17.CG001v3.4.130	no read
DNA-26587-CG001Qv42Run271-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:117802 0.04495
DNA-26603-CG001Qv42Run271-4_S4.CG001v3.4.130	no read
DNA-26603-CG001Qv42Run271-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:167965 0.05753
DNA-26604-CG001Qv42Run271-5_S5.CG001v3.4.130	no read
DNA-26604-CG001Qv42Run271-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:104902 0.04494
DNA-26653-CG001Qv42Run271-18_S18.CG001v3.4.130	no read
DNA-26653-CG001Qv42Run271-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:123961 0.04546
DNA-26654-CG001Qv42Run271-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:135991 0.04555
DNA-26655-CG001Qv42Run271-20_S20.CG001v3.4.130	no read
DNA-26655-CG001Qv42Run271-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:116002 0.04629
DNA-26656-CG001Qv42Run271-21_S21.CG001v3.4.130	no read
DNA-26656-CG001Qv42Run271-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:92393 0.04594
DNA-26657-CG001Qv42Run271-22_S22.CG001v3.4.130	no read
DNA-26657-CG001Qv42Run271-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:138914 0.04732
DNA-26658-CG001Qv42Run271-23_S23.CG001v3.4.130	no read
DNA-26658-CG001Qv42Run271-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:131693 0.04683
DNA-26659-CG001Qv42Run271-24_S24.CG001v3.4.130	no read
DNA-26659-CG001Qv42Run271-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:120534 0.04586
DNA-26672-CG001Qv42Run271-6_S6.CG001v3.4.130	no read
DNA-26672-CG001Qv42Run271-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:151931 0.04531
NF-CG001Qv42Run271-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run271-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:87051 0.04435
QMRS-CG001Qv42Run271-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run271-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:109795 0.04547
