DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-10635-CG001Qv42Run268-10_S10.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-15622-CG001Qv42Run268-11_S11.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-15622-CG001Qv42Run268-11_S11.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-17610-CG001Qv42Run268-24_S24.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-17886-CG001Qv42Run268-17_S17.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-17886-CG001Qv42Run268-17_S17.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-18254-CG001Qv42Run268-4_S4.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-19263-CG001Qv42Run268-18_S18.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-19263-CG001Qv42Run268-18_S18.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26588-CG001Qv42Run268-5_S5.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26589-CG001Qv42Run268-6_S6.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26590-CG001Qv42Run268-7_S7.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26591-CG001Qv42Run268-8_S8.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26592-CG001Qv42Run268-9_S9.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26593-CG001Qv42Run268-12_S12.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26593-CG001Qv42Run268-12_S12.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26594-CG001Qv42Run268-13_S13.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26594-CG001Qv42Run268-13_S13.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26595-CG001Qv42Run268-14_S14.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26595-CG001Qv42Run268-14_S14.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26596-CG001Qv42Run268-15_S15.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26596-CG001Qv42Run268-15_S15.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26597-CG001Qv42Run268-16_S16.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26597-CG001Qv42Run268-16_S16.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26598-CG001Qv42Run268-19_S19.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26598-CG001Qv42Run268-19_S19.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26599-CG001Qv42Run268-20_S20.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26599-CG001Qv42Run268-20_S20.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26600-CG001Qv42Run268-21_S21.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26600-CG001Qv42Run268-21_S21.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26601-CG001Qv42Run268-22_S22.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26601-CG001Qv42Run268-22_S22.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26602-CG001Qv42Run268-23_S23.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26602-CG001Qv42Run268-23_S23.CG001v4.0.40	ratio of reads in largest cluster:0.0
NF-CG001Qv42Run268-3_S3.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
NF-CG001Qv42Run268-3_S3.CG001v4.0.40	ratio of reads in largest cluster:0.0
QMRS-CG001Qv42Run268-2_S2.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
QMRS-CG001Qv42Run268-2_S2.CG001v4.0.40	ratio of reads in largest cluster:0.0
