DNA-10635-CG001Qv42Run268-10_S10.CG001v3.4.130	no read
DNA-10635-CG001Qv42Run268-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:108968 0.03697
DNA-15622-CG001Qv42Run268-11_S11.CG001v3.4.130	no read
DNA-15622-CG001Qv42Run268-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:114414 0.03645
DNA-17610-CG001Qv42Run268-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:116796 0.03546
DNA-17886-CG001Qv42Run268-17_S17.CG001v3.4.130	no read
DNA-17886-CG001Qv42Run268-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:140348 0.03512
DNA-18254-CG001Qv42Run268-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:93778 0.03922
DNA-19263-CG001Qv42Run268-18_S18.CG001v3.4.130	no read
DNA-19263-CG001Qv42Run268-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:88127 0.03588
DNA-26588-CG001Qv42Run268-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:93654 0.038
DNA-26589-CG001Qv42Run268-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:138314 0.0395
DNA-26590-CG001Qv42Run268-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:99246 0.03698
DNA-26591-CG001Qv42Run268-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:109666 0.03652
DNA-26592-CG001Qv42Run268-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:122275 0.03733
DNA-26593-CG001Qv42Run268-12_S12.CG001v3.4.130	no read
DNA-26593-CG001Qv42Run268-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:131786 0.03633
DNA-26594-CG001Qv42Run268-13_S13.CG001v3.4.130	no read
DNA-26594-CG001Qv42Run268-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:153128 0.03718
DNA-26595-CG001Qv42Run268-14_S14.CG001v3.4.130	no read
DNA-26595-CG001Qv42Run268-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:141685 0.03771
DNA-26596-CG001Qv42Run268-15_S15.CG001v3.4.130	no read
DNA-26596-CG001Qv42Run268-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:177082 0.03713
DNA-26597-CG001Qv42Run268-16_S16.CG001v3.4.130	no read
DNA-26597-CG001Qv42Run268-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:163475 0.03716
DNA-26598-CG001Qv42Run268-19_S19.CG001v3.4.130	no read
DNA-26598-CG001Qv42Run268-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:98400 0.03808
DNA-26599-CG001Qv42Run268-20_S20.CG001v3.4.130	no read
DNA-26599-CG001Qv42Run268-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:102841 0.03887
DNA-26600-CG001Qv42Run268-21_S21.CG001v3.4.130	no read
DNA-26600-CG001Qv42Run268-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:94693 0.03598
DNA-26601-CG001Qv42Run268-22_S22.CG001v3.4.130	no read
DNA-26601-CG001Qv42Run268-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:106322 0.03711
DNA-26602-CG001Qv42Run268-23_S23.CG001v3.4.130	no read
DNA-26602-CG001Qv42Run268-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:79357 0.03529
NF-CG001Qv42Run268-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run268-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:100316 0.03792
QMRS-CG001Qv42Run268-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run268-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:80774 0.03562
