DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26662-CG001Qv42Run272-9_S9.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26662-CG001Qv42Run272-9_S9.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26667-CG001Qv42Run272-10_S10.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26667-CG001Qv42Run272-10_S10.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26668-CG001Qv42Run272-22_S22.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26668-CG001Qv42Run272-22_S22.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26716-CG001Qv42Run272-5_S5.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26716-CG001Qv42Run272-5_S5.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26721-CG001Qv42Run272-11_S11.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26721-CG001Qv42Run272-11_S11.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26722-CG001Qv42Run272-12_S12.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26723-CG001Qv42Run272-13_S13.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26723-CG001Qv42Run272-13_S13.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26724-CG001Qv42Run272-14_S14.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26724-CG001Qv42Run272-14_S14.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26725-CG001Qv42Run272-15_S15.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26725-CG001Qv42Run272-15_S15.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26726-CG001Qv42Run272-4_S4.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26731-CG001Qv42Run272-16_S16.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26736-CG001Qv42Run272-17_S17.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26736-CG001Qv42Run272-17_S17.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26737-CG001Qv42Run272-18_S18.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26737-CG001Qv42Run272-18_S18.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26739-CG001Qv42Run272-19_S19.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26739-CG001Qv42Run272-19_S19.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26771-CG001Qv42Run272-6_S6.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26772-CG001Qv42Run272-20_S20.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26773-CG001Qv42Run272-21_S21.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26773-CG001Qv42Run272-21_S21.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26774-CG001Qv42Run272-23_S23.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26774-CG001Qv42Run272-23_S23.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26775-CG001Qv42Run272-24_S24.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26775-CG001Qv42Run272-24_S24.CG001v4.0.40	ratio of reads in largest cluster:0.0
NF-CG001Qv42Run272-3_S3.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
NF-CG001Qv42Run272-3_S3.CG001v4.0.40	ratio of reads in largest cluster:0.0
QMRS-CG001Qv42Run272-2_S2.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
QMRS-CG001Qv42Run272-2_S2.CG001v4.0.40	ratio of reads in largest cluster:0.0
