DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:147014 0.04458
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:130141 0.04456
DNA-26662-CG001Qv42Run272-9_S9.CG001v3.4.130	no read
DNA-26662-CG001Qv42Run272-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:122797 0.04663
DNA-26667-CG001Qv42Run272-10_S10.CG001v3.4.130	no read
DNA-26667-CG001Qv42Run272-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:107958 0.04498
DNA-26668-CG001Qv42Run272-22_S22.CG001v3.4.130	no read
DNA-26668-CG001Qv42Run272-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:141414 0.04409
DNA-26716-CG001Qv42Run272-5_S5.CG001v3.4.130	no read
DNA-26716-CG001Qv42Run272-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:126320 0.04278
DNA-26721-CG001Qv42Run272-11_S11.CG001v3.4.130	no read
DNA-26721-CG001Qv42Run272-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:136828 0.0435
DNA-26722-CG001Qv42Run272-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:104791 0.04461
DNA-26723-CG001Qv42Run272-13_S13.CG001v3.4.130	no read
DNA-26723-CG001Qv42Run272-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:109705 0.04315
DNA-26724-CG001Qv42Run272-14_S14.CG001v3.4.130	no read
DNA-26724-CG001Qv42Run272-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:124052 0.04632
DNA-26725-CG001Qv42Run272-15_S15.CG001v3.4.130	no read
DNA-26725-CG001Qv42Run272-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:128137 0.04448
DNA-26726-CG001Qv42Run272-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:121162 0.04626
DNA-26731-CG001Qv42Run272-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:202913 0.04525
DNA-26736-CG001Qv42Run272-17_S17.CG001v3.4.130	no read
DNA-26736-CG001Qv42Run272-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:161233 0.04385
DNA-26737-CG001Qv42Run272-18_S18.CG001v3.4.130	no read
DNA-26737-CG001Qv42Run272-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:132067 0.04416
DNA-26739-CG001Qv42Run272-19_S19.CG001v3.4.130	no read
DNA-26739-CG001Qv42Run272-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:129963 0.04393
DNA-26771-CG001Qv42Run272-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:112658 0.04422
DNA-26772-CG001Qv42Run272-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:81113 0.04554
DNA-26773-CG001Qv42Run272-21_S21.CG001v3.4.130	no read
DNA-26773-CG001Qv42Run272-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:128277 0.04414
DNA-26774-CG001Qv42Run272-23_S23.CG001v3.4.130	no read
DNA-26774-CG001Qv42Run272-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:135321 0.04448
DNA-26775-CG001Qv42Run272-24_S24.CG001v3.4.130	no read
DNA-26775-CG001Qv42Run272-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:153938 0.04328
NF-CG001Qv42Run272-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run272-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:134385 0.04349
QMRS-CG001Qv42Run272-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run272-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:121816 0.04411
