DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.4	max/average number of variants:9 1.2
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.20	max/average number of variants:6 1.21
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.25	max/average number of variants:6 1.3
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.28	max/average number of variants:8 1.29
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.43	max/average number of variants:6 1.24
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.49	max/average number of variants:6 1.23
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.74	max/average number of variants:7 1.21
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.92	max/average number of variants:7 1.25
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.102	max/average number of variants:36 1.77
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.103	max/average number of variants:5 1.61
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.105	aligned_clusters:929 nb/max/average normalized_alignments:1043 26 1.123
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.105	max/average number of variants:40 8.19
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.110	max/average number of variants:8 1.29
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.118	max/average number of variants:6 1.57
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.125	max/average number of variants:4 1.6
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.130	aligned_clusters:181 nb/max/average normalized_alignments:2291 19 12.657
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.130	max/average number of variants:19 14.41
DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.8	max/average number of variants:6 1.28
DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.11	max/average number of variants:5 1.92
DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.12	max/average number of variants:9 1.27
DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.40	max/average number of variants:6 1.22
DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.44	max/average number of variants:7 1.7
DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.50	max/average number of variants:3 1.72
DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.51	max/average number of variants:4 1.62
DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.55	max/average number of variants:3 1.57
DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.57	max/average number of variants:6 1.47
DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.59	max/average number of variants:8 1.96
DNA-26660-CG001Qv42Run272-7_S7.CG001v4.0.60	max/average number of variants:13 1.57
DNA-26660-CG001Qv42Run272-7_S7.CG001v3.4.56	max/average number of variants:6 1.21
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.4	max/average number of variants:6 1.18
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.5	max/average number of variants:6 1.28
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.24	max/average number of variants:6 1.25
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.26	max/average number of variants:6 1.2
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.30	max/average number of variants:7 1.23
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.39	max/average number of variants:6 1.2
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.51	max/average number of variants:6 1.27
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.54	max/average number of variants:6 1.21
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.59	max/average number of variants:8 1.27
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.90	max/average number of variants:6 1.24
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.94	max/average number of variants:4 1.73
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.102	max/average number of variants:25 1.48
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.103	max/average number of variants:6 1.48
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.105	aligned_clusters:788 nb/max/average normalized_alignments:828 16 1.051
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.105	max/average number of variants:42 4.21
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.113	max/average number of variants:6 1.2
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.130	aligned_clusters:181 nb/max/average normalized_alignments:2473 20 13.663
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.130	max/average number of variants:18 14.42
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.135	max/average number of variants:11 1.32
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.8	aligned_clusters:1075 nb/max/average normalized_alignments:1089 18 1.013
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.8	max/average number of variants:29 2.25
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.11	max/average number of variants:7 1.62
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.20	max/average number of variants:4 1.57
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.27	max/average number of variants:6 1.24
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.34	max/average number of variants:5 1.55
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.35	max/average number of variants:5 1.55
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.40	max/average number of variants:9 1.22
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.50	max/average number of variants:3 1.53
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.51	max/average number of variants:4 1.53
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.53	max/average number of variants:4 1.67
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.55	max/average number of variants:6 1.29
DNA-26661-CG001Qv42Run272-8_S8.CG001v4.0.58	max/average number of variants:8 1.5
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.56	max/average number of variants:7 1.4
DNA-26661-CG001Qv42Run272-8_S8.CG001v3.4.62	max/average number of variants:7 1.26
DNA-26662-CG001Qv42Run272-9_S9.CG001v3.4.13	max/average number of variants:6 1.18
DNA-26662-CG001Qv42Run272-9_S9.CG001v3.4.22	max/average number of variants:5 1.55
DNA-26662-CG001Qv42Run272-9_S9.CG001v3.4.26	max/average number of variants:6 1.22
