DNA-26913-CG001Qv42Run273-22_S22.CG001v3.4.130	no read
DNA-26913-CG001Qv42Run273-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:184771 0.05565
DNA-26914-CG001Qv42Run273-23_S23.CG001v3.4.130	no read
DNA-26914-CG001Qv42Run273-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:173035 0.05548
DNA-26915-CG001Qv42Run273-24_S24.CG001v3.4.130	no read
DNA-26915-CG001Qv42Run273-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:170085 0.05667
DNA-26916-CG001Qv42Run273-10_S10.CG001v3.4.130	no read
DNA-26916-CG001Qv42Run273-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:144155 0.05487
DNA-26917-CG001Qv42Run273-11_S11.CG001v3.4.130	no read
DNA-26917-CG001Qv42Run273-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:175518 0.05519
DNA-26918-CG001Qv42Run273-12_S12.CG001v3.4.130	no read
DNA-26918-CG001Qv42Run273-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:159419 0.05515
DNA-26919-CG001Qv42Run273-13_S13.CG001v3.4.130	no read
DNA-26919-CG001Qv42Run273-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:189856 0.05589
DNA-26920-CG001Qv42Run273-14_S14.CG001v3.4.130	no read
DNA-26920-CG001Qv42Run273-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:150749 0.05528
DNA-26921-CG001Qv42Run273-15_S15.CG001v3.4.130	no read
DNA-26921-CG001Qv42Run273-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:95497 0.05528
DNA-26922-CG001Qv42Run273-16_S16.CG001v3.4.130	no read
DNA-26922-CG001Qv42Run273-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:156818 0.05486
DNA-26923-CG001Qv42Run273-17_S17.CG001v3.4.130	no read
DNA-26923-CG001Qv42Run273-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:115886 0.05593
DNA-26969-CG001Qv42Run273-4_S4.CG001v3.4.130	no read
DNA-26969-CG001Qv42Run273-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:138098 0.05517
DNA-26970-CG001Qv42Run273-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:128909 0.05352
DNA-26971-CG001Qv42Run273-8_S8.CG001v3.4.130	no read
DNA-26971-CG001Qv42Run273-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:122556 0.0555
DNA-26972-CG001Qv42Run273-18_S18.CG001v3.4.130	no read
DNA-26972-CG001Qv42Run273-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:169070 0.05445
DNA-26973-CG001Qv42Run273-19_S19.CG001v3.4.130	no read
DNA-26973-CG001Qv42Run273-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:146759 0.05477
DNA-26974-CG001Qv42Run273-20_S20.CG001v3.4.130	no read
DNA-26974-CG001Qv42Run273-20_S20.CG001v4.0.40	ratio of unmerged reads:0.06
DNA-26974-CG001Qv42Run273-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:79588 0.05526
DNA-26975-CG001Qv42Run273-21_S21.CG001v3.4.130	no read
DNA-26975-CG001Qv42Run273-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:236408 0.05737
DNA-26976-CG001Qv42Run273-9_S9.CG001v3.4.130	no read
DNA-26976-CG001Qv42Run273-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:162198 0.05471
DNA-27050-CG001Qv42Run273-5_S5.CG001v3.4.130	no read
DNA-27050-CG001Qv42Run273-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:119534 0.05432
DNA-27051-CG001Qv42Run273-6_S6.CG001v3.4.130	no read
DNA-27051-CG001Qv42Run273-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:161141 0.05437
NF-CG001Qv42Run273-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run273-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:131140 0.05503
QMRS-CG001Qv42Run273-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run273-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:109200 0.05534
