DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27052-CG001Qv42Run274-4_S4.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27053-CG001Qv42Run274-5_S5.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27054-CG001Qv42Run274-6_S6.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27055-CG001Qv42Run274-7_S7.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27056-CG001Qv42Run274-8_S8.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27056-CG001Qv42Run274-8_S8.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27057-CG001Qv42Run274-9_S9.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27057-CG001Qv42Run274-9_S9.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27122-CG001Qv42Run274-24_S24.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27122-CG001Qv42Run274-24_S24.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27123-CG001Qv42Run274-23_S23.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27123-CG001Qv42Run274-23_S23.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27124-CG001Qv42Run274-10_S10.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27124-CG001Qv42Run274-10_S10.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27125-CG001Qv42Run274-11_S11.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27125-CG001Qv42Run274-11_S11.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27126-CG001Qv42Run274-12_S12.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27126-CG001Qv42Run274-12_S12.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27127-CG001Qv42Run274-13_S13.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27127-CG001Qv42Run274-13_S13.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27128-CG001Qv42Run274-14_S14.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27128-CG001Qv42Run274-14_S14.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27152-CG001Qv42Run274-15_S15.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27152-CG001Qv42Run274-15_S15.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27153-CG001Qv42Run274-16_S16.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27153-CG001Qv42Run274-16_S16.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27154-CG001Qv42Run274-17_S17.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27154-CG001Qv42Run274-17_S17.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27155-CG001Qv42Run274-18_S18.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27156-CG001Qv42Run274-19_S19.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27157-CG001Qv42Run274-20_S20.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27157-CG001Qv42Run274-20_S20.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27158-CG001Qv42Run274-21_S21.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-27158-CG001Qv42Run274-21_S21.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27159-CG001Qv42Run274-22_S22.CG001v4.0.40	ratio of reads in largest cluster:0.0
NF-CG001Qv42Run274-3_S3.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
NF-CG001Qv42Run274-3_S3.CG001v4.0.40	ratio of reads in largest cluster:0.0
QMRS-CG001Qv42Run274-2_S2.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
QMRS-CG001Qv42Run274-2_S2.CG001v4.0.40	ratio of reads in largest cluster:0.0
