DNA-27052-CG001Qv42Run274-4_S4.CG001v3.4.130	no read
DNA-27052-CG001Qv42Run274-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:163330 0.04469
DNA-27053-CG001Qv42Run274-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:168658 0.04938
DNA-27054-CG001Qv42Run274-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:217509 0.04479
DNA-27055-CG001Qv42Run274-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:123037 0.04408
DNA-27056-CG001Qv42Run274-8_S8.CG001v3.4.130	no read
DNA-27056-CG001Qv42Run274-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:143761 0.04585
DNA-27057-CG001Qv42Run274-9_S9.CG001v3.4.130	no read
DNA-27057-CG001Qv42Run274-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:167325 0.04421
DNA-27122-CG001Qv42Run274-24_S24.CG001v3.4.130	no read
DNA-27122-CG001Qv42Run274-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:172703 0.04433
DNA-27123-CG001Qv42Run274-23_S23.CG001v3.4.130	no read
DNA-27123-CG001Qv42Run274-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:202408 0.04604
DNA-27124-CG001Qv42Run274-10_S10.CG001v3.4.130	no read
DNA-27124-CG001Qv42Run274-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:196883 0.04514
DNA-27125-CG001Qv42Run274-11_S11.CG001v3.4.130	no read
DNA-27125-CG001Qv42Run274-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:207090 0.04475
DNA-27126-CG001Qv42Run274-12_S12.CG001v3.4.130	no read
DNA-27126-CG001Qv42Run274-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:170374 0.04431
DNA-27127-CG001Qv42Run274-13_S13.CG001v3.4.130	no read
DNA-27127-CG001Qv42Run274-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:142536 0.04469
DNA-27128-CG001Qv42Run274-14_S14.CG001v3.4.130	no read
DNA-27128-CG001Qv42Run274-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:127661 0.04391
DNA-27152-CG001Qv42Run274-15_S15.CG001v3.4.130	no read
DNA-27152-CG001Qv42Run274-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:184277 0.04542
DNA-27153-CG001Qv42Run274-16_S16.CG001v3.4.130	no read
DNA-27153-CG001Qv42Run274-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:181478 0.04462
DNA-27154-CG001Qv42Run274-17_S17.CG001v3.4.130	no read
DNA-27154-CG001Qv42Run274-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:173890 0.04445
DNA-27155-CG001Qv42Run274-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:198215 0.04549
DNA-27156-CG001Qv42Run274-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:141336 0.04444
DNA-27157-CG001Qv42Run274-20_S20.CG001v3.4.130	no read
DNA-27157-CG001Qv42Run274-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:94607 0.04263
DNA-27158-CG001Qv42Run274-21_S21.CG001v3.4.130	no read
DNA-27158-CG001Qv42Run274-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:164412 0.04561
DNA-27159-CG001Qv42Run274-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:158637 0.04364
NF-CG001Qv42Run274-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run274-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:169488 0.04294
QMRS-CG001Qv42Run274-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run274-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:160648 0.05048
