DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:68142 0.04462
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.130	no read
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.76	nb/ratio of ambiguous positions:25970 0.03855
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.91	no read
DNA-11745-CG001Qv51Run050-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:46502 0.04451
DNA-11745-CG001Qv51Run050-14_S14.CG001v3.4.130	no read
DNA-11745-CG001Qv51Run050-14_S14.CG001v5.0.76	nb/ratio of ambiguous positions:31496 0.03844
DNA-11745-CG001Qv51Run050-14_S14.CG001v5.0.91	no read
DNA-15617-CG001Qv51Run050-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:59139 0.04628
DNA-15617-CG001Qv51Run050-11_S11.CG001v5.0.76	nb/ratio of ambiguous positions:18643 0.03986
DNA-15617-CG001Qv51Run050-11_S11.CG001v5.0.91	no read
DNA-17890-CG001Qv51Run050-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:51704 0.04512
DNA-17890-CG001Qv51Run050-21_S21.CG001v3.4.130	no read
DNA-17890-CG001Qv51Run050-21_S21.CG001v5.0.76	nb/ratio of ambiguous positions:11008 0.04077
DNA-17890-CG001Qv51Run050-21_S21.CG001v5.0.91	no read
DNA-17895-CG001Qv51Run050-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:71793 0.0462
DNA-17895-CG001Qv51Run050-20_S20.CG001v3.4.130	no read
DNA-17895-CG001Qv51Run050-20_S20.CG001v5.0.76	nb/ratio of ambiguous positions:28664 0.03906
DNA-17895-CG001Qv51Run050-20_S20.CG001v5.0.91	no read
DNA-18325-CG001Qv51Run050-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:49768 0.04615
DNA-18325-CG001Qv51Run050-23_S23.CG001v3.4.130	no read
DNA-18325-CG001Qv51Run050-23_S23.CG001v5.0.76	nb/ratio of ambiguous positions:18327 0.03959
DNA-18325-CG001Qv51Run050-23_S23.CG001v5.0.91	no read
DNA-18328-CG001Qv51Run050-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:49877 0.0454
DNA-18328-CG001Qv51Run050-18_S18.CG001v3.4.130	no read
DNA-18328-CG001Qv51Run050-18_S18.CG001v5.0.76	nb/ratio of ambiguous positions:23279 0.04046
DNA-18328-CG001Qv51Run050-18_S18.CG001v5.0.91	no read
DNA-18329-CG001Qv51Run050-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:70864 0.04579
DNA-18329-CG001Qv51Run050-10_S10.CG001v3.4.130	no read
DNA-18329-CG001Qv51Run050-10_S10.CG001v5.0.76	nb/ratio of ambiguous positions:20319 0.03976
DNA-18329-CG001Qv51Run050-10_S10.CG001v5.0.91	no read
DNA-18330-CG001Qv51Run050-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:94940 0.04578
DNA-18330-CG001Qv51Run050-13_S13.CG001v3.4.130	no read
DNA-18330-CG001Qv51Run050-13_S13.CG001v5.0.76	nb/ratio of ambiguous positions:18792 0.03929
DNA-18330-CG001Qv51Run050-13_S13.CG001v5.0.91	no read
DNA-18331-CG001Qv51Run050-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:80124 0.04521
DNA-18331-CG001Qv51Run050-19_S19.CG001v3.4.130	no read
DNA-18331-CG001Qv51Run050-19_S19.CG001v5.0.76	nb/ratio of ambiguous positions:23209 0.03881
DNA-18331-CG001Qv51Run050-19_S19.CG001v5.0.91	no read
DNA-22179-CG001Qv51Run050-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:51596 0.0458
DNA-22179-CG001Qv51Run050-24_S24.CG001v3.4.130	no read
DNA-22179-CG001Qv51Run050-24_S24.CG001v5.0.76	nb/ratio of ambiguous positions:24162 0.04003
DNA-22179-CG001Qv51Run050-24_S24.CG001v5.0.91	no read
DNA-22918-CG001Qv51Run050-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:58449 0.04491
DNA-22918-CG001Qv51Run050-15_S15.CG001v3.4.130	no read
DNA-22918-CG001Qv51Run050-15_S15.CG001v5.0.76	nb/ratio of ambiguous positions:24329 0.0402
DNA-22918-CG001Qv51Run050-15_S15.CG001v5.0.91	no read
DNA-22931-CG001Qv51Run050-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:56920 0.04391
DNA-22931-CG001Qv51Run050-12_S12.CG001v3.4.130	no read
DNA-22931-CG001Qv51Run050-12_S12.CG001v5.0.76	nb/ratio of ambiguous positions:29337 0.04101
DNA-22931-CG001Qv51Run050-12_S12.CG001v5.0.91	no read
DNA-24529-CG001Qv51Run050-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:77026 0.04528
DNA-24529-CG001Qv51Run050-6_S6.CG001v5.0.76	nb/ratio of ambiguous positions:15884 0.03783
DNA-24529-CG001Qv51Run050-6_S6.CG001v5.0.91	no read
DNA-24530-CG001Qv51Run050-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:82320 0.04722
DNA-24530-CG001Qv51Run050-7_S7.CG001v5.0.76	nb/ratio of ambiguous positions:28947 0.04043
DNA-24530-CG001Qv51Run050-7_S7.CG001v5.0.91	no read
DNA-24531-CG001Qv51Run050-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:62253 0.04652
DNA-24531-CG001Qv51Run050-9_S9.CG001v5.0.76	nb/ratio of ambiguous positions:15179 0.04043
DNA-24531-CG001Qv51Run050-9_S9.CG001v5.0.91	no read
DNA-24532-CG001Qv51Run050-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:34334 0.02712
DNA-24532-CG001Qv51Run050-8_S8.CG001v5.0.76	nb/ratio of ambiguous positions:12598 0.04276
DNA-24532-CG001Qv51Run050-8_S8.CG001v5.0.91	no read
DNA-24533-CG001Qv51Run050-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:73533 0.04591
DNA-24533-CG001Qv51Run050-4_S4.CG001v5.0.76	nb/ratio of ambiguous positions:36761 0.03824
DNA-24533-CG001Qv51Run050-4_S4.CG001v5.0.91	no read
DNA-24534-CG001Qv51Run050-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:58211 0.04371
DNA-24534-CG001Qv51Run050-5_S5.CG001v5.0.76	nb/ratio of ambiguous positions:34637 0.0408
DNA-24534-CG001Qv51Run050-5_S5.CG001v5.0.91	no read
DNA-24710-CG001Qv51Run050-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:51609 0.04382
DNA-24710-CG001Qv51Run050-16_S16.CG001v3.4.130	no read
DNA-24710-CG001Qv51Run050-16_S16.CG001v5.0.76	nb/ratio of ambiguous positions:25473 0.04153
DNA-24710-CG001Qv51Run050-16_S16.CG001v5.0.91	no read
DNA-8590-CG001Qv51Run050-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:106361 0.04801
DNA-8590-CG001Qv51Run050-22_S22.CG001v5.0.76	nb/ratio of ambiguous positions:17749 0.0379
DNA-8590-CG001Qv51Run050-22_S22.CG001v5.0.91	no read
NF-CG001Qv51Run050-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:64816 0.04429
NF-CG001Qv51Run050-3_S3.CG001v3.4.130	no read
NF-CG001Qv51Run050-3_S3.CG001v5.0.76	nb/ratio of ambiguous positions:43657 0.04101
NF-CG001Qv51Run050-3_S3.CG001v5.0.91	no read
QMRS-CG001Qv51Run050-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:63918 0.04546
QMRS-CG001Qv51Run050-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv51Run050-2_S2.CG001v5.0.76	nb/ratio of ambiguous positions:44021 0.03978
QMRS-CG001Qv51Run050-2_S2.CG001v5.0.91	no read
