DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.7	max/average number of variants:10 1.25
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.11	max/average number of variants:6 1.95
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.2	max/average number of variants:7 1.37
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.39	max/average number of variants:4 2.25
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.113	max/average number of variants:6 1.16
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.60	max/average number of variants:5 2.23
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.48	max/average number of variants:12 1.34
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.52	max/average number of variants:6 1.12
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.56	max/average number of variants:7 1.4
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.75	max/average number of variants:14 1.4
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.105	max/average number of variants:40 3.02
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.131	max/average number of variants:6 1.19
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.43	max/average number of variants:7 1.28
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.48	max/average number of variants:7 1.35
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.51	max/average number of variants:6 1.54
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.25	max/average number of variants:11 1.23
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.122	max/average number of variants:7 1.35
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.14	max/average number of variants:7 1.19
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.8	max/average number of variants:8 1.3
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.9	max/average number of variants:7 1.2
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.12	aligned_clusters:490 nb/max/average normalized_alignments:501 12 1.022
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.12	max/average number of variants:8 1.47
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.13	max/average number of variants:8 1.21
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.8	max/average number of variants:7 1.26
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.103	max/average number of variants:5 1.54
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.125	max/average number of variants:3 1.51
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.40	max/average number of variants:6 1.24
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.41	max/average number of variants:7 1.2
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.53	max/average number of variants:11 1.33
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.94	max/average number of variants:3 1.53
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.130	no normalized_alignment
DNA-11436-CG001Qv51Run050-17_S17.CG001v3.4.130	no variant
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.34	max/average number of variants:4 1.51
DNA-11436-CG001Qv51Run050-17_S17.CG001v4.0.53	max/average number of variants:3 1.57
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.57	max/average number of variants:5 1.69
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.59	max/average number of variants:3 1.71
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.73	max/average number of variants:7 1.22
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.76	max/average number of variants:10 1.74
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.80	max/average number of variants:7 1.28
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.84	aligned_clusters:519 nb/max/average normalized_alignments:710 4 1.368
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.84	max/average number of variants:4 1.81
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.91	no normalized_alignment
DNA-11436-CG001Qv51Run050-17_S17.CG001v5.0.91	no variant
