DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.91	ratio of unmerged reads:0.09
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.91	nb/ratio of ambiguous positions:49150 0.01708
DNA-11436-CG001Qv51Next023-17_S17.CG001v5.0.39	nb/ratio of ambiguous positions:44106 0.01029
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.82	nb/ratio of ambiguous positions:127175 0.02984
DNA-11436-CG001Qv51Next023-17_S17.CG001v5.0.21	nb/ratio of ambiguous positions:66848 0.01457
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.89	ratio of unmerged reads:0.08
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.89	average quality of merged reads bases:29.93
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.89	nb/ratio of ambiguous positions:83451 0.02245
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.102	ratio of unmerged reads:0.07
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.102	nb/ratio of ambiguous positions:63738 0.01917
DNA-11436-CG001Qv51Next023-17_S17.CG001v4.0.27	nb/ratio of ambiguous positions:47687 0.01114
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.96	ratio of unmerged reads:0.14
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.96	average quality of merged reads bases:29.25
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.96	nb/ratio of ambiguous positions:305505 0.03632
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.4	ratio of unmerged reads:0.37
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.4	average quality of merged reads bases:28.12
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.4	nb/ratio of ambiguous positions:215655 0.0702
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.103	ratio of unmerged reads:0.14
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.103	nb/ratio of ambiguous positions:99967 0.04932
DNA-11436-CG001Qv51Next023-17_S17.CG001v4.0.23	nb/ratio of ambiguous positions:28713 0.01076
DNA-11436-CG001Qv51Next023-17_S17.CG001v3.4.130	no read
DNA-11436-CG001Qv51Next023-17_S17.CG001v5.0.91	no read
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.91	ratio of unmerged reads:0.09
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.91	nb/ratio of ambiguous positions:22277 0.01647
DNA-11745-CG001Qv51Next023-14_S14.CG001v5.0.39	nb/ratio of ambiguous positions:49864 0.0101
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.24	nb/ratio of ambiguous positions:84093 0.01007
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.82	nb/ratio of ambiguous positions:117292 0.03012
DNA-11745-CG001Qv51Next023-14_S14.CG001v5.0.21	nb/ratio of ambiguous positions:57409 0.01447
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.89	ratio of unmerged reads:0.08
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.89	average quality of merged reads bases:29.98
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.89	nb/ratio of ambiguous positions:45834 0.02214
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.102	ratio of unmerged reads:0.07
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.102	nb/ratio of ambiguous positions:60737 0.01922
DNA-11745-CG001Qv51Next023-14_S14.CG001v4.0.27	nb/ratio of ambiguous positions:34439 0.01143
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.96	ratio of unmerged reads:0.15
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.96	average quality of merged reads bases:29.31
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.96	nb/ratio of ambiguous positions:254972 0.03569
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.4	ratio of unmerged reads:0.36
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.4	average quality of merged reads bases:28.08
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.4	nb/ratio of ambiguous positions:150676 0.07052
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.103	ratio of unmerged reads:0.14
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.103	nb/ratio of ambiguous positions:66853 0.04914
DNA-11745-CG001Qv51Next023-14_S14.CG001v4.0.23	nb/ratio of ambiguous positions:29933 0.01063
DNA-11745-CG001Qv51Next023-14_S14.CG001v3.4.130	no read
DNA-11745-CG001Qv51Next023-14_S14.CG001v5.0.91	no read
DNA-15617-CG001Qv51Next023-11_S11.CG001v3.4.91	ratio of unmerged reads:0.11
DNA-15617-CG001Qv51Next023-11_S11.CG001v3.4.91	nb/ratio of ambiguous positions:105070 0.01614
DNA-15617-CG001Qv51Next023-11_S11.CG001v5.0.39	nb/ratio of ambiguous positions:23381 0.01012
DNA-15617-CG001Qv51Next023-11_S11.CG001v3.4.24	nb/ratio of ambiguous positions:57346 0.0109
DNA-15617-CG001Qv51Next023-11_S11.CG001v3.4.82	nb/ratio of ambiguous positions:45780 0.03057
