DNA-17308-CG001Qv51Run051-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:104561 0.04446
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.76	nb/ratio of ambiguous positions:44034 0.03198
DNA-17308-CG001Qv51Run051-16_S16.CG001v5.0.91	no read
DNA-26010-CG001Qv51Run051-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:100177 0.04157
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.76	nb/ratio of ambiguous positions:44004 0.03273
DNA-26010-CG001Qv51Run051-12_S12.CG001v5.0.91	no read
DNA-26010-CG001Qv51Run051-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:86449 0.04231
DNA-26010-CG001Qv51Run051-4_S4.CG001v5.0.76	nb/ratio of ambiguous positions:37142 0.03306
DNA-26010-CG001Qv51Run051-4_S4.CG001v5.0.91	no read
DNA-26010-CG001Qv51Run051-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:96903 0.04254
DNA-26010-CG001Qv51Run051-8_S8.CG001v5.0.76	nb/ratio of ambiguous positions:40491 0.03251
DNA-26010-CG001Qv51Run051-8_S8.CG001v5.0.91	no read
DNA-26013-CG001Qv51Run051-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:121688 0.04338
DNA-26013-CG001Qv51Run051-10_S10.CG001v5.0.76	nb/ratio of ambiguous positions:52582 0.03198
DNA-26013-CG001Qv51Run051-10_S10.CG001v5.0.91	no read
DNA-26013-CG001Qv51Run051-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:46397 0.03994
DNA-26013-CG001Qv51Run051-14_S14.CG001v5.0.76	nb/ratio of ambiguous positions:38474 0.04202
DNA-26013-CG001Qv51Run051-14_S14.CG001v5.0.91	no read
DNA-26013-CG001Qv51Run051-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:96555 0.04085
DNA-26013-CG001Qv51Run051-6_S6.CG001v5.0.76	nb/ratio of ambiguous positions:48711 0.0341
DNA-26013-CG001Qv51Run051-6_S6.CG001v5.0.91	no read
DNA-26669-CG001Qv51Run051-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:81367 0.04222
DNA-26669-CG001Qv51Run051-13_S13.CG001v5.0.76	nb/ratio of ambiguous positions:41305 0.03414
DNA-26669-CG001Qv51Run051-13_S13.CG001v5.0.91	no read
DNA-26669-CG001Qv51Run051-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:74602 0.04106
DNA-26669-CG001Qv51Run051-5_S5.CG001v5.0.76	nb/ratio of ambiguous positions:38411 0.034
DNA-26669-CG001Qv51Run051-5_S5.CG001v5.0.91	no read
DNA-26669-CG001Qv51Run051-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:98641 0.0424
DNA-26669-CG001Qv51Run051-9_S9.CG001v5.0.76	nb/ratio of ambiguous positions:43869 0.03279
DNA-26669-CG001Qv51Run051-9_S9.CG001v5.0.91	no read
DNA-26671-CG001Qv51Run051-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:67236 0.04108
DNA-26671-CG001Qv51Run051-11_S11.CG001v5.0.76	nb/ratio of ambiguous positions:41000 0.03902
DNA-26671-CG001Qv51Run051-11_S11.CG001v5.0.91	no read
DNA-26671-CG001Qv51Run051-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:113284 0.0433
DNA-26671-CG001Qv51Run051-15_S15.CG001v5.0.76	nb/ratio of ambiguous positions:49819 0.03183
DNA-26671-CG001Qv51Run051-15_S15.CG001v5.0.91	no read
DNA-26671-CG001Qv51Run051-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:94354 0.04297
DNA-26671-CG001Qv51Run051-7_S7.CG001v5.0.76	nb/ratio of ambiguous positions:39445 0.03353
DNA-26671-CG001Qv51Run051-7_S7.CG001v5.0.91	no read
NF-CG001Qv51Run051-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:94860 0.04217
NF-CG001Qv51Run051-3_S3.CG001v3.4.130	no read
NF-CG001Qv51Run051-3_S3.CG001v5.0.76	nb/ratio of ambiguous positions:29412 0.03224
NF-CG001Qv51Run051-3_S3.CG001v5.0.91	no read
QMRS-CG001Qv51Run051-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:87053 0.04244
QMRS-CG001Qv51Run051-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv51Run051-2_S2.CG001v5.0.76	nb/ratio of ambiguous positions:51312 0.03208
QMRS-CG001Qv51Run051-2_S2.CG001v5.0.91	no read
