DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.91	nb/ratio of ambiguous positions:28738 0.01017
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.82	nb/ratio of ambiguous positions:39804 0.01874
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.89	ratio of unmerged reads:0.06
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.89	average quality of merged reads bases:29.97
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.89	nb/ratio of ambiguous positions:89782 0.01993
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.96	ratio of unmerged reads:0.12
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.96	average quality of merged reads bases:29.67
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.96	nb/ratio of ambiguous positions:322690 0.02943
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.4	ratio of unmerged reads:0.22
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.4	average quality of merged reads bases:28.28
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.4	nb/ratio of ambiguous positions:291914 0.06328
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.103	ratio of unmerged reads:0.09
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.103	nb/ratio of ambiguous positions:196110 0.04248
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.91	no read
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.91	ratio of unmerged reads:0.06
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.91	nb/ratio of ambiguous positions:30708 0.01019
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.82	nb/ratio of ambiguous positions:41397 0.01801
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.89	ratio of unmerged reads:0.07
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.89	average quality of merged reads bases:29.93
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.89	nb/ratio of ambiguous positions:93516 0.021
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.96	ratio of unmerged reads:0.13
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.96	average quality of merged reads bases:29.7
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.96	nb/ratio of ambiguous positions:286735 0.02908
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.4	ratio of unmerged reads:0.22
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.4	average quality of merged reads bases:28.27
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.4	nb/ratio of ambiguous positions:301265 0.06306
DNA-17308-CG001Qv51Next024-17_S17.CG001v3.4.103	ratio of unmerged reads:0.09
