DNA-17309-CG001Qv51Run052-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:80363 0.03552
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.76	nb/ratio of ambiguous positions:36634 0.02988
DNA-17309-CG001Qv51Run052-16_S16.CG001v5.0.91	no read
DNA-26010-CG001Qv51Run052-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:69465 0.03655
DNA-26010-CG001Qv51Run052-12_S12.CG001v5.0.76	nb/ratio of ambiguous positions:32306 0.03048
DNA-26010-CG001Qv51Run052-12_S12.CG001v5.0.91	no read
DNA-26010-CG001Qv51Run052-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:67406 0.03848
DNA-26010-CG001Qv51Run052-4_S4.CG001v5.0.76	nb/ratio of ambiguous positions:27899 0.03262
DNA-26010-CG001Qv51Run052-4_S4.CG001v5.0.91	no read
DNA-26010-CG001Qv51Run052-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:64886 0.03578
DNA-26010-CG001Qv51Run052-8_S8.CG001v5.0.76	nb/ratio of ambiguous positions:29655 0.03174
DNA-26010-CG001Qv51Run052-8_S8.CG001v5.0.91	no read
DNA-26013-CG001Qv51Run052-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:67517 0.03562
DNA-26013-CG001Qv51Run052-10_S10.CG001v5.0.76	nb/ratio of ambiguous positions:32911 0.03339
DNA-26013-CG001Qv51Run052-10_S10.CG001v5.0.91	no read
DNA-26013-CG001Qv51Run052-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:56294 0.03814
DNA-26013-CG001Qv51Run052-14_S14.CG001v5.0.76	nb/ratio of ambiguous positions:35517 0.0364
DNA-26013-CG001Qv51Run052-14_S14.CG001v5.0.91	no read
DNA-26013-CG001Qv51Run052-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:74376 0.03652
DNA-26013-CG001Qv51Run052-6_S6.CG001v5.0.76	nb/ratio of ambiguous positions:31198 0.03194
DNA-26013-CG001Qv51Run052-6_S6.CG001v5.0.91	no read
DNA-26769-CG001Qv51Run052-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:62671 0.03608
DNA-26769-CG001Qv51Run052-13_S13.CG001v5.0.76	nb/ratio of ambiguous positions:32425 0.03178
DNA-26769-CG001Qv51Run052-13_S13.CG001v5.0.91	no read
DNA-26769-CG001Qv51Run052-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:85524 0.03497
DNA-26769-CG001Qv51Run052-5_S5.CG001v5.0.76	nb/ratio of ambiguous positions:33975 0.0291
DNA-26769-CG001Qv51Run052-5_S5.CG001v5.0.91	no read
DNA-26769-CG001Qv51Run052-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:65459 0.03669
DNA-26769-CG001Qv51Run052-9_S9.CG001v5.0.76	nb/ratio of ambiguous positions:32580 0.03245
DNA-26769-CG001Qv51Run052-9_S9.CG001v5.0.91	no read
DNA-26770-CG001Qv51Run052-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:68520 0.03671
DNA-26770-CG001Qv51Run052-11_S11.CG001v5.0.76	nb/ratio of ambiguous positions:31051 0.03167
DNA-26770-CG001Qv51Run052-11_S11.CG001v5.0.91	no read
DNA-26770-CG001Qv51Run052-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:84342 0.03646
DNA-26770-CG001Qv51Run052-15_S15.CG001v5.0.76	nb/ratio of ambiguous positions:30173 0.03016
DNA-26770-CG001Qv51Run052-15_S15.CG001v5.0.91	no read
DNA-26770-CG001Qv51Run052-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:83512 0.03683
DNA-26770-CG001Qv51Run052-7_S7.CG001v5.0.76	nb/ratio of ambiguous positions:33687 0.03092
DNA-26770-CG001Qv51Run052-7_S7.CG001v5.0.91	no read
NF-CG001Qv51Run052-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:78621 0.03612
NF-CG001Qv51Run052-3_S3.CG001v3.4.130	no read
NF-CG001Qv51Run052-3_S3.CG001v5.0.76	nb/ratio of ambiguous positions:48483 0.03083
NF-CG001Qv51Run052-3_S3.CG001v5.0.91	no read
QMRS-CG001Qv51Run052-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:68302 0.03597
QMRS-CG001Qv51Run052-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv51Run052-2_S2.CG001v5.0.76	nb/ratio of ambiguous positions:46303 0.03053
QMRS-CG001Qv51Run052-2_S2.CG001v5.0.91	no read
