DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.82	ratio of reads in largest cluster:0.05
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.96	ratio of reads in largest cluster:0.01
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.103	ratio of reads in largest cluster:0.0
DNA-24688-CG001Qv51Next028-11_S11.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-24688-CG001Qv51Next028-11_S11.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-24688-CG001Qv51Next028-18_S18.CG001v3.4.82	ratio of reads in largest cluster:0.06
DNA-24688-CG001Qv51Next028-18_S18.CG001v3.4.96	ratio of reads in largest cluster:0.01
DNA-24688-CG001Qv51Next028-18_S18.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-24688-CG001Qv51Next028-18_S18.CG001v3.4.103	ratio of reads in largest cluster:0.0
DNA-24688-CG001Qv51Next028-18_S18.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-24688-CG001Qv51Next028-18_S18.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-24688-CG001Qv51Next028-4_S4.CG001v3.4.82	ratio of reads in largest cluster:0.06
DNA-24688-CG001Qv51Next028-4_S4.CG001v3.4.96	ratio of reads in largest cluster:0.01
DNA-24688-CG001Qv51Next028-4_S4.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-24688-CG001Qv51Next028-4_S4.CG001v3.4.103	ratio of reads in largest cluster:0.0
DNA-24688-CG001Qv51Next028-4_S4.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-24688-CG001Qv51Next028-4_S4.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26519-CG001Qv51Next028-10_S10.CG001v3.4.82	ratio of reads in largest cluster:0.06
DNA-26519-CG001Qv51Next028-10_S10.CG001v3.4.96	ratio of reads in largest cluster:0.05
DNA-26519-CG001Qv51Next028-10_S10.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-26519-CG001Qv51Next028-10_S10.CG001v3.4.103	ratio of reads in largest cluster:0.0
DNA-26519-CG001Qv51Next028-10_S10.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26519-CG001Qv51Next028-17_S17.CG001v3.4.82	ratio of reads in largest cluster:0.07
DNA-26519-CG001Qv51Next028-17_S17.CG001v3.4.96	ratio of reads in largest cluster:0.04
DNA-26519-CG001Qv51Next028-17_S17.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-26519-CG001Qv51Next028-17_S17.CG001v3.4.103	ratio of reads in largest cluster:0.0
DNA-26519-CG001Qv51Next028-17_S17.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
