DNA-17309-CG001Qv51Run053-16_S16.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-17309-CG001Qv51Run053-16_S16.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-17309-CG001Qv51Run053-16_S16.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26011-CG001Qv51Run053-12_S12.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26011-CG001Qv51Run053-12_S12.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-26011-CG001Qv51Run053-12_S12.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26011-CG001Qv51Run053-4_S4.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26011-CG001Qv51Run053-4_S4.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-26011-CG001Qv51Run053-4_S4.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26011-CG001Qv51Run053-8_S8.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26011-CG001Qv51Run053-8_S8.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-26011-CG001Qv51Run053-8_S8.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26013-CG001Qv51Run053-10_S10.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26013-CG001Qv51Run053-10_S10.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-26013-CG001Qv51Run053-10_S10.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26013-CG001Qv51Run053-14_S14.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26013-CG001Qv51Run053-14_S14.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-26013-CG001Qv51Run053-14_S14.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26013-CG001Qv51Run053-6_S6.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26013-CG001Qv51Run053-6_S6.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-26013-CG001Qv51Run053-6_S6.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27058-CG001Qv51Run053-13_S13.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27058-CG001Qv51Run053-13_S13.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-27058-CG001Qv51Run053-13_S13.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27058-CG001Qv51Run053-5_S5.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27058-CG001Qv51Run053-5_S5.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-27058-CG001Qv51Run053-5_S5.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27058-CG001Qv51Run053-9_S9.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27058-CG001Qv51Run053-9_S9.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-27058-CG001Qv51Run053-9_S9.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27060-CG001Qv51Run053-11_S11.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27060-CG001Qv51Run053-11_S11.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-27060-CG001Qv51Run053-11_S11.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27060-CG001Qv51Run053-15_S15.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27060-CG001Qv51Run053-15_S15.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-27060-CG001Qv51Run053-15_S15.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27060-CG001Qv51Run053-7_S7.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27060-CG001Qv51Run053-7_S7.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-27060-CG001Qv51Run053-7_S7.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
NF-CG001Qv51Run053-3_S3.CG001v4.0.40	ratio of reads in largest cluster:0.0
NF-CG001Qv51Run053-3_S3.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
NF-CG001Qv51Run053-3_S3.CG001v5.0.76	ratio of reads in largest cluster:0.01
NF-CG001Qv51Run053-3_S3.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
QMRS-CG001Qv51Run053-2_S2.CG001v4.0.40	ratio of reads in largest cluster:0.0
QMRS-CG001Qv51Run053-2_S2.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
QMRS-CG001Qv51Run053-2_S2.CG001v5.0.76	ratio of reads in largest cluster:0.01
QMRS-CG001Qv51Run053-2_S2.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
