DNA-17309-CG001Qv51Run053-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:108385 0.04357
DNA-17309-CG001Qv51Run053-16_S16.CG001v5.0.76	nb/ratio of ambiguous positions:40594 0.02951
DNA-17309-CG001Qv51Run053-16_S16.CG001v5.0.91	no read
DNA-26011-CG001Qv51Run053-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:89078 0.04394
DNA-26011-CG001Qv51Run053-12_S12.CG001v5.0.76	nb/ratio of ambiguous positions:37938 0.03172
DNA-26011-CG001Qv51Run053-12_S12.CG001v5.0.91	no read
DNA-26011-CG001Qv51Run053-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:101585 0.04674
DNA-26011-CG001Qv51Run053-4_S4.CG001v5.0.76	nb/ratio of ambiguous positions:37580 0.03177
DNA-26011-CG001Qv51Run053-4_S4.CG001v5.0.91	no read
DNA-26011-CG001Qv51Run053-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:104175 0.04443
DNA-26011-CG001Qv51Run053-8_S8.CG001v5.0.76	nb/ratio of ambiguous positions:43868 0.03147
DNA-26011-CG001Qv51Run053-8_S8.CG001v5.0.91	no read
DNA-26013-CG001Qv51Run053-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:133450 0.04496
DNA-26013-CG001Qv51Run053-10_S10.CG001v5.0.76	nb/ratio of ambiguous positions:53245 0.03057
DNA-26013-CG001Qv51Run053-10_S10.CG001v5.0.91	no read
DNA-26013-CG001Qv51Run053-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:112486 0.04606
DNA-26013-CG001Qv51Run053-14_S14.CG001v5.0.76	nb/ratio of ambiguous positions:45845 0.02936
DNA-26013-CG001Qv51Run053-14_S14.CG001v5.0.91	no read
DNA-26013-CG001Qv51Run053-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:123068 0.04707
DNA-26013-CG001Qv51Run053-6_S6.CG001v5.0.76	nb/ratio of ambiguous positions:39341 0.02913
DNA-26013-CG001Qv51Run053-6_S6.CG001v5.0.91	no read
DNA-27058-CG001Qv51Run053-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:100945 0.0457
DNA-27058-CG001Qv51Run053-13_S13.CG001v5.0.76	nb/ratio of ambiguous positions:31337 0.03156
DNA-27058-CG001Qv51Run053-13_S13.CG001v5.0.91	no read
DNA-27058-CG001Qv51Run053-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:86065 0.04559
DNA-27058-CG001Qv51Run053-5_S5.CG001v5.0.76	nb/ratio of ambiguous positions:35135 0.03588
DNA-27058-CG001Qv51Run053-5_S5.CG001v5.0.91	no read
DNA-27058-CG001Qv51Run053-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:100675 0.0443
DNA-27058-CG001Qv51Run053-9_S9.CG001v5.0.76	nb/ratio of ambiguous positions:41095 0.03205
DNA-27058-CG001Qv51Run053-9_S9.CG001v5.0.91	no read
DNA-27060-CG001Qv51Run053-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:111480 0.04446
DNA-27060-CG001Qv51Run053-11_S11.CG001v5.0.76	nb/ratio of ambiguous positions:40224 0.0306
DNA-27060-CG001Qv51Run053-11_S11.CG001v5.0.91	no read
DNA-27060-CG001Qv51Run053-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:108015 0.04455
DNA-27060-CG001Qv51Run053-15_S15.CG001v5.0.76	nb/ratio of ambiguous positions:44575 0.03106
DNA-27060-CG001Qv51Run053-15_S15.CG001v5.0.91	no read
DNA-27060-CG001Qv51Run053-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:107461 0.04392
DNA-27060-CG001Qv51Run053-7_S7.CG001v5.0.76	nb/ratio of ambiguous positions:33565 0.02962
DNA-27060-CG001Qv51Run053-7_S7.CG001v5.0.91	no read
NF-CG001Qv51Run053-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:100945 0.04524
NF-CG001Qv51Run053-3_S3.CG001v3.4.130	no read
NF-CG001Qv51Run053-3_S3.CG001v5.0.76	nb/ratio of ambiguous positions:52555 0.03126
NF-CG001Qv51Run053-3_S3.CG001v5.0.91	no read
QMRS-CG001Qv51Run053-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:88276 0.04335
QMRS-CG001Qv51Run053-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv51Run053-2_S2.CG001v5.0.76	nb/ratio of ambiguous positions:54123 0.03183
QMRS-CG001Qv51Run053-2_S2.CG001v5.0.91	no read
