DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.91	ratio of unmerged reads:0.12
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.91	nb/ratio of ambiguous positions:64493 0.02584
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.39	nb/ratio of ambiguous positions:46310 0.01373
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.24	ratio of unmerged reads:0.06
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.24	nb/ratio of ambiguous positions:84437 0.01591
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.82	nb/ratio of ambiguous positions:58701 0.03992
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.21	ratio of unmerged reads:0.07
DNA-17309-CG001Qv51Next026-10_S10.CG001v5.0.21	nb/ratio of ambiguous positions:85556 0.02128
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.89	ratio of unmerged reads:0.08
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.89	average quality of merged reads bases:29.81
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.89	nb/ratio of ambiguous positions:128633 0.02678
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.102	ratio of unmerged reads:0.13
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.102	average quality of merged reads bases:29.73
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.102	nb/ratio of ambiguous positions:87707 0.02811
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.43	nb/ratio of ambiguous positions:54491 0.01368
DNA-17309-CG001Qv51Next026-10_S10.CG001v4.0.27	nb/ratio of ambiguous positions:31660 0.01328
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.96	ratio of unmerged reads:0.16
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.96	average quality of merged reads bases:28.5
DNA-17309-CG001Qv51Next026-10_S10.CG001v3.4.96	nb/ratio of ambiguous positions:487024 0.04739
