DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26519-CG001Qv51Run055-16_S16.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26519-CG001Qv51Run055-16_S16.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-26519-CG001Qv51Run055-16_S16.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27041-CG001Qv51Run055-12_S12.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27041-CG001Qv51Run055-12_S12.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-27041-CG001Qv51Run055-12_S12.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27041-CG001Qv51Run055-4_S4.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27041-CG001Qv51Run055-4_S4.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-27041-CG001Qv51Run055-4_S4.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27041-CG001Qv51Run055-7_S7.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27041-CG001Qv51Run055-7_S7.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-27041-CG001Qv51Run055-7_S7.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27042-CG001Qv51Run055-13_S13.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27042-CG001Qv51Run055-13_S13.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-27042-CG001Qv51Run055-13_S13.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27042-CG001Qv51Run055-5_S5.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27042-CG001Qv51Run055-5_S5.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-27042-CG001Qv51Run055-5_S5.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27042-CG001Qv51Run055-8_S8.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27042-CG001Qv51Run055-8_S8.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-27042-CG001Qv51Run055-8_S8.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27043-CG001Qv51Run055-14_S14.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27043-CG001Qv51Run055-14_S14.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-27043-CG001Qv51Run055-14_S14.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27043-CG001Qv51Run055-6_S6.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27043-CG001Qv51Run055-6_S6.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-27043-CG001Qv51Run055-6_S6.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27043-CG001Qv51Run055-9_S9.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27043-CG001Qv51Run055-9_S9.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-27043-CG001Qv51Run055-9_S9.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27044-CG001Qv51Run055-10_S10.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27044-CG001Qv51Run055-10_S10.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-27044-CG001Qv51Run055-10_S10.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27044-CG001Qv51Run055-15_S15.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-27044-CG001Qv51Run055-15_S15.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-27044-CG001Qv51Run055-15_S15.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
NF-CG001Qv51Run055-3_S3.CG001v4.0.40	ratio of reads in largest cluster:0.0
NF-CG001Qv51Run055-3_S3.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
NF-CG001Qv51Run055-3_S3.CG001v5.0.76	ratio of reads in largest cluster:0.0
NF-CG001Qv51Run055-3_S3.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
QMRS-CG001Qv51Run055-2_S2.CG001v4.0.40	ratio of reads in largest cluster:0.0
QMRS-CG001Qv51Run055-2_S2.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
QMRS-CG001Qv51Run055-2_S2.CG001v5.0.76	ratio of reads in largest cluster:0.01
QMRS-CG001Qv51Run055-2_S2.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
