DNA-24688-CG001Qv51Run055-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:118915 0.04501
DNA-24688-CG001Qv51Run055-11_S11.CG001v3.4.130	no read
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.76	nb/ratio of ambiguous positions:39620 0.03512
DNA-24688-CG001Qv51Run055-11_S11.CG001v5.0.91	no read
DNA-26519-CG001Qv51Run055-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:144943 0.0437
DNA-26519-CG001Qv51Run055-16_S16.CG001v5.0.76	nb/ratio of ambiguous positions:77294 0.03399
DNA-26519-CG001Qv51Run055-16_S16.CG001v5.0.91	no read
DNA-27041-CG001Qv51Run055-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:79726 0.04336
DNA-27041-CG001Qv51Run055-12_S12.CG001v5.0.76	nb/ratio of ambiguous positions:45076 0.03732
DNA-27041-CG001Qv51Run055-12_S12.CG001v5.0.91	no read
DNA-27041-CG001Qv51Run055-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:102510 0.04918
DNA-27041-CG001Qv51Run055-4_S4.CG001v5.0.76	nb/ratio of ambiguous positions:36928 0.03343
DNA-27041-CG001Qv51Run055-4_S4.CG001v5.0.91	no read
DNA-27041-CG001Qv51Run055-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:207349 0.04389
DNA-27041-CG001Qv51Run055-7_S7.CG001v5.0.76	nb/ratio of ambiguous positions:96709 0.03369
DNA-27041-CG001Qv51Run055-7_S7.CG001v5.0.91	no read
DNA-27042-CG001Qv51Run055-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:56463 0.04145
DNA-27042-CG001Qv51Run055-13_S13.CG001v5.0.76	nb/ratio of ambiguous positions:42318 0.03992
DNA-27042-CG001Qv51Run055-13_S13.CG001v5.0.91	no read
DNA-27042-CG001Qv51Run055-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:103266 0.04406
DNA-27042-CG001Qv51Run055-5_S5.CG001v5.0.76	nb/ratio of ambiguous positions:43810 0.03488
DNA-27042-CG001Qv51Run055-5_S5.CG001v5.0.91	no read
DNA-27042-CG001Qv51Run055-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:96835 0.04389
DNA-27042-CG001Qv51Run055-8_S8.CG001v5.0.76	nb/ratio of ambiguous positions:45637 0.03601
DNA-27042-CG001Qv51Run055-8_S8.CG001v5.0.91	no read
DNA-27043-CG001Qv51Run055-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:90497 0.04488
DNA-27043-CG001Qv51Run055-14_S14.CG001v5.0.76	nb/ratio of ambiguous positions:45757 0.03553
DNA-27043-CG001Qv51Run055-14_S14.CG001v5.0.91	no read
DNA-27043-CG001Qv51Run055-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:75102 0.0426
DNA-27043-CG001Qv51Run055-6_S6.CG001v5.0.76	nb/ratio of ambiguous positions:42079 0.03857
DNA-27043-CG001Qv51Run055-6_S6.CG001v5.0.91	no read
DNA-27043-CG001Qv51Run055-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:91605 0.04329
DNA-27043-CG001Qv51Run055-9_S9.CG001v5.0.76	nb/ratio of ambiguous positions:49161 0.0368
DNA-27043-CG001Qv51Run055-9_S9.CG001v5.0.91	no read
DNA-27044-CG001Qv51Run055-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:110329 0.04522
DNA-27044-CG001Qv51Run055-10_S10.CG001v5.0.76	nb/ratio of ambiguous positions:54372 0.03408
DNA-27044-CG001Qv51Run055-10_S10.CG001v5.0.91	no read
DNA-27044-CG001Qv51Run055-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:92573 0.04335
DNA-27044-CG001Qv51Run055-15_S15.CG001v5.0.76	nb/ratio of ambiguous positions:46729 0.03406
DNA-27044-CG001Qv51Run055-15_S15.CG001v5.0.91	no read
NF-CG001Qv51Run055-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:95568 0.04243
NF-CG001Qv51Run055-3_S3.CG001v3.4.130	no read
NF-CG001Qv51Run055-3_S3.CG001v5.0.76	nb/ratio of ambiguous positions:58988 0.03302
NF-CG001Qv51Run055-3_S3.CG001v5.0.91	no read
QMRS-CG001Qv51Run055-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:85228 0.04927
QMRS-CG001Qv51Run055-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv51Run055-2_S2.CG001v5.0.76	nb/ratio of ambiguous positions:45682 0.0332
QMRS-CG001Qv51Run055-2_S2.CG001v5.0.91	no read
