DNA-19825-CG001Qv51Run057-16_S16.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-20657-CG001Qv51Run057-10_S10.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-11_S11.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-20657-CG001Qv51Run057-11_S11.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-12_S12.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-12_S12.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-20657-CG001Qv51Run057-13_S13.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-13_S13.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-20657-CG001Qv51Run057-14_S14.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-14_S14.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-15_S15.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-15_S15.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-20657-CG001Qv51Run057-4_S4.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-4_S4.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-4_S4.CG001v5.0.91	ratio of reads in largest cluster:0.07
DNA-20657-CG001Qv51Run057-5_S5.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-5_S5.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-20657-CG001Qv51Run057-6_S6.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-6_S6.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-20657-CG001Qv51Run057-7_S7.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-7_S7.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-8_S8.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-8_S8.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-9_S9.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-9_S9.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-20657-CG001Qv51Run057-9_S9.CG001v5.0.91	ratio of reads in largest cluster:0.09
NF-CG001Qv51Run057-3_S3.CG001v4.0.40	ratio of reads in largest cluster:0.0
NF-CG001Qv51Run057-3_S3.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
NF-CG001Qv51Run057-3_S3.CG001v5.0.76	ratio of reads in largest cluster:0.01
QMRS-CG001Qv51Run057-2_S2.CG001v4.0.40	ratio of reads in largest cluster:0.0
QMRS-CG001Qv51Run057-2_S2.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
QMRS-CG001Qv51Run057-2_S2.CG001v5.0.76	ratio of reads in largest cluster:0.0
QMRS-CG001Qv51Run057-2_S2.CG001v5.0.91	ratio of reads in largest cluster:0.08
