DNA-19825-CG001Qv51Run057-16_S16.CG001v3.4.22	max/average number of variants:7 1.69
DNA-19825-CG001Qv51Run057-16_S16.CG001v3.4.91	max/average number of variants:7 1.15
DNA-19825-CG001Qv51Run057-16_S16.CG001v4.0.11	max/average number of variants:5 1.97
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.39	max/average number of variants:5 2.53
DNA-19825-CG001Qv51Run057-16_S16.CG001v3.4.56	max/average number of variants:7 1.67
DNA-19825-CG001Qv51Run057-16_S16.CG001v3.4.89	max/average number of variants:6 1.23
DNA-19825-CG001Qv51Run057-16_S16.CG001v3.4.90	max/average number of variants:6 1.23
DNA-19825-CG001Qv51Run057-16_S16.CG001v3.4.105	max/average number of variants:28 2.13
DNA-19825-CG001Qv51Run057-16_S16.CG001v4.0.51	max/average number of variants:4 1.77
DNA-19825-CG001Qv51Run057-16_S16.CG001v3.4.96	max/average number of variants:6 1.45
DNA-19825-CG001Qv51Run057-16_S16.CG001v4.0.55	max/average number of variants:3 1.78
DNA-19825-CG001Qv51Run057-16_S16.CG001v3.4.103	max/average number of variants:4 1.65
DNA-19825-CG001Qv51Run057-16_S16.CG001v4.0.44	max/average number of variants:3 1.52
DNA-19825-CG001Qv51Run057-16_S16.CG001v4.0.57	max/average number of variants:3 1.71
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.46	max/average number of variants:8 1.19
DNA-19825-CG001Qv51Run057-16_S16.CG001v3.4.94	max/average number of variants:4 1.74
DNA-19825-CG001Qv51Run057-16_S16.CG001v3.4.9	max/average number of variants:6 1.24
DNA-19825-CG001Qv51Run057-16_S16.CG001v3.4.130	no variant
DNA-19825-CG001Qv51Run057-16_S16.CG001v4.0.59	max/average number of variants:3 1.84
DNA-19825-CG001Qv51Run057-16_S16.CG001v4.0.50	max/average number of variants:3 1.72
DNA-19825-CG001Qv51Run057-16_S16.CG001v4.0.53	max/average number of variants:4 2.3
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.57	aligned_clusters:384 nb/max/average normalized_alignments:426 4 1.109
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.57	max/average number of variants:6 2.32
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.59	max/average number of variants:4 1.97
DNA-19825-CG001Qv51Run057-16_S16.CG001v4.0.35	max/average number of variants:5 1.8
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.73	max/average number of variants:6 1.41
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.76	max/average number of variants:7 1.28
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.84	max/average number of variants:4 1.63
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.91	aligned_clusters:372 nb/max/average normalized_alignments:376 12 1.011
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.91	max/average number of variants:25 4.42
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.92	max/average number of variants:6 1.31
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.62	aligned_clusters:210 nb/max/average normalized_alignments:235 24 1.119
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.62	max/average number of variants:34 6.13
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.64	max/average number of variants:3 1.56
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.65	max/average number of variants:6 1.19
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.66	max/average number of variants:4 1.61
DNA-19825-CG001Qv51Run057-16_S16.CG001v5.0.56	max/average number of variants:3 1.59
DNA-20657-CG001Qv51Run057-10_S10.CG001v3.4.22	max/average number of variants:4 1.59
DNA-20657-CG001Qv51Run057-10_S10.CG001v4.0.11	max/average number of variants:5 1.99
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.39	max/average number of variants:5 2.61
DNA-20657-CG001Qv51Run057-10_S10.CG001v3.4.56	max/average number of variants:7 1.58
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.22	aligned_clusters:284 nb/max/average normalized_alignments:293 12 1.032
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.22	max/average number of variants:23 2.44
DNA-20657-CG001Qv51Run057-10_S10.CG001v3.4.89	max/average number of variants:8 1.22
DNA-20657-CG001Qv51Run057-10_S10.CG001v3.4.59	max/average number of variants:6 1.17
DNA-20657-CG001Qv51Run057-10_S10.CG001v3.4.105	aligned_clusters:369 nb/max/average normalized_alignments:389 14 1.054
DNA-20657-CG001Qv51Run057-10_S10.CG001v3.4.105	max/average number of variants:39 4.23
DNA-20657-CG001Qv51Run057-10_S10.CG001v4.0.51	max/average number of variants:3 1.66
DNA-20657-CG001Qv51Run057-10_S10.CG001v3.4.138	max/average number of variants:6 1.28
DNA-20657-CG001Qv51Run057-10_S10.CG001v4.0.55	max/average number of variants:4 1.76
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.41	aligned_clusters:274 nb/max/average normalized_alignments:288 16 1.051
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.41	max/average number of variants:26 3.39
DNA-20657-CG001Qv51Run057-10_S10.CG001v3.4.103	max/average number of variants:4 1.68
DNA-20657-CG001Qv51Run057-10_S10.CG001v4.0.40	max/average number of variants:7 1.13
DNA-20657-CG001Qv51Run057-10_S10.CG001v4.0.57	max/average number of variants:3 1.67
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.46	max/average number of variants:8 1.19
DNA-20657-CG001Qv51Run057-10_S10.CG001v3.4.94	max/average number of variants:4 1.77
DNA-20657-CG001Qv51Run057-10_S10.CG001v3.4.130	no variant
DNA-20657-CG001Qv51Run057-10_S10.CG001v4.0.59	max/average number of variants:3 1.77
DNA-20657-CG001Qv51Run057-10_S10.CG001v4.0.50	max/average number of variants:4 1.64
DNA-20657-CG001Qv51Run057-10_S10.CG001v4.0.53	max/average number of variants:5 2.3
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.55	max/average number of variants:7 1.25
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.57	aligned_clusters:417 nb/max/average normalized_alignments:462 4 1.108
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.57	max/average number of variants:7 2.37
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.59	max/average number of variants:5 2.05
DNA-20657-CG001Qv51Run057-10_S10.CG001v4.0.35	max/average number of variants:8 1.78
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.73	max/average number of variants:6 1.42
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.76	max/average number of variants:10 1.27
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.84	max/average number of variants:3 1.66
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.91	max/average number of variants:16 1.57
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.92	max/average number of variants:6 1.29
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.64	max/average number of variants:3 1.57
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.66	max/average number of variants:4 1.61
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.67	max/average number of variants:8 1.17
DNA-20657-CG001Qv51Run057-10_S10.CG001v5.0.56	max/average number of variants:4 1.59
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.56	max/average number of variants:3 1.6
DNA-20657-CG001Qv51Run057-11_S11.CG001v5.0.39	max/average number of variants:5 2.63
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.60	max/average number of variants:3 1.53
DNA-20657-CG001Qv51Run057-11_S11.CG001v3.4.56	max/average number of variants:7 1.55
DNA-20657-CG001Qv51Run057-11_S11.CG001v3.4.89	max/average number of variants:7 1.19
DNA-20657-CG001Qv51Run057-11_S11.CG001v3.4.105	max/average number of variants:28 3.12
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.51	max/average number of variants:3 1.8
DNA-20657-CG001Qv51Run057-11_S11.CG001v3.4.96	max/average number of variants:4 1.59
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.18	max/average number of variants:3 1.53
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.55	max/average number of variants:4 1.77
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.58	max/average number of variants:4 1.53
DNA-20657-CG001Qv51Run057-11_S11.CG001v3.4.125	max/average number of variants:3 1.75
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.40	max/average number of variants:6 1.16
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.44	max/average number of variants:3 1.53
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.57	max/average number of variants:3 1.56
DNA-20657-CG001Qv51Run057-11_S11.CG001v5.0.46	max/average number of variants:8 1.17
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.23	max/average number of variants:6 1.17
DNA-20657-CG001Qv51Run057-11_S11.CG001v3.4.94	max/average number of variants:3 1.79
DNA-20657-CG001Qv51Run057-11_S11.CG001v3.4.130	no normalized_alignment
DNA-20657-CG001Qv51Run057-11_S11.CG001v3.4.130	no variant
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.59	max/average number of variants:3 1.73
DNA-20657-CG001Qv51Run057-11_S11.CG001v4.0.53	max/average number of variants:3 1.65
DNA-20657-CG001Qv51Run057-11_S11.CG001v5.0.57	max/average number of variants:7 2.48
DNA-20657-CG001Qv51Run057-11_S11.CG001v5.0.59	max/average number of variants:4 1.8
DNA-20657-CG001Qv51Run057-11_S11.CG001v5.0.73	max/average number of variants:6 1.23
DNA-20657-CG001Qv51Run057-11_S11.CG001v5.0.84	max/average number of variants:4 1.89
DNA-20657-CG001Qv51Run057-11_S11.CG001v5.0.93	max/average number of variants:6 1.54
DNA-20657-CG001Qv51Run057-11_S11.CG001v5.0.62	aligned_clusters:184 nb/max/average normalized_alignments:195 12 1.06
DNA-20657-CG001Qv51Run057-11_S11.CG001v5.0.62	max/average number of variants:36 4.06
DNA-20657-CG001Qv51Run057-11_S11.CG001v5.0.56	max/average number of variants:3 1.86
DNA-20657-CG001Qv51Run057-12_S12.CG001v3.4.22	max/average number of variants:6 1.73
DNA-20657-CG001Qv51Run057-12_S12.CG001v4.0.11	max/average number of variants:3 1.88
DNA-20657-CG001Qv51Run057-12_S12.CG001v5.0.39	max/average number of variants:5 2.58
DNA-20657-CG001Qv51Run057-12_S12.CG001v3.4.56	max/average number of variants:6 1.48
DNA-20657-CG001Qv51Run057-12_S12.CG001v5.0.21	max/average number of variants:6 1.26
