DNA-10635-CG001Qv51Run059-10_S10.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-15622-CG001Qv51Run059-11_S11.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-17610-CG001Qv51Run059-24_S24.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-17886-CG001Qv51Run059-17_S17.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-17886-CG001Qv51Run059-17_S17.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-17886-CG001Qv51Run059-17_S17.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-17886-CG001Qv51Run059-17_S17.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-18254-CG001Qv51Run059-4_S4.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-18254-CG001Qv51Run059-4_S4.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-18254-CG001Qv51Run059-4_S4.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-19263-CG001Qv51Run059-18_S18.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-19263-CG001Qv51Run059-18_S18.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-19263-CG001Qv51Run059-18_S18.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-19263-CG001Qv51Run059-18_S18.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26588-CG001Qv51Run059-5_S5.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26588-CG001Qv51Run059-5_S5.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-26588-CG001Qv51Run059-5_S5.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26589-CG001Qv51Run059-6_S6.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26589-CG001Qv51Run059-6_S6.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-26589-CG001Qv51Run059-6_S6.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26590-CG001Qv51Run059-7_S7.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26590-CG001Qv51Run059-7_S7.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-26590-CG001Qv51Run059-7_S7.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26591-CG001Qv51Run059-8_S8.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26591-CG001Qv51Run059-8_S8.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-26591-CG001Qv51Run059-8_S8.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26592-CG001Qv51Run059-9_S9.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26592-CG001Qv51Run059-9_S9.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-26592-CG001Qv51Run059-9_S9.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26593-CG001Qv51Run059-12_S12.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26593-CG001Qv51Run059-12_S12.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26593-CG001Qv51Run059-12_S12.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-26593-CG001Qv51Run059-12_S12.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26594-CG001Qv51Run059-13_S13.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26594-CG001Qv51Run059-13_S13.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26594-CG001Qv51Run059-13_S13.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-26594-CG001Qv51Run059-13_S13.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26595-CG001Qv51Run059-14_S14.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26595-CG001Qv51Run059-14_S14.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26595-CG001Qv51Run059-14_S14.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-26595-CG001Qv51Run059-14_S14.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26596-CG001Qv51Run059-15_S15.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26596-CG001Qv51Run059-15_S15.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26596-CG001Qv51Run059-15_S15.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-26596-CG001Qv51Run059-15_S15.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26597-CG001Qv51Run059-16_S16.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26597-CG001Qv51Run059-16_S16.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26597-CG001Qv51Run059-16_S16.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-26597-CG001Qv51Run059-16_S16.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26598-CG001Qv51Run059-19_S19.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26598-CG001Qv51Run059-19_S19.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-26598-CG001Qv51Run059-19_S19.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26599-CG001Qv51Run059-20_S20.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26599-CG001Qv51Run059-20_S20.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26599-CG001Qv51Run059-20_S20.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-26599-CG001Qv51Run059-20_S20.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26600-CG001Qv51Run059-21_S21.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26600-CG001Qv51Run059-21_S21.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26600-CG001Qv51Run059-21_S21.CG001v5.0.76	ratio of reads in largest cluster:0.0
DNA-26600-CG001Qv51Run059-21_S21.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26601-CG001Qv51Run059-22_S22.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26601-CG001Qv51Run059-22_S22.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26601-CG001Qv51Run059-22_S22.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-26601-CG001Qv51Run059-22_S22.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26602-CG001Qv51Run059-23_S23.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-26602-CG001Qv51Run059-23_S23.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-26602-CG001Qv51Run059-23_S23.CG001v5.0.76	ratio of reads in largest cluster:0.01
DNA-26602-CG001Qv51Run059-23_S23.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
NF-CG001Qv51Run059-3_S3.CG001v4.0.40	ratio of reads in largest cluster:0.0
NF-CG001Qv51Run059-3_S3.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
NF-CG001Qv51Run059-3_S3.CG001v5.0.76	ratio of reads in largest cluster:0.0
NF-CG001Qv51Run059-3_S3.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
QMRS-CG001Qv51Run059-2_S2.CG001v4.0.40	ratio of reads in largest cluster:0.0
QMRS-CG001Qv51Run059-2_S2.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
QMRS-CG001Qv51Run059-2_S2.CG001v5.0.76	ratio of reads in largest cluster:0.0
