DNA-10635-CG001Qv51Run059-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:71888 0.04346
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.130	no read
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.76	nb/ratio of ambiguous positions:22537 0.03418
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.91	no read
DNA-15622-CG001Qv51Run059-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:81778 0.04357
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.76	nb/ratio of ambiguous positions:30211 0.03432
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.91	no read
DNA-17610-CG001Qv51Run059-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:63870 0.04549
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.130	no read
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.76	nb/ratio of ambiguous positions:21706 0.03608
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.91	no read
DNA-17886-CG001Qv51Run059-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:102544 0.04431
DNA-17886-CG001Qv51Run059-17_S17.CG001v3.4.130	no read
DNA-17886-CG001Qv51Run059-17_S17.CG001v5.0.76	nb/ratio of ambiguous positions:30622 0.03306
DNA-17886-CG001Qv51Run059-17_S17.CG001v5.0.91	no read
DNA-18254-CG001Qv51Run059-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:42877 0.04351
DNA-18254-CG001Qv51Run059-4_S4.CG001v5.0.76	nb/ratio of ambiguous positions:20597 0.0395
DNA-18254-CG001Qv51Run059-4_S4.CG001v5.0.91	no read
DNA-19263-CG001Qv51Run059-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:67554 0.04494
DNA-19263-CG001Qv51Run059-18_S18.CG001v3.4.130	no read
DNA-19263-CG001Qv51Run059-18_S18.CG001v5.0.76	nb/ratio of ambiguous positions:28608 0.03327
DNA-19263-CG001Qv51Run059-18_S18.CG001v5.0.91	no read
DNA-26588-CG001Qv51Run059-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:43325 0.04217
DNA-26588-CG001Qv51Run059-5_S5.CG001v5.0.76	nb/ratio of ambiguous positions:16593 0.03815
DNA-26588-CG001Qv51Run059-5_S5.CG001v5.0.91	no read
DNA-26589-CG001Qv51Run059-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:78308 0.04346
DNA-26589-CG001Qv51Run059-6_S6.CG001v5.0.76	nb/ratio of ambiguous positions:23821 0.03385
DNA-26589-CG001Qv51Run059-6_S6.CG001v5.0.91	no read
DNA-26590-CG001Qv51Run059-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:81392 0.04732
DNA-26590-CG001Qv51Run059-7_S7.CG001v5.0.76	nb/ratio of ambiguous positions:23326 0.03498
DNA-26590-CG001Qv51Run059-7_S7.CG001v5.0.91	no read
DNA-26591-CG001Qv51Run059-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:70757 0.04833
DNA-26591-CG001Qv51Run059-8_S8.CG001v5.0.76	nb/ratio of ambiguous positions:19061 0.03471
DNA-26591-CG001Qv51Run059-8_S8.CG001v5.0.91	no read
DNA-26592-CG001Qv51Run059-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:65218 0.04423
DNA-26592-CG001Qv51Run059-9_S9.CG001v5.0.76	nb/ratio of ambiguous positions:21325 0.03455
DNA-26592-CG001Qv51Run059-9_S9.CG001v5.0.91	no read
DNA-26593-CG001Qv51Run059-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:96777 0.0443
DNA-26593-CG001Qv51Run059-12_S12.CG001v3.4.130	no read
DNA-26593-CG001Qv51Run059-12_S12.CG001v5.0.76	nb/ratio of ambiguous positions:35353 0.03485
DNA-26593-CG001Qv51Run059-12_S12.CG001v5.0.91	no read
DNA-26594-CG001Qv51Run059-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:95809 0.04417
DNA-26594-CG001Qv51Run059-13_S13.CG001v3.4.130	no read
DNA-26594-CG001Qv51Run059-13_S13.CG001v5.0.76	nb/ratio of ambiguous positions:31053 0.03436
DNA-26594-CG001Qv51Run059-13_S13.CG001v5.0.91	no read
DNA-26595-CG001Qv51Run059-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:81325 0.04235
DNA-26595-CG001Qv51Run059-14_S14.CG001v3.4.130	no read
DNA-26595-CG001Qv51Run059-14_S14.CG001v5.0.76	nb/ratio of ambiguous positions:30405 0.03804
DNA-26595-CG001Qv51Run059-14_S14.CG001v5.0.91	no read
DNA-26596-CG001Qv51Run059-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:102472 0.04366
DNA-26596-CG001Qv51Run059-15_S15.CG001v3.4.130	no read
DNA-26596-CG001Qv51Run059-15_S15.CG001v5.0.76	nb/ratio of ambiguous positions:33358 0.03501
DNA-26596-CG001Qv51Run059-15_S15.CG001v5.0.91	no read
DNA-26597-CG001Qv51Run059-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:105054 0.05245
DNA-26597-CG001Qv51Run059-16_S16.CG001v3.4.130	no read
DNA-26597-CG001Qv51Run059-16_S16.CG001v5.0.76	nb/ratio of ambiguous positions:28689 0.0352
DNA-26597-CG001Qv51Run059-16_S16.CG001v5.0.91	no read
DNA-26598-CG001Qv51Run059-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:59841 0.04449
DNA-26598-CG001Qv51Run059-19_S19.CG001v5.0.76	nb/ratio of ambiguous positions:24025 0.03394
DNA-26598-CG001Qv51Run059-19_S19.CG001v5.0.91	no read
DNA-26599-CG001Qv51Run059-20_S20.CG001v4.0.40	ratio of unmerged reads:0.06
DNA-26599-CG001Qv51Run059-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:28538 0.04103
DNA-26599-CG001Qv51Run059-20_S20.CG001v3.4.130	no read
DNA-26599-CG001Qv51Run059-20_S20.CG001v5.0.76	nb/ratio of ambiguous positions:18401 0.04026
DNA-26599-CG001Qv51Run059-20_S20.CG001v5.0.91	no read
DNA-26600-CG001Qv51Run059-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:58490 0.04359
DNA-26600-CG001Qv51Run059-21_S21.CG001v3.4.130	no read
DNA-26600-CG001Qv51Run059-21_S21.CG001v5.0.76	nb/ratio of ambiguous positions:26181 0.03575
DNA-26600-CG001Qv51Run059-21_S21.CG001v5.0.91	no read
DNA-26601-CG001Qv51Run059-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:77637 0.04499
DNA-26601-CG001Qv51Run059-22_S22.CG001v3.4.130	no read
DNA-26601-CG001Qv51Run059-22_S22.CG001v5.0.76	nb/ratio of ambiguous positions:26919 0.03313
DNA-26601-CG001Qv51Run059-22_S22.CG001v5.0.91	no read
DNA-26602-CG001Qv51Run059-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:90564 0.04397
DNA-26602-CG001Qv51Run059-23_S23.CG001v3.4.130	no read
DNA-26602-CG001Qv51Run059-23_S23.CG001v5.0.76	nb/ratio of ambiguous positions:30733 0.03332
DNA-26602-CG001Qv51Run059-23_S23.CG001v5.0.91	no read
NF-CG001Qv51Run059-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:54511 0.04496
NF-CG001Qv51Run059-3_S3.CG001v3.4.130	no read
NF-CG001Qv51Run059-3_S3.CG001v5.0.76	nb/ratio of ambiguous positions:30847 0.0339
NF-CG001Qv51Run059-3_S3.CG001v5.0.91	no read
QMRS-CG001Qv51Run059-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:71187 0.04401
QMRS-CG001Qv51Run059-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv51Run059-2_S2.CG001v5.0.76	nb/ratio of ambiguous positions:40241 0.03389
QMRS-CG001Qv51Run059-2_S2.CG001v5.0.91	no read
