DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.118	max/average number of variants:3 1.53
DNA-10635-CG001Qv51Run059-10_S10.CG001v4.0.11	aligned_clusters:205 nb/max/average normalized_alignments:217 12 1.059
DNA-10635-CG001Qv51Run059-10_S10.CG001v4.0.11	max/average number of variants:5 1.93
DNA-10635-CG001Qv51Run059-10_S10.CG001v4.0.20	max/average number of variants:3 1.51
DNA-10635-CG001Qv51Run059-10_S10.CG001v4.0.21	max/average number of variants:4 1.54
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.39	max/average number of variants:5 1.91
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.24	max/average number of variants:7 1.22
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.21	max/average number of variants:6 1.3
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.59	max/average number of variants:6 1.15
DNA-10635-CG001Qv51Run059-10_S10.CG001v4.0.51	max/average number of variants:3 1.51
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.96	max/average number of variants:6 1.46
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.5	max/average number of variants:6 1.33
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.138	max/average number of variants:6 1.21
DNA-10635-CG001Qv51Run059-10_S10.CG001v4.0.8	max/average number of variants:8 1.27
DNA-10635-CG001Qv51Run059-10_S10.CG001v4.0.58	max/average number of variants:4 1.6
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.103	max/average number of variants:5 1.61
DNA-10635-CG001Qv51Run059-10_S10.CG001v4.0.40	max/average number of variants:6 1.17
DNA-10635-CG001Qv51Run059-10_S10.CG001v4.0.44	max/average number of variants:5 1.6
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.53	max/average number of variants:7 1.18
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.94	max/average number of variants:5 1.7
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.132	max/average number of variants:6 1.16
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.130	no normalized_alignment
DNA-10635-CG001Qv51Run059-10_S10.CG001v3.4.130	no variant
DNA-10635-CG001Qv51Run059-10_S10.CG001v4.0.34	max/average number of variants:9 1.49
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.57	max/average number of variants:4 1.57
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.59	max/average number of variants:4 1.68
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.71	max/average number of variants:7 1.27
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.76	max/average number of variants:6 1.44
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.84	max/average number of variants:5 1.69
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.91	no normalized_alignment
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.91	no variant
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.92	max/average number of variants:7 1.3
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.95	max/average number of variants:10 1.5
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.62	max/average number of variants:6 1.25
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.67	max/average number of variants:13 1.33
DNA-10635-CG001Qv51Run059-10_S10.CG001v5.0.56	max/average number of variants:3 1.62
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.22	max/average number of variants:5 1.55
DNA-15622-CG001Qv51Run059-11_S11.CG001v4.0.11	max/average number of variants:10 1.98
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.39	max/average number of variants:4 2.24
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.24	max/average number of variants:7 1.25
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.20	aligned_clusters:514 nb/max/average normalized_alignments:557 22 1.084
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.20	max/average number of variants:5 1.6
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.56	max/average number of variants:6 1.39
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.89	max/average number of variants:7 1.2
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.41	max/average number of variants:6 1.16
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.105	max/average number of variants:28 1.91
DNA-15622-CG001Qv51Run059-11_S11.CG001v4.0.51	max/average number of variants:3 1.61
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.25	max/average number of variants:6 1.18
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.111	max/average number of variants:8 1.22
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.5	max/average number of variants:6 1.28
DNA-15622-CG001Qv51Run059-11_S11.CG001v4.0.8	aligned_clusters:544 nb/max/average normalized_alignments:555 18 1.02
DNA-15622-CG001Qv51Run059-11_S11.CG001v4.0.8	max/average number of variants:29 2.86
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.72	max/average number of variants:11 1.23
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.103	max/average number of variants:4 1.54
DNA-15622-CG001Qv51Run059-11_S11.CG001v4.0.40	max/average number of variants:6 1.2
DNA-15622-CG001Qv51Run059-11_S11.CG001v4.0.44	max/average number of variants:4 1.59
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.18	max/average number of variants:10 1.43
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.130	no variant
DNA-15622-CG001Qv51Run059-11_S11.CG001v4.0.50	max/average number of variants:3 1.59
DNA-15622-CG001Qv51Run059-11_S11.CG001v4.0.53	max/average number of variants:3 1.59
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.57	max/average number of variants:6 2.28
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.59	max/average number of variants:3 2.01
DNA-15622-CG001Qv51Run059-11_S11.CG001v4.0.35	max/average number of variants:6 1.63
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.76	max/average number of variants:8 1.37
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.78	max/average number of variants:8 1.23
DNA-15622-CG001Qv51Run059-11_S11.CG001v3.4.99	max/average number of variants:7 1.19
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.84	max/average number of variants:3 1.65
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.91	no normalized_alignment
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.91	no variant
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.92	max/average number of variants:7 1.37
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.93	max/average number of variants:8 1.47
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.64	max/average number of variants:4 1.52
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.65	max/average number of variants:6 1.23
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.67	max/average number of variants:7 1.15
DNA-15622-CG001Qv51Run059-11_S11.CG001v5.0.56	max/average number of variants:3 1.75
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.22	max/average number of variants:9 1.7
DNA-17610-CG001Qv51Run059-24_S24.CG001v4.0.11	max/average number of variants:6 1.79
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.39	max/average number of variants:5 2.19
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.27	max/average number of variants:6 1.22
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.56	max/average number of variants:7 1.42
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.21	max/average number of variants:7 1.23
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.59	max/average number of variants:6 1.17
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.105	max/average number of variants:28 2.24
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.135	max/average number of variants:8 1.25
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.37	max/average number of variants:7 1.27
DNA-17610-CG001Qv51Run059-24_S24.CG001v4.0.51	max/average number of variants:4 1.54
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.39	max/average number of variants:10 1.59
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.5	max/average number of variants:7 1.26
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.15	max/average number of variants:6 1.17
DNA-17610-CG001Qv51Run059-24_S24.CG001v4.0.55	max/average number of variants:8 1.47
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.74	max/average number of variants:6 1.15
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.103	max/average number of variants:5 1.67
DNA-17610-CG001Qv51Run059-24_S24.CG001v4.0.40	max/average number of variants:6 1.29
DNA-17610-CG001Qv51Run059-24_S24.CG001v4.0.57	max/average number of variants:4 2.51
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.18	aligned_clusters:297 nb/max/average normalized_alignments:314 20 1.057
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.18	max/average number of variants:12 2.27
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.130	no normalized_alignment
DNA-17610-CG001Qv51Run059-24_S24.CG001v3.4.130	no variant
DNA-17610-CG001Qv51Run059-24_S24.CG001v4.0.34	max/average number of variants:4 1.53
DNA-17610-CG001Qv51Run059-24_S24.CG001v4.0.53	max/average number of variants:2 1.51
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.57	max/average number of variants:7 2.29
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.59	max/average number of variants:4 2.02
DNA-17610-CG001Qv51Run059-24_S24.CG001v4.0.35	max/average number of variants:4 1.56
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.76	max/average number of variants:7 1.46
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.90	aligned_clusters:234 nb/max/average normalized_alignments:243 14 1.038
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.90	max/average number of variants:10 2.11
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.91	no normalized_alignment
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.91	no variant
DNA-17610-CG001Qv51Run059-24_S24.CG001v5.0.92	max/average number of variants:6 1.32
DNA-17886-CG001Qv51Run059-17_S17.CG001v5.0.127b	aligned_clusters:276 nb/max/average normalized_alignments:286 12 1.036
