DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.89	nb/ratio of ambiguous positions:74224 0.01737
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.96	ratio of unmerged reads:0.07
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.96	nb/ratio of ambiguous positions:147479 0.01304
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.4	average quality of merged reads bases:29.04
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.4	nb/ratio of ambiguous positions:150148 0.0446
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.103	ratio of unmerged reads:0.06
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.103	nb/ratio of ambiguous positions:76185 0.02883
DNA-25524-CG001Qv51Next032-11_S11.CG001v5.0.91	no read
DNA-25524-CG001Qv51Next032-18_S18.CG001v3.4.89	nb/ratio of ambiguous positions:76913 0.01739
DNA-25524-CG001Qv51Next032-18_S18.CG001v3.4.96	ratio of unmerged reads:0.07
DNA-25524-CG001Qv51Next032-18_S18.CG001v3.4.96	nb/ratio of ambiguous positions:144601 0.0135
DNA-25524-CG001Qv51Next032-18_S18.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-25524-CG001Qv51Next032-18_S18.CG001v3.4.4	average quality of merged reads bases:29.12
DNA-25524-CG001Qv51Next032-18_S18.CG001v3.4.4	nb/ratio of ambiguous positions:136333 0.0423
DNA-25524-CG001Qv51Next032-18_S18.CG001v3.4.103	ratio of unmerged reads:0.06
DNA-25524-CG001Qv51Next032-18_S18.CG001v3.4.103	nb/ratio of ambiguous positions:66484 0.02558
DNA-25524-CG001Qv51Next032-18_S18.CG001v3.4.130	no read
DNA-25524-CG001Qv51Next032-18_S18.CG001v5.0.91	no read
DNA-25524-CG001Qv51Next032-4_S4.CG001v3.4.89	nb/ratio of ambiguous positions:71535 0.01676
DNA-25524-CG001Qv51Next032-4_S4.CG001v3.4.96	ratio of unmerged reads:0.07
DNA-25524-CG001Qv51Next032-4_S4.CG001v3.4.96	nb/ratio of ambiguous positions:139599 0.0129
DNA-25524-CG001Qv51Next032-4_S4.CG001v3.4.4	ratio of unmerged reads:0.1
DNA-25524-CG001Qv51Next032-4_S4.CG001v3.4.4	average quality of merged reads bases:29.02
DNA-25524-CG001Qv51Next032-4_S4.CG001v3.4.4	nb/ratio of ambiguous positions:141246 0.0448
DNA-25524-CG001Qv51Next032-4_S4.CG001v3.4.103	ratio of unmerged reads:0.06
DNA-25524-CG001Qv51Next032-4_S4.CG001v3.4.103	nb/ratio of ambiguous positions:70026 0.03005
DNA-25524-CG001Qv51Next032-4_S4.CG001v3.4.130	no read
DNA-25524-CG001Qv51Next032-4_S4.CG001v5.0.91	no read
DNA-26519-CG001Qv51Next032-10_S10.CG001v3.4.89	nb/ratio of ambiguous positions:74499 0.01562
DNA-26519-CG001Qv51Next032-10_S10.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-26519-CG001Qv51Next032-10_S10.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-26519-CG001Qv51Next032-10_S10.CG001v3.4.4	average quality of merged reads bases:29.18
DNA-26519-CG001Qv51Next032-10_S10.CG001v3.4.4	nb/ratio of ambiguous positions:144546 0.04156
DNA-26519-CG001Qv51Next032-10_S10.CG001v3.4.103	nb/ratio of ambiguous positions:67003 0.0158
DNA-26519-CG001Qv51Next032-10_S10.CG001v5.0.91	no read
DNA-26519-CG001Qv51Next032-17_S17.CG001v3.4.89	nb/ratio of ambiguous positions:86434 0.01641
DNA-26519-CG001Qv51Next032-17_S17.CG001v3.4.4	ratio of unmerged reads:0.1
DNA-26519-CG001Qv51Next032-17_S17.CG001v3.4.4	average quality of merged reads bases:29.01
DNA-26519-CG001Qv51Next032-17_S17.CG001v3.4.4	nb/ratio of ambiguous positions:166854 0.04605
DNA-26519-CG001Qv51Next032-17_S17.CG001v3.4.103	ratio of unmerged reads:0.06
DNA-26519-CG001Qv51Next032-17_S17.CG001v3.4.103	nb/ratio of ambiguous positions:124271 0.03002
DNA-26519-CG001Qv51Next032-17_S17.CG001v5.0.91	no read
DNA-26519-CG001Qv51Next032-24_S24.CG001v3.4.89	nb/ratio of ambiguous positions:84061 0.01677
DNA-26519-CG001Qv51Next032-24_S24.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-26519-CG001Qv51Next032-24_S24.CG001v3.4.4	average quality of merged reads bases:29.03
DNA-26519-CG001Qv51Next032-24_S24.CG001v3.4.4	nb/ratio of ambiguous positions:155960 0.04403
DNA-26519-CG001Qv51Next032-24_S24.CG001v3.4.103	nb/ratio of ambiguous positions:120879 0.03095
DNA-26519-CG001Qv51Next032-24_S24.CG001v5.0.91	no read
DNA-27489-CG001Qv51Next032-12_S12.CG001v3.4.89	nb/ratio of ambiguous positions:82518 0.01763
DNA-27489-CG001Qv51Next032-12_S12.CG001v3.4.96	nb/ratio of ambiguous positions:102048 0.01022
DNA-27489-CG001Qv51Next032-12_S12.CG001v3.4.4	ratio of unmerged reads:0.1
DNA-27489-CG001Qv51Next032-12_S12.CG001v3.4.4	average quality of merged reads bases:29.0
DNA-27489-CG001Qv51Next032-12_S12.CG001v3.4.4	nb/ratio of ambiguous positions:166237 0.04561
DNA-27489-CG001Qv51Next032-12_S12.CG001v3.4.103	ratio of unmerged reads:0.06
DNA-27489-CG001Qv51Next032-12_S12.CG001v3.4.103	nb/ratio of ambiguous positions:121079 0.03033
DNA-27489-CG001Qv51Next032-12_S12.CG001v5.0.91	no read
DNA-27489-CG001Qv51Next032-19_S19.CG001v3.4.89	nb/ratio of ambiguous positions:86925 0.01795
DNA-27489-CG001Qv51Next032-19_S19.CG001v3.4.96	nb/ratio of ambiguous positions:98351 0.0101
DNA-27489-CG001Qv51Next032-19_S19.CG001v3.4.4	ratio of unmerged reads:0.1
DNA-27489-CG001Qv51Next032-19_S19.CG001v3.4.4	average quality of merged reads bases:28.99
DNA-27489-CG001Qv51Next032-19_S19.CG001v3.4.4	nb/ratio of ambiguous positions:160504 0.04595
DNA-27489-CG001Qv51Next032-19_S19.CG001v3.4.103	nb/ratio of ambiguous positions:117840 0.02957
DNA-27489-CG001Qv51Next032-19_S19.CG001v5.0.91	no read
DNA-27489-CG001Qv51Next032-5_S5.CG001v3.4.89	nb/ratio of ambiguous positions:83125 0.01692
DNA-27489-CG001Qv51Next032-5_S5.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-27489-CG001Qv51Next032-5_S5.CG001v3.4.96	nb/ratio of ambiguous positions:87490 0.01004
DNA-27489-CG001Qv51Next032-5_S5.CG001v3.4.4	ratio of unmerged reads:0.1
DNA-27489-CG001Qv51Next032-5_S5.CG001v3.4.4	average quality of merged reads bases:29.09
DNA-27489-CG001Qv51Next032-5_S5.CG001v3.4.4	nb/ratio of ambiguous positions:145064 0.04321
DNA-27489-CG001Qv51Next032-5_S5.CG001v3.4.103	ratio of unmerged reads:0.06
DNA-27489-CG001Qv51Next032-5_S5.CG001v3.4.103	nb/ratio of ambiguous positions:93445 0.02877
DNA-27489-CG001Qv51Next032-5_S5.CG001v5.0.91	no read
DNA-27490-CG001Qv51Next032-13_S13.CG001v3.4.89	nb/ratio of ambiguous positions:73868 0.01678
DNA-27490-CG001Qv51Next032-13_S13.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-27490-CG001Qv51Next032-13_S13.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-27490-CG001Qv51Next032-13_S13.CG001v3.4.4	average quality of merged reads bases:29.11
DNA-27490-CG001Qv51Next032-13_S13.CG001v3.4.4	nb/ratio of ambiguous positions:139125 0.04344
