DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.22	max/average number of variants:4 1.53
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.118	max/average number of variants:4 1.64
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.91	max/average number of variants:9 1.37
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.11	max/average number of variants:5 1.89
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.20	max/average number of variants:4 1.63
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.21	max/average number of variants:4 1.51
DNA-25524-CG001Qv51Next032-11_S11.CG001v5.0.2	max/average number of variants:4 1.54
DNA-25524-CG001Qv51Next032-11_S11.CG001v5.0.39	max/average number of variants:6 2.17
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.24	max/average number of variants:10 1.48
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.113	max/average number of variants:7 1.26
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.38	max/average number of variants:6 1.22
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.56	max/average number of variants:7 1.47
DNA-25524-CG001Qv51Next032-11_S11.CG001v5.0.21	max/average number of variants:8 1.22
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.89	max/average number of variants:8 1.15
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.105	max/average number of variants:38 2.07
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.102	max/average number of variants:6 1.22
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.131	max/average number of variants:9 1.33
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.43	max/average number of variants:6 1.3
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.51	max/average number of variants:5 2.12
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.111	max/average number of variants:7 1.36
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.96	max/average number of variants:8 1.2
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.14	max/average number of variants:9 1.39
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.54	aligned_clusters:1041 nb/max/average normalized_alignments:1033 17 0.992
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.54	max/average number of variants:6 1.66
DNA-25524-CG001Qv51Next032-11_S11.CG001v5.0.41	max/average number of variants:26 1.62
