DNA-17209-CG001Qv51Next007-11_S11.CG001v5.0.127b	aligned_clusters:2043 nb/max/average normalized_alignments:1962 36 0.96
DNA-17209-CG001Qv51Next007-11_S11.CG001v5.0.127b	max/average number of variants:8 1.6
DNA-17209-CG001Qv51Next007-11_S11.CG001v3.4.91	max/average number of variants:10 1.47
DNA-17209-CG001Qv51Next007-11_S11.CG001v4.0.7	max/average number of variants:8 1.27
DNA-17209-CG001Qv51Next007-11_S11.CG001v4.0.11	max/average number of variants:9 1.77
DNA-17209-CG001Qv51Next007-11_S11.CG001v3.4.66	aligned_clusters:1028 nb/max/average normalized_alignments:1001 12 0.974
DNA-17209-CG001Qv51Next007-11_S11.CG001v3.4.66	max/average number of variants:10 1.46
DNA-17209-CG001Qv51Next007-11_S11.CG001v5.0.2	max/average number of variants:7 1.3
DNA-17209-CG001Qv51Next007-11_S11.CG001v5.0.39	max/average number of variants:5 2.13
DNA-17209-CG001Qv51Next007-11_S11.CG001v3.4.27	aligned_clusters:1083 nb/max/average normalized_alignments:1031 11 0.952
DNA-17209-CG001Qv51Next007-11_S11.CG001v3.4.27	max/average number of variants:6 1.28
DNA-17209-CG001Qv51Next007-11_S11.CG001v3.4.24	max/average number of variants:10 1.55
DNA-17209-CG001Qv51Next007-11_S11.CG001v3.4.51	max/average number of variants:7 1.19
DNA-17209-CG001Qv51Next007-11_S11.CG001v3.4.26	aligned_clusters:1602 nb/max/average normalized_alignments:1615 18 1.008
DNA-17209-CG001Qv51Next007-11_S11.CG001v3.4.26	max/average number of variants:16 1.94
DNA-17209-CG001Qv51Next007-11_S11.CG001v3.4.113	max/average number of variants:10 1.36
DNA-17209-CG001Qv51Next007-11_S11.CG001v4.0.38	aligned_clusters:2073 nb/max/average normalized_alignments:1952 15 0.942
DNA-17209-CG001Qv51Next007-11_S11.CG001v4.0.38	max/average number of variants:23 1.59
DNA-17209-CG001Qv51Next007-11_S11.CG001v4.0.48	max/average number of variants:6 1.26
