DNA-19825-CG001Qv51Next012-11_S11.CG001v5.0.127b	aligned_clusters:848 nb/max/average normalized_alignments:854 20 1.007
DNA-19825-CG001Qv51Next012-11_S11.CG001v5.0.127b	max/average number of variants:8 1.67
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.22	max/average number of variants:7 1.68
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.91	max/average number of variants:8 1.34
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.11	aligned_clusters:711 nb/max/average normalized_alignments:788 33 1.108
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.11	max/average number of variants:11 2.39
DNA-19825-CG001Qv51Next012-11_S11.CG001v5.0.2	max/average number of variants:7 1.27
DNA-19825-CG001Qv51Next012-11_S11.CG001v5.0.39	max/average number of variants:7 2.48
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.7	aligned_clusters:427 nb/max/average normalized_alignments:429 18 1.005
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.24	max/average number of variants:6 1.32
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.26	max/average number of variants:16 1.46
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.38	aligned_clusters:987 nb/max/average normalized_alignments:963 15 0.976
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.38	max/average number of variants:6 1.37
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.48	max/average number of variants:6 1.26
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.56	max/average number of variants:7 1.54
DNA-19825-CG001Qv51Next012-11_S11.CG001v5.0.22	aligned_clusters:1148 nb/max/average normalized_alignments:1186 48 1.033
DNA-19825-CG001Qv51Next012-11_S11.CG001v5.0.22	max/average number of variants:14 1.7
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.89	max/average number of variants:8 1.18
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.41	aligned_clusters:540 nb/max/average normalized_alignments:540 17 1.0
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.41	max/average number of variants:8 1.31
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.105	max/average number of variants:48 2.68
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.102	aligned_clusters:1325 nb/max/average normalized_alignments:1345 32 1.015
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.102	max/average number of variants:23 2.33
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.131	aligned_clusters:1002 nb/max/average normalized_alignments:976 11 0.974
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.43	aligned_clusters:754 nb/max/average normalized_alignments:851 56 1.129
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.43	max/average number of variants:7 2.14
DNA-19825-CG001Qv51Next012-11_S11.CG001v5.0.25	max/average number of variants:6 1.29
DNA-19825-CG001Qv51Next012-11_S11.CG001v5.0.50	max/average number of variants:8 1.4
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.51	aligned_clusters:1191 nb/max/average normalized_alignments:1184 16 0.994
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.51	max/average number of variants:5 1.6
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.111	max/average number of variants:8 1.41
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.108	max/average number of variants:6 1.35
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.96	aligned_clusters:6926 nb/max/average normalized_alignments:6722 27 0.971
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.96	max/average number of variants:6 1.24
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.5	aligned_clusters:1063 nb/max/average normalized_alignments:1269 56 1.194
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.5	max/average number of variants:7 1.77
DNA-19825-CG001Qv51Next012-11_S11.CG001v3.4.122	max/average number of variants:4 1.66
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.8	aligned_clusters:1153 nb/max/average normalized_alignments:1929 74 1.673
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.8	max/average number of variants:7 3.48
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.12	aligned_clusters:1131 nb/max/average normalized_alignments:1343 56 1.187
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.12	max/average number of variants:15 3.22
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.55	max/average number of variants:4 1.67
DNA-19825-CG001Qv51Next012-11_S11.CG001v4.0.58	max/average number of variants:4 1.53
