DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.127b	aligned_clusters:1563 nb/max/average normalized_alignments:1533 48 0.981
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.127b	max/average number of variants:24 2.63
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.91	max/average number of variants:7 1.53
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.11	max/average number of variants:8 1.85
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.20	aligned_clusters:927 nb/max/average normalized_alignments:897 15 0.968
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.20	max/average number of variants:4 1.51
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.21	max/average number of variants:4 1.64
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.39	max/average number of variants:5 1.94
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.7	max/average number of variants:6 1.29
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.24	aligned_clusters:4219 nb/max/average normalized_alignments:4124 36 0.977
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.24	max/average number of variants:12 1.89
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.26	aligned_clusters:3291 nb/max/average normalized_alignments:3460 35 1.051
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.26	max/average number of variants:30 3.77
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.113	max/average number of variants:6 1.26
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.60	aligned_clusters:822 nb/max/average normalized_alignments:807 16 0.982
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.38	aligned_clusters:2213 nb/max/average normalized_alignments:2087 15 0.943
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.38	max/average number of variants:7 1.34
DNA-17308-CG001Qv51Next024-10_S10.CG001v4.0.48	max/average number of variants:6 1.24
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.20	max/average number of variants:6 1.27
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.56	max/average number of variants:8 2.17
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.21	max/average number of variants:8 1.24
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.22	aligned_clusters:1799 nb/max/average normalized_alignments:1903 82 1.058
DNA-17308-CG001Qv51Next024-10_S10.CG001v5.0.22	max/average number of variants:35 2.29
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.89	aligned_clusters:10564 nb/max/average normalized_alignments:10012 45 0.948
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.89	max/average number of variants:9 1.34
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.41	aligned_clusters:1685 nb/max/average normalized_alignments:1626 17 0.965
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.59	max/average number of variants:6 1.31
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.105	aligned_clusters:2966 nb/max/average normalized_alignments:2825 20 0.952
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.105	max/average number of variants:36 1.95
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.102	max/average number of variants:22 1.29
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.77	max/average number of variants:7 1.2
DNA-17308-CG001Qv51Next024-10_S10.CG001v3.4.43	max/average number of variants:12 1.38
