DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.89	nb/ratio of ambiguous positions:59739 0.01589
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.96	nb/ratio of ambiguous positions:138527 0.01377
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.4	average quality of merged reads bases:28.95
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.4	nb/ratio of ambiguous positions:213003 0.04581
DNA-17309-CG001Qv51Next025-10_S10.CG001v3.4.103	nb/ratio of ambiguous positions:87921 0.02359
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.91	no read
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.62	ratio of unmerged reads:0.06
DNA-17309-CG001Qv51Next025-10_S10.CG001v5.0.67	ratio of unmerged reads:0.09
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.89	nb/ratio of ambiguous positions:78673 0.01785
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.96	nb/ratio of ambiguous positions:115463 0.01332
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.4	ratio of unmerged reads:0.1
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.4	average quality of merged reads bases:28.81
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.4	nb/ratio of ambiguous positions:208591 0.04855
DNA-17309-CG001Qv51Next025-17_S17.CG001v3.4.103	nb/ratio of ambiguous positions:105622 0.03089
DNA-17309-CG001Qv51Next025-17_S17.CG001v5.0.91	no read
DNA-17309-CG001Qv51Next025-17_S17.CG001v5.0.67	ratio of unmerged reads:0.06
DNA-17309-CG001Qv51Next025-24_S24.CG001v3.4.89	nb/ratio of ambiguous positions:81298 0.01684
DNA-17309-CG001Qv51Next025-24_S24.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-17309-CG001Qv51Next025-24_S24.CG001v3.4.96	nb/ratio of ambiguous positions:119831 0.01317
DNA-17309-CG001Qv51Next025-24_S24.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-17309-CG001Qv51Next025-24_S24.CG001v3.4.4	average quality of merged reads bases:28.82
DNA-17309-CG001Qv51Next025-24_S24.CG001v3.4.4	nb/ratio of ambiguous positions:238409 0.0491
DNA-17309-CG001Qv51Next025-24_S24.CG001v3.4.103	nb/ratio of ambiguous positions:112399 0.03101
DNA-17309-CG001Qv51Next025-24_S24.CG001v5.0.91	no read
DNA-17661-CG001Qv51Next025-16_S16.CG001v3.4.89	nb/ratio of ambiguous positions:88957 0.01807
DNA-17661-CG001Qv51Next025-16_S16.CG001v3.4.96	ratio of unmerged reads:0.07
DNA-17661-CG001Qv51Next025-16_S16.CG001v3.4.96	nb/ratio of ambiguous positions:84874 0.01316
DNA-17661-CG001Qv51Next025-16_S16.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-17661-CG001Qv51Next025-16_S16.CG001v3.4.4	average quality of merged reads bases:28.8
DNA-17661-CG001Qv51Next025-16_S16.CG001v3.4.4	nb/ratio of ambiguous positions:157602 0.0457
DNA-17661-CG001Qv51Next025-16_S16.CG001v3.4.103	ratio of unmerged reads:0.06
DNA-17661-CG001Qv51Next025-16_S16.CG001v3.4.103	nb/ratio of ambiguous positions:75799 0.03056
DNA-17661-CG001Qv51Next025-16_S16.CG001v5.0.91	no read
DNA-17661-CG001Qv51Next025-16_S16.CG001v5.0.67	ratio of unmerged reads:0.06
DNA-17661-CG001Qv51Next025-23_S23.CG001v3.4.89	nb/ratio of ambiguous positions:96478 0.01603
DNA-17661-CG001Qv51Next025-23_S23.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-17661-CG001Qv51Next025-23_S23.CG001v3.4.96	nb/ratio of ambiguous positions:126833 0.01355
DNA-17661-CG001Qv51Next025-23_S23.CG001v3.4.4	ratio of unmerged reads:0.1
DNA-17661-CG001Qv51Next025-23_S23.CG001v3.4.4	average quality of merged reads bases:28.78
DNA-17661-CG001Qv51Next025-23_S23.CG001v3.4.4	nb/ratio of ambiguous positions:254400 0.05008
DNA-17661-CG001Qv51Next025-23_S23.CG001v3.4.103	nb/ratio of ambiguous positions:116267 0.03214
DNA-17661-CG001Qv51Next025-23_S23.CG001v5.0.91	no read
DNA-17661-CG001Qv51Next025-9_S9.CG001v3.4.89	nb/ratio of ambiguous positions:100262 0.01828
DNA-17661-CG001Qv51Next025-9_S9.CG001v3.4.96	ratio of unmerged reads:0.07
DNA-17661-CG001Qv51Next025-9_S9.CG001v3.4.96	nb/ratio of ambiguous positions:131150 0.0135
DNA-17661-CG001Qv51Next025-9_S9.CG001v3.4.4	ratio of unmerged reads:0.1
DNA-17661-CG001Qv51Next025-9_S9.CG001v3.4.4	average quality of merged reads bases:28.84
DNA-17661-CG001Qv51Next025-9_S9.CG001v3.4.4	nb/ratio of ambiguous positions:235794 0.04784
DNA-17661-CG001Qv51Next025-9_S9.CG001v3.4.103	ratio of unmerged reads:0.06
DNA-17661-CG001Qv51Next025-9_S9.CG001v3.4.103	nb/ratio of ambiguous positions:96005 0.03217
DNA-17661-CG001Qv51Next025-9_S9.CG001v5.0.91	no read
DNA-17661-CG001Qv51Next025-9_S9.CG001v5.0.67	ratio of unmerged reads:0.08
DNA-26010-CG001Qv51Next025-11_S11.CG001v3.4.89	nb/ratio of ambiguous positions:70198 0.0161
DNA-26010-CG001Qv51Next025-11_S11.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-26010-CG001Qv51Next025-11_S11.CG001v3.4.96	nb/ratio of ambiguous positions:122145 0.01353
DNA-26010-CG001Qv51Next025-11_S11.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-26010-CG001Qv51Next025-11_S11.CG001v3.4.4	average quality of merged reads bases:28.79
DNA-26010-CG001Qv51Next025-11_S11.CG001v3.4.4	nb/ratio of ambiguous positions:206464 0.04997
DNA-26010-CG001Qv51Next025-11_S11.CG001v3.4.103	nb/ratio of ambiguous positions:97546 0.03168
DNA-26010-CG001Qv51Next025-11_S11.CG001v5.0.91	no read
DNA-26010-CG001Qv51Next025-11_S11.CG001v5.0.67	ratio of unmerged reads:0.09
DNA-26010-CG001Qv51Next025-18_S18.CG001v3.4.89	nb/ratio of ambiguous positions:71840 0.01585
DNA-26010-CG001Qv51Next025-18_S18.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-26010-CG001Qv51Next025-18_S18.CG001v3.4.96	nb/ratio of ambiguous positions:110259 0.01302
DNA-26010-CG001Qv51Next025-18_S18.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-26010-CG001Qv51Next025-18_S18.CG001v3.4.4	average quality of merged reads bases:28.86
DNA-26010-CG001Qv51Next025-18_S18.CG001v3.4.4	nb/ratio of ambiguous positions:204297 0.04724
DNA-26010-CG001Qv51Next025-18_S18.CG001v3.4.103	nb/ratio of ambiguous positions:95804 0.03319
DNA-26010-CG001Qv51Next025-18_S18.CG001v5.0.91	no read
DNA-26010-CG001Qv51Next025-4_S4.CG001v3.4.89	nb/ratio of ambiguous positions:60733 0.01654
DNA-26010-CG001Qv51Next025-4_S4.CG001v3.4.96	ratio of unmerged reads:0.09
DNA-26010-CG001Qv51Next025-4_S4.CG001v3.4.96	nb/ratio of ambiguous positions:79701 0.01292
DNA-26010-CG001Qv51Next025-4_S4.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-26010-CG001Qv51Next025-4_S4.CG001v3.4.4	average quality of merged reads bases:28.8
DNA-26010-CG001Qv51Next025-4_S4.CG001v3.4.4	nb/ratio of ambiguous positions:147124 0.04506
DNA-26010-CG001Qv51Next025-4_S4.CG001v3.4.103	ratio of unmerged reads:0.07
DNA-26010-CG001Qv51Next025-4_S4.CG001v3.4.103	nb/ratio of ambiguous positions:72586 0.03316
DNA-26010-CG001Qv51Next025-4_S4.CG001v5.0.91	no read
DNA-26010-CG001Qv51Next025-4_S4.CG001v5.0.67	ratio of unmerged reads:0.11
DNA-26013-CG001Qv51Next025-13_S13.CG001v3.4.89	nb/ratio of ambiguous positions:79762 0.01591
DNA-26013-CG001Qv51Next025-13_S13.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-26013-CG001Qv51Next025-13_S13.CG001v3.4.96	nb/ratio of ambiguous positions:128239 0.0134
DNA-26013-CG001Qv51Next025-13_S13.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-26013-CG001Qv51Next025-13_S13.CG001v3.4.4	average quality of merged reads bases:28.83
DNA-26013-CG001Qv51Next025-13_S13.CG001v3.4.4	nb/ratio of ambiguous positions:240770 0.04806
DNA-26013-CG001Qv51Next025-13_S13.CG001v3.4.103	nb/ratio of ambiguous positions:113823 0.03321
DNA-26013-CG001Qv51Next025-13_S13.CG001v5.0.91	no read
DNA-26013-CG001Qv51Next025-20_S20.CG001v3.4.89	nb/ratio of ambiguous positions:95493 0.0195
DNA-26013-CG001Qv51Next025-20_S20.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-26013-CG001Qv51Next025-20_S20.CG001v3.4.96	nb/ratio of ambiguous positions:131769 0.01437
DNA-26013-CG001Qv51Next025-20_S20.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-26013-CG001Qv51Next025-20_S20.CG001v3.4.4	average quality of merged reads bases:28.92
DNA-26013-CG001Qv51Next025-20_S20.CG001v3.4.4	nb/ratio of ambiguous positions:215144 0.04577
DNA-26013-CG001Qv51Next025-20_S20.CG001v3.4.103	nb/ratio of ambiguous positions:93650 0.02676
DNA-26013-CG001Qv51Next025-20_S20.CG001v5.0.91	no read
DNA-26013-CG001Qv51Next025-6_S6.CG001v3.4.89	nb/ratio of ambiguous positions:85557 0.01752
DNA-26013-CG001Qv51Next025-6_S6.CG001v3.4.96	ratio of unmerged reads:0.07
DNA-26013-CG001Qv51Next025-6_S6.CG001v3.4.96	nb/ratio of ambiguous positions:129683 0.01353
DNA-26013-CG001Qv51Next025-6_S6.CG001v3.4.4	ratio of unmerged reads:0.1
DNA-26013-CG001Qv51Next025-6_S6.CG001v3.4.4	average quality of merged reads bases:28.82
DNA-26013-CG001Qv51Next025-6_S6.CG001v3.4.4	nb/ratio of ambiguous positions:222285 0.04826
DNA-26013-CG001Qv51Next025-6_S6.CG001v3.4.103	nb/ratio of ambiguous positions:108223 0.03121
DNA-26013-CG001Qv51Next025-6_S6.CG001v5.0.91	no read
DNA-26013-CG001Qv51Next025-6_S6.CG001v5.0.67	ratio of unmerged reads:0.06
DNA-26768-CG001Qv51Next025-14_S14.CG001v3.4.89	average quality of merged reads bases:29.75
DNA-26768-CG001Qv51Next025-14_S14.CG001v3.4.89	nb/ratio of ambiguous positions:82338 0.0207
DNA-26768-CG001Qv51Next025-14_S14.CG001v3.4.96	ratio of unmerged reads:0.08
DNA-26768-CG001Qv51Next025-14_S14.CG001v3.4.96	nb/ratio of ambiguous positions:109121 0.0137
DNA-26768-CG001Qv51Next025-14_S14.CG001v3.4.4	ratio of unmerged reads:0.08
DNA-26768-CG001Qv51Next025-14_S14.CG001v3.4.4	average quality of merged reads bases:28.98
DNA-26768-CG001Qv51Next025-14_S14.CG001v3.4.4	nb/ratio of ambiguous positions:182528 0.04478
DNA-26768-CG001Qv51Next025-14_S14.CG001v3.4.103	nb/ratio of ambiguous positions:70410 0.02037
DNA-26768-CG001Qv51Next025-14_S14.CG001v5.0.91	no read
DNA-26768-CG001Qv51Next025-14_S14.CG001v5.0.67	ratio of unmerged reads:0.06
DNA-26768-CG001Qv51Next025-21_S21.CG001v3.4.89	nb/ratio of ambiguous positions:74480 0.01784
DNA-26768-CG001Qv51Next025-21_S21.CG001v3.4.96	ratio of unmerged reads:0.07
DNA-26768-CG001Qv51Next025-21_S21.CG001v3.4.96	nb/ratio of ambiguous positions:114018 0.01362
DNA-26768-CG001Qv51Next025-21_S21.CG001v3.4.4	ratio of unmerged reads:0.09
DNA-26768-CG001Qv51Next025-21_S21.CG001v3.4.4	average quality of merged reads bases:28.94
DNA-26768-CG001Qv51Next025-21_S21.CG001v3.4.4	nb/ratio of ambiguous positions:196836 0.04604
DNA-26768-CG001Qv51Next025-21_S21.CG001v3.4.103	nb/ratio of ambiguous positions:91171 0.02849
DNA-26768-CG001Qv51Next025-21_S21.CG001v5.0.91	no read
DNA-26768-CG001Qv51Next025-7_S7.CG001v3.4.89	nb/ratio of ambiguous positions:67946 0.01644
DNA-26768-CG001Qv51Next025-7_S7.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-26768-CG001Qv51Next025-7_S7.CG001v3.4.96	nb/ratio of ambiguous positions:132891 0.01352
DNA-26768-CG001Qv51Next025-7_S7.CG001v3.4.4	ratio of unmerged reads:0.1
DNA-26768-CG001Qv51Next025-7_S7.CG001v3.4.4	average quality of merged reads bases:28.73
DNA-26768-CG001Qv51Next025-7_S7.CG001v3.4.4	nb/ratio of ambiguous positions:248296 0.05103
DNA-26768-CG001Qv51Next025-7_S7.CG001v3.4.103	nb/ratio of ambiguous positions:120660 0.03283
DNA-26768-CG001Qv51Next025-7_S7.CG001v5.0.91	no read
DNA-26768-CG001Qv51Next025-7_S7.CG001v5.0.67	ratio of unmerged reads:0.09
DNA-26769-CG001Qv51Next025-12_S12.CG001v3.4.89	nb/ratio of ambiguous positions:78736 0.01739
DNA-26769-CG001Qv51Next025-12_S12.CG001v3.4.96	ratio of unmerged reads:0.07
DNA-26769-CG001Qv51Next025-12_S12.CG001v3.4.96	nb/ratio of ambiguous positions:117463 0.01345
DNA-26769-CG001Qv51Next025-12_S12.CG001v3.4.4	ratio of unmerged reads:0.1
DNA-26769-CG001Qv51Next025-12_S12.CG001v3.4.4	average quality of merged reads bases:28.79
DNA-26769-CG001Qv51Next025-12_S12.CG001v3.4.4	nb/ratio of ambiguous positions:220901 0.04865
DNA-26769-CG001Qv51Next025-12_S12.CG001v3.4.103	nb/ratio of ambiguous positions:90071 0.0309
DNA-26769-CG001Qv51Next025-12_S12.CG001v5.0.91	no read
DNA-26769-CG001Qv51Next025-12_S12.CG001v5.0.67	ratio of unmerged reads:0.07
DNA-26769-CG001Qv51Next025-19_S19.CG001v3.4.89	nb/ratio of ambiguous positions:70527 0.01689
DNA-26769-CG001Qv51Next025-19_S19.CG001v3.4.96	ratio of unmerged reads:0.07
DNA-26769-CG001Qv51Next025-19_S19.CG001v3.4.96	nb/ratio of ambiguous positions:108714 0.01341
DNA-26769-CG001Qv51Next025-19_S19.CG001v3.4.4	ratio of unmerged reads:0.1
DNA-26769-CG001Qv51Next025-19_S19.CG001v3.4.4	average quality of merged reads bases:28.83
DNA-26769-CG001Qv51Next025-19_S19.CG001v3.4.4	nb/ratio of ambiguous positions:189989 0.04747
DNA-26769-CG001Qv51Next025-19_S19.CG001v3.4.103	nb/ratio of ambiguous positions:92324 0.03147
DNA-26769-CG001Qv51Next025-19_S19.CG001v5.0.91	no read
DNA-26769-CG001Qv51Next025-5_S5.CG001v3.4.89	nb/ratio of ambiguous positions:69465 0.0168
DNA-26769-CG001Qv51Next025-5_S5.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-26769-CG001Qv51Next025-5_S5.CG001v3.4.96	nb/ratio of ambiguous positions:134485 0.01391
