DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.96	ratio of reads in largest cluster:0.05
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.103	ratio of reads in largest cluster:0.01
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.96	ratio of reads in largest cluster:0.08
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.103	ratio of reads in largest cluster:0.01
DNA-15622-CG001Qv51Next031-11_S11.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-17610-CG001Qv51Next031-24_S24.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-17610-CG001Qv51Next031-24_S24.CG001v3.4.103	ratio of reads in largest cluster:0.01
DNA-17610-CG001Qv51Next031-24_S24.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-17610-CG001Qv51Next031-24_S24.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-17886-CG001Qv51Next031-17_S17.CG001v3.4.96	ratio of reads in largest cluster:0.06
DNA-17886-CG001Qv51Next031-17_S17.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-17886-CG001Qv51Next031-17_S17.CG001v3.4.103	ratio of reads in largest cluster:0.01
DNA-17886-CG001Qv51Next031-17_S17.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-17886-CG001Qv51Next031-17_S17.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-18254-CG001Qv51Next031-4_S4.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-18254-CG001Qv51Next031-4_S4.CG001v3.4.103	ratio of reads in largest cluster:0.0
DNA-18254-CG001Qv51Next031-4_S4.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-19263-CG001Qv51Next031-18_S18.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-19263-CG001Qv51Next031-18_S18.CG001v3.4.103	ratio of reads in largest cluster:0.01
DNA-19263-CG001Qv51Next031-18_S18.CG001v3.4.130	clusters:0 reads:0 max_cluster:0
DNA-19263-CG001Qv51Next031-18_S18.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26588-CG001Qv51Next031-5_S5.CG001v3.4.96	ratio of reads in largest cluster:0.05
DNA-26588-CG001Qv51Next031-5_S5.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-26588-CG001Qv51Next031-5_S5.CG001v3.4.103	ratio of reads in largest cluster:0.01
DNA-26588-CG001Qv51Next031-5_S5.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26589-CG001Qv51Next031-6_S6.CG001v3.4.96	ratio of reads in largest cluster:0.05
DNA-26589-CG001Qv51Next031-6_S6.CG001v3.4.4	ratio of reads in largest cluster:0.0
DNA-26589-CG001Qv51Next031-6_S6.CG001v3.4.103	ratio of reads in largest cluster:0.01
DNA-26589-CG001Qv51Next031-6_S6.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26590-CG001Qv51Next031-7_S7.CG001v3.4.96	ratio of reads in largest cluster:0.06
