DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.91	nb/ratio of ambiguous positions:27090 0.01045
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.82	nb/ratio of ambiguous positions:78642 0.01526
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.89	ratio of unmerged reads:0.06
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.89	nb/ratio of ambiguous positions:56288 0.01988
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.96	ratio of unmerged reads:0.12
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.96	nb/ratio of ambiguous positions:637714 0.02743
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.4	ratio of unmerged reads:0.16
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.4	average quality of merged reads bases:28.67
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.4	nb/ratio of ambiguous positions:291707 0.05627
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.103	ratio of unmerged reads:0.13
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.103	nb/ratio of ambiguous positions:72888 0.03803
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.91	no read
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.91	ratio of unmerged reads:0.06
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.91	nb/ratio of ambiguous positions:67254 0.01104
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.82	nb/ratio of ambiguous positions:31083 0.01697
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.89	ratio of unmerged reads:0.06
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.89	nb/ratio of ambiguous positions:109100 0.02093
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.96	ratio of unmerged reads:0.11
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.96	nb/ratio of ambiguous positions:324037 0.02544
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.4	ratio of unmerged reads:0.19
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.4	average quality of merged reads bases:28.52
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.4	nb/ratio of ambiguous positions:331283 0.06101
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.103	ratio of unmerged reads:0.09
DNA-15622-CG001Qv51Next031-11_S11.CG001v3.4.103	nb/ratio of ambiguous positions:155302 0.03788
DNA-15622-CG001Qv51Next031-11_S11.CG001v5.0.91	no read
DNA-17610-CG001Qv51Next031-24_S24.CG001v3.4.91	ratio of unmerged reads:0.06
DNA-17610-CG001Qv51Next031-24_S24.CG001v3.4.91	nb/ratio of ambiguous positions:27793 0.01109
DNA-17610-CG001Qv51Next031-24_S24.CG001v3.4.82	nb/ratio of ambiguous positions:55426 0.01652
DNA-17610-CG001Qv51Next031-24_S24.CG001v3.4.89	ratio of unmerged reads:0.06
DNA-17610-CG001Qv51Next031-24_S24.CG001v3.4.89	nb/ratio of ambiguous positions:66686 0.01971
DNA-17610-CG001Qv51Next031-24_S24.CG001v3.4.96	ratio of unmerged reads:0.11
DNA-17610-CG001Qv51Next031-24_S24.CG001v3.4.96	nb/ratio of ambiguous positions:150826 0.02169
