DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.127b	aligned_clusters:1397 nb/max/average normalized_alignments:1331 11 0.953
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.118	max/average number of variants:4 1.54
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.16	max/average number of variants:6 1.26
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.91	aligned_clusters:3837 nb/max/average normalized_alignments:3690 16 0.962
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.91	max/average number of variants:9 1.51
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.10	max/average number of variants:6 1.23
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.11	max/average number of variants:10 1.77
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.21	max/average number of variants:4 1.58
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.66	aligned_clusters:1844 nb/max/average normalized_alignments:1813 27 0.983
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.39	max/average number of variants:6 1.76
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.24	aligned_clusters:9441 nb/max/average normalized_alignments:9083 36 0.962
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.24	max/average number of variants:12 1.83
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.26	aligned_clusters:2592 nb/max/average normalized_alignments:2619 20 1.01
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.26	max/average number of variants:33 2.34
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.113	max/average number of variants:7 1.32
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.60	aligned_clusters:1389 nb/max/average normalized_alignments:1354 15 0.975
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.38	aligned_clusters:1440 nb/max/average normalized_alignments:1370 16 0.951
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.38	max/average number of variants:6 1.33
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.48	max/average number of variants:6 1.22
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.20	max/average number of variants:6 1.31
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.56	max/average number of variants:6 1.45
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.21	max/average number of variants:9 1.3
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.22	aligned_clusters:2155 nb/max/average normalized_alignments:2156 50 1.0
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.22	max/average number of variants:11 1.75
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.89	max/average number of variants:6 1.15
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.41	aligned_clusters:869 nb/max/average normalized_alignments:847 17 0.975
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.105	max/average number of variants:28 2.06
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.102	max/average number of variants:9 1.23
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.43	aligned_clusters:3176 nb/max/average normalized_alignments:3050 26 0.96
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.43	max/average number of variants:9 1.49
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.25	max/average number of variants:8 1.23
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.33	max/average number of variants:8 1.27
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.25	max/average number of variants:16 1.33
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.37	max/average number of variants:7 1.25
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.39	max/average number of variants:6 1.26
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.108	max/average number of variants:7 1.32
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.96	max/average number of variants:6 1.18
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.5	aligned_clusters:2157 nb/max/average normalized_alignments:2245 26 1.041
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.122	max/average number of variants:4 1.52
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.15	max/average number of variants:7 1.27
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.6	max/average number of variants:6 1.31
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.8	aligned_clusters:2543 nb/max/average normalized_alignments:2990 70 1.176
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.8	max/average number of variants:8 2.34
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.14	max/average number of variants:13 1.59
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.58	aligned_clusters:1552 nb/max/average normalized_alignments:1557 49 1.003
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.58	max/average number of variants:6 1.9
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.41	max/average number of variants:26 1.39
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.13	aligned_clusters:1925 nb/max/average normalized_alignments:1907 49 0.991
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.125	max/average number of variants:4 1.52
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.40	aligned_clusters:3322 nb/max/average normalized_alignments:3254 22 0.98
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.44	max/average number of variants:4 1.58
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.57	max/average number of variants:15 1.33
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.43	aligned_clusters:1957 nb/max/average normalized_alignments:2212 52 1.13
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.43	max/average number of variants:9 2.9
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.18	aligned_clusters:2672 nb/max/average normalized_alignments:2663 22 0.997
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.18	max/average number of variants:15 1.35
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.94	max/average number of variants:6 1.6
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.130	no variant
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.34	aligned_clusters:874 nb/max/average normalized_alignments:886 13 1.014
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.34	max/average number of variants:9 1.45
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.24	aligned_clusters:515 nb/max/average normalized_alignments:654 33 1.27
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.24	max/average number of variants:12 2.72
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.55	max/average number of variants:7 1.37
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.57	max/average number of variants:5 1.66
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.59	max/average number of variants:4 1.84
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.35	aligned_clusters:1944 nb/max/average normalized_alignments:1965 52 1.011
DNA-10635-CG001Qv51Next031-10_S10.CG001v4.0.35	max/average number of variants:9 1.93
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.70	max/average number of variants:6 1.21
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.101	max/average number of variants:7 1.28
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.99	aligned_clusters:1197 nb/max/average normalized_alignments:1196 40 0.999
DNA-10635-CG001Qv51Next031-10_S10.CG001v3.4.99	max/average number of variants:5 1.52
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.84	aligned_clusters:2168 nb/max/average normalized_alignments:2164 14 0.998
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.84	max/average number of variants:15 1.79
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.91	no normalized_alignment
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.91	no variant
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.92	aligned_clusters:1182 nb/max/average normalized_alignments:1196 55 1.012
DNA-10635-CG001Qv51Next031-10_S10.CG001v5.0.92	max/average number of variants:5 1.52
