DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.4	ratio of reads in largest cluster:0.02
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.103	ratio of reads in largest cluster:0.02
DNA-25524-CG001Qv51Next032-11_S11.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-25524-CG001Qv51Next032-18_S18.CG001v3.4.4	ratio of reads in largest cluster:0.03
DNA-25524-CG001Qv51Next032-18_S18.CG001v3.4.103	ratio of reads in largest cluster:0.03
DNA-25524-CG001Qv51Next032-18_S18.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-25524-CG001Qv51Next032-4_S4.CG001v3.4.4	ratio of reads in largest cluster:0.02
DNA-25524-CG001Qv51Next032-4_S4.CG001v3.4.103	ratio of reads in largest cluster:0.02
DNA-25524-CG001Qv51Next032-4_S4.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26519-CG001Qv51Next032-10_S10.CG001v3.4.4	ratio of reads in largest cluster:0.03
DNA-26519-CG001Qv51Next032-10_S10.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26519-CG001Qv51Next032-17_S17.CG001v3.4.4	ratio of reads in largest cluster:0.02
DNA-26519-CG001Qv51Next032-17_S17.CG001v3.4.103	ratio of reads in largest cluster:0.01
DNA-26519-CG001Qv51Next032-17_S17.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-26519-CG001Qv51Next032-24_S24.CG001v3.4.4	ratio of reads in largest cluster:0.02
DNA-26519-CG001Qv51Next032-24_S24.CG001v3.4.103	ratio of reads in largest cluster:0.01
DNA-26519-CG001Qv51Next032-24_S24.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27489-CG001Qv51Next032-12_S12.CG001v3.4.4	ratio of reads in largest cluster:0.02
DNA-27489-CG001Qv51Next032-12_S12.CG001v3.4.103	ratio of reads in largest cluster:0.01
DNA-27489-CG001Qv51Next032-12_S12.CG001v5.0.91	clusters:0 reads:0 max_cluster:0
DNA-27489-CG001Qv51Next032-19_S19.CG001v3.4.4	ratio of reads in largest cluster:0.02
