DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.22	max/average number of variants:4 1.53
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.118	max/average number of variants:4 1.64
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.91	max/average number of variants:9 1.37
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.11	aligned_clusters:758 nb/max/average normalized_alignments:812 39 1.071
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.11	max/average number of variants:5 2.0
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.20	max/average number of variants:4 1.63
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.21	max/average number of variants:4 1.51
DNA-25524-CG001Qv51Next032-11_S11.CG001v5.0.2	max/average number of variants:4 1.54
DNA-25524-CG001Qv51Next032-11_S11.CG001v5.0.39	max/average number of variants:6 2.17
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.24	max/average number of variants:10 1.48
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.26	aligned_clusters:991 nb/max/average normalized_alignments:1014 20 1.023
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.26	max/average number of variants:19 2.43
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.113	max/average number of variants:7 1.26
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.60	aligned_clusters:916 nb/max/average normalized_alignments:899 15 0.981
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.38	aligned_clusters:811 nb/max/average normalized_alignments:801 15 0.988
DNA-25524-CG001Qv51Next032-11_S11.CG001v4.0.38	max/average number of variants:12 1.54
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.56	max/average number of variants:7 1.47
DNA-25524-CG001Qv51Next032-11_S11.CG001v5.0.21	max/average number of variants:8 1.22
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.89	max/average number of variants:8 1.2
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.41	aligned_clusters:528 nb/max/average normalized_alignments:519 17 0.983
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.105	aligned_clusters:1819 nb/max/average normalized_alignments:1812 24 0.996
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.105	max/average number of variants:38 2.28
DNA-25524-CG001Qv51Next032-11_S11.CG001v3.4.102	max/average number of variants:6 1.22
