DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.89	average quality of merged reads bases:29.96
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.89	nb/ratio of ambiguous positions:89928 0.02028
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.4	ratio of unmerged reads:0.08
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.4	average quality of merged reads bases:29.15
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.4	nb/ratio of ambiguous positions:143958 0.04102
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.103	nb/ratio of ambiguous positions:105143 0.02877
DNA-26519-CG001Qv51Next034-10_S10.CG001v5.0.91	no read
DNA-26519-CG001Qv51Next034-17_S17.CG001v3.4.89	average quality of merged reads bases:29.96
DNA-26519-CG001Qv51Next034-17_S17.CG001v3.4.89	nb/ratio of ambiguous positions:110113 0.02096
DNA-26519-CG001Qv51Next034-17_S17.CG001v3.4.4	ratio of unmerged reads:0.08
DNA-26519-CG001Qv51Next034-17_S17.CG001v3.4.4	average quality of merged reads bases:29.16
DNA-26519-CG001Qv51Next034-17_S17.CG001v3.4.4	nb/ratio of ambiguous positions:160141 0.04071
DNA-26519-CG001Qv51Next034-17_S17.CG001v3.4.103	nb/ratio of ambiguous positions:89018 0.0248
DNA-26519-CG001Qv51Next034-17_S17.CG001v5.0.91	no read
DNA-26519-CG001Qv51Next034-24_S24.CG001v3.4.89	nb/ratio of ambiguous positions:95422 0.01964
DNA-26519-CG001Qv51Next034-24_S24.CG001v3.4.4	ratio of unmerged reads:0.08
DNA-26519-CG001Qv51Next034-24_S24.CG001v3.4.4	average quality of merged reads bases:29.22
DNA-26519-CG001Qv51Next034-24_S24.CG001v3.4.4	nb/ratio of ambiguous positions:151847 0.04054
DNA-26519-CG001Qv51Next034-24_S24.CG001v3.4.103	nb/ratio of ambiguous positions:100291 0.02758
DNA-26519-CG001Qv51Next034-24_S24.CG001v5.0.91	no read
DNA-27984-CG001Qv51Next034-11_S11.CG001v3.4.89	average quality of merged reads bases:29.95
DNA-27984-CG001Qv51Next034-11_S11.CG001v3.4.89	nb/ratio of ambiguous positions:93836 0.02095
DNA-27984-CG001Qv51Next034-11_S11.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-27984-CG001Qv51Next034-11_S11.CG001v3.4.96	nb/ratio of ambiguous positions:106545 0.01152
DNA-27984-CG001Qv51Next034-11_S11.CG001v3.4.4	ratio of unmerged reads:0.08
DNA-27984-CG001Qv51Next034-11_S11.CG001v3.4.4	average quality of merged reads bases:29.21
DNA-27984-CG001Qv51Next034-11_S11.CG001v3.4.4	nb/ratio of ambiguous positions:141535 0.03951
DNA-27984-CG001Qv51Next034-11_S11.CG001v3.4.103	ratio of unmerged reads:0.24
DNA-27984-CG001Qv51Next034-11_S11.CG001v3.4.103	nb/ratio of ambiguous positions:85284 0.04391
DNA-27984-CG001Qv51Next034-11_S11.CG001v5.0.91	no read
DNA-27984-CG001Qv51Next034-18_S18.CG001v3.4.89	nb/ratio of ambiguous positions:94840 0.02051
DNA-27984-CG001Qv51Next034-18_S18.CG001v3.4.96	ratio of unmerged reads:0.06
DNA-27984-CG001Qv51Next034-18_S18.CG001v3.4.96	nb/ratio of ambiguous positions:114208 0.01139
DNA-27984-CG001Qv51Next034-18_S18.CG001v3.4.4	ratio of unmerged reads:0.08
DNA-27984-CG001Qv51Next034-18_S18.CG001v3.4.4	average quality of merged reads bases:29.11
DNA-27984-CG001Qv51Next034-18_S18.CG001v3.4.4	nb/ratio of ambiguous positions:163934 0.0417
DNA-27984-CG001Qv51Next034-18_S18.CG001v3.4.103	ratio of unmerged reads:0.25
DNA-27984-CG001Qv51Next034-18_S18.CG001v3.4.103	nb/ratio of ambiguous positions:98091 0.04363
DNA-27984-CG001Qv51Next034-18_S18.CG001v5.0.91	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v4.0.7	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v5.0.2	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v5.0.22	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v3.4.89	average quality of merged reads bases:29.86
DNA-27984-CG001Qv51Next034-4_S4.CG001v3.4.89	nb/ratio of ambiguous positions:144238 0.02164
DNA-27984-CG001Qv51Next034-4_S4.CG001v4.0.4	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v3.4.25	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v3.4.111	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v3.4.110	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v3.4.108	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v3.4.96	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v3.4.5	ratio of unmerged reads:0.5
DNA-27984-CG001Qv51Next034-4_S4.CG001v3.4.14	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v3.4.138	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v4.0.6	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v4.0.12	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v4.0.14	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v4.0.18	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v4.0.19	no read
DNA-27984-CG001Qv51Next034-4_S4.CG001v4.0.58	no read
