DNA-26519-CG001Qv51Next034-10_S10.CG001v5.0.127b	aligned_clusters:715 nb/max/average normalized_alignments:699 20 0.978
DNA-26519-CG001Qv51Next034-10_S10.CG001v5.0.127b	max/average number of variants:7 1.54
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.22	max/average number of variants:4 1.64
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.91	max/average number of variants:7 1.29
DNA-26519-CG001Qv51Next034-10_S10.CG001v4.0.11	max/average number of variants:11 1.97
DNA-26519-CG001Qv51Next034-10_S10.CG001v5.0.39	max/average number of variants:5 2.14
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.31	aligned_clusters:932 nb/max/average normalized_alignments:923 14 0.99
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.7	max/average number of variants:8 1.31
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.24	aligned_clusters:2515 nb/max/average normalized_alignments:2479 40 0.986
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.24	max/average number of variants:9 1.5
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.26	aligned_clusters:944 nb/max/average normalized_alignments:983 53 1.041
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.26	max/average number of variants:16 1.89
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.56	max/average number of variants:6 1.14
DNA-26519-CG001Qv51Next034-10_S10.CG001v5.0.21	max/average number of variants:8 1.24
DNA-26519-CG001Qv51Next034-10_S10.CG001v5.0.22	aligned_clusters:889 nb/max/average normalized_alignments:936 69 1.053
DNA-26519-CG001Qv51Next034-10_S10.CG001v5.0.22	max/average number of variants:10 2.29
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.89	max/average number of variants:6 1.15
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.41	aligned_clusters:731 nb/max/average normalized_alignments:724 17 0.99
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.59	max/average number of variants:6 1.21
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.105	max/average number of variants:48 2.77
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.102	aligned_clusters:1388 nb/max/average normalized_alignments:1419 36 1.022
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.102	max/average number of variants:15 2.04
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.92	aligned_clusters:955 nb/max/average normalized_alignments:949 11 0.994
DNA-26519-CG001Qv51Next034-10_S10.CG001v4.0.32	max/average number of variants:6 1.23
DNA-26519-CG001Qv51Next034-10_S10.CG001v4.0.49	max/average number of variants:6 1.2
DNA-26519-CG001Qv51Next034-10_S10.CG001v5.0.25	max/average number of variants:8 1.28
DNA-26519-CG001Qv51Next034-10_S10.CG001v5.0.37	max/average number of variants:6 1.17
DNA-26519-CG001Qv51Next034-10_S10.CG001v4.0.51	max/average number of variants:6 1.56
DNA-26519-CG001Qv51Next034-10_S10.CG001v4.0.5	aligned_clusters:908 nb/max/average normalized_alignments:893 14 0.983
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.96	aligned_clusters:7815 nb/max/average normalized_alignments:7554 16 0.967
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.96	max/average number of variants:7 1.17
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.5	aligned_clusters:1325 nb/max/average normalized_alignments:1627 46 1.228
DNA-26519-CG001Qv51Next034-10_S10.CG001v3.4.5	max/average number of variants:11 1.9
