DNA-26519-CG001Qv51Run064-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:75577 0.03651
DNA-26519-CG001Qv51Run064-16_S16.CG001v5.0.76	nb/ratio of ambiguous positions:37640 0.03196
DNA-26519-CG001Qv51Run064-16_S16.CG001v5.0.91	no read
DNA-27984-CG001Qv51Run064-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:77016 0.03607
DNA-27984-CG001Qv51Run064-10_S10.CG001v5.0.76	nb/ratio of ambiguous positions:28684 0.03185
DNA-27984-CG001Qv51Run064-10_S10.CG001v5.0.91	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.127b	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.2	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.42	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v5.0.22	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.25	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.4	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.25	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.111	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.110	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.108	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.96	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.5	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.122	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.14	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.15	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v3.4.138	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.6	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.9	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.12	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.14	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.18	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.19	no read
DNA-27984-CG001Qv51Run064-4_S4.CG001v4.0.58	no read
