DNA-22909-CG001Qv42Run227-4_S4.CG001v3.4.4	max number of variants:7
DNA-22909-CG001Qv42Run227-4_S4.CG001v3.4.54	max number of variants:6
DNA-22909-CG001Qv42Run227-4_S4.CG001v3.4.105	max number of variants:42
DNA-22909-CG001Qv42Run227-4_S4.CG001v3.4.105	average number of variants:3.29
DNA-22909-CG001Qv42Run227-4_S4.CG001v3.4.130	max normalized_alignments:24
DNA-22909-CG001Qv42Run227-4_S4.CG001v3.4.130	average normalized_alignments:13.434
DNA-22909-CG001Qv42Run227-4_S4.CG001v3.4.130	max number of variants:19
DNA-22909-CG001Qv42Run227-4_S4.CG001v3.4.130	average number of variants:14.46
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.8	max number of variants:6
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.11	max number of variants:6
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.11	average number of variants:1.69
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.21	average number of variants:1.55
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.34	average number of variants:1.62
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.35	average number of variants:1.52
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.40	max number of variants:8
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.48	max number of variants:7
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.50	average number of variants:1.64
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.51	average number of variants:1.59
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.56	average number of variants:1.55
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.57	average number of variants:1.62
DNA-22909-CG001Qv42Run227-4_S4.CG001v4.0.59	average number of variants:1.52
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.42	max normalized_alignments:12
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.42	max number of variants:11
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.42	average number of variants:1.8
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.89	max number of variants:8
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.94	average number of variants:1.56
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.96	average number of variants:1.56
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.103	max number of variants:7
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.105	max normalized_alignments:36
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.105	average normalized_alignments:1.186
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.105	max number of variants:42
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.105	average number of variants:9.76
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.125	average number of variants:1.75
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.130	no normalized_alignment
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.130	no variant
DNA-22910-CG001Qv42Run227-5_S5.CG001v4.0.8	max normalized_alignments:18
DNA-22910-CG001Qv42Run227-5_S5.CG001v4.0.8	max number of variants:29
DNA-22910-CG001Qv42Run227-5_S5.CG001v4.0.8	average number of variants:2.24
DNA-22910-CG001Qv42Run227-5_S5.CG001v4.0.20	average number of variants:1.53
DNA-22910-CG001Qv42Run227-5_S5.CG001v4.0.21	average number of variants:1.52
DNA-22910-CG001Qv42Run227-5_S5.CG001v4.0.40	max number of variants:7
DNA-22910-CG001Qv42Run227-5_S5.CG001v4.0.44	average number of variants:1.66
DNA-22910-CG001Qv42Run227-5_S5.CG001v4.0.51	average number of variants:1.63
DNA-22910-CG001Qv42Run227-5_S5.CG001v4.0.53	average number of variants:1.56
DNA-22910-CG001Qv42Run227-5_S5.CG001v4.0.54	average number of variants:1.58
DNA-22910-CG001Qv42Run227-5_S5.CG001v4.0.55	average number of variants:1.63
DNA-22910-CG001Qv42Run227-5_S5.CG001v4.0.58	average number of variants:1.72
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.56	max number of variants:6
DNA-22910-CG001Qv42Run227-5_S5.CG001v3.4.62	average number of variants:1.53
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.31	max number of variants:7
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.89	max number of variants:7
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.91	max normalized_alignments:23
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.91	max number of variants:23
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.91	average number of variants:3.49
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.94	average number of variants:1.56
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.96	max number of variants:6
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.105	max normalized_alignments:16
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.105	max number of variants:42
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.105	average number of variants:6.56
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.118	average number of variants:1.59
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.130	no normalized_alignment
DNA-22966-CG001Qv42Run227-6_S6.CG001v3.4.130	no variant
DNA-22966-CG001Qv42Run227-6_S6.CG001v4.0.11	max number of variants:6
DNA-22966-CG001Qv42Run227-6_S6.CG001v4.0.11	average number of variants:1.6
DNA-22966-CG001Qv42Run227-6_S6.CG001v4.0.21	average number of variants:1.61
DNA-22966-CG001Qv42Run227-6_S6.CG001v4.0.32	average number of variants:1.55
DNA-22966-CG001Qv42Run227-6_S6.CG001v4.0.34	average number of variants:1.58
DNA-22966-CG001Qv42Run227-6_S6.CG001v4.0.44	average number of variants:1.62
DNA-22966-CG001Qv42Run227-6_S6.CG001v4.0.45	max number of variants:6
DNA-22966-CG001Qv42Run227-6_S6.CG001v4.0.51	average number of variants:1.68
