DNA-23037-CG001Qv42Run228-4_S4.CG001v3.4.130	no read
DNA-23037-CG001Qv42Run228-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:164269 0.03841
DNA-23038-CG001Qv42Run228-5_S5.CG001v3.4.130	no read
DNA-23038-CG001Qv42Run228-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:165604 0.03828
DNA-23100-CG001Qv42Run228-6_S6.CG001v3.4.130	no read
DNA-23100-CG001Qv42Run228-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:88755 0.03816
DNA-23101-CG001Qv42Run228-7_S7.CG001v3.4.130	no read
DNA-23101-CG001Qv42Run228-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:95415 0.03917
DNA-23102-CG001Qv42Run228-8_S8.CG001v3.4.130	no read
DNA-23102-CG001Qv42Run228-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:84735 0.03952
DNA-23103-CG001Qv42Run228-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:142040 0.03827
DNA-23104-CG001Qv42Run228-10_S10.CG001v3.4.130	no read
DNA-23104-CG001Qv42Run228-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:150504 0.03913
DNA-23105-CG001Qv42Run228-11_S11.CG001v3.4.130	no read
DNA-23105-CG001Qv42Run228-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:81559 0.03785
DNA-23106-CG001Qv42Run228-12_S12.CG001v3.4.130	no read
DNA-23106-CG001Qv42Run228-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:122309 0.03865
DNA-23107-CG001Qv42Run228-13_S13.CG001v3.4.130	no read
DNA-23107-CG001Qv42Run228-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:86750 0.03777
DNA-23108-CG001Qv42Run228-14_S14.CG001v3.4.130	no read
DNA-23108-CG001Qv42Run228-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:126358 0.03865
DNA-23109-CG001Qv42Run228-15_S15.CG001v3.4.130	no read
DNA-23109-CG001Qv42Run228-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:88964 0.03783
DNA-23110-CG001Qv42Run228-16_S16.CG001v3.4.130	no read
DNA-23110-CG001Qv42Run228-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:172226 0.03794
DNA-23111-CG001Qv42Run228-17_S17.CG001v3.4.130	no read
DNA-23111-CG001Qv42Run228-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:67381 0.03811
DNA-23155-CG001Qv42Run228-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:113731 0.0375
DNA-23156-CG001Qv42Run228-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:109415 0.03863
DNA-23157-CG001Qv42Run228-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:115215 0.03824
DNA-23158-CG001Qv42Run228-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:237869 0.03865
DNA-23159-CG001Qv42Run228-22_S22.CG001v3.4.130	no read
DNA-23159-CG001Qv42Run228-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:167837 0.03742
DNA-23160-CG001Qv42Run228-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:168157 0.03762
NF-CG001Qv42Run228-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run228-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:139800 0.03819
QMRS-CG001Qv42Run228-24_S24.CG001v3.4.130	no read
QMRS-CG001Qv42Run228-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:127865 0.03786
QMRS-CG001Qv42Run228-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run228-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:145113 0.03866
