DNA-23401-CG001Qv42Run232-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:90298 0.04127
DNA-23452-CG001Qv42Run232-5_S5.CG001v3.4.130	no read
DNA-23452-CG001Qv42Run232-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:142990 0.03771
DNA-23453-CG001Qv42Run232-6_S6.CG001v3.4.130	no read
DNA-23453-CG001Qv42Run232-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:84745 0.03788
DNA-23454-CG001Qv42Run232-7_S7.CG001v3.4.130	no read
DNA-23454-CG001Qv42Run232-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:122555 0.03913
DNA-23455-CG001Qv42Run232-8_S8.CG001v3.4.130	no read
DNA-23455-CG001Qv42Run232-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:111666 0.03899
DNA-23456-CG001Qv42Run232-9_S9.CG001v3.4.130	no read
DNA-23456-CG001Qv42Run232-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:109150 0.04218
DNA-23457-CG001Qv42Run232-10_S10.CG001v3.4.130	no read
DNA-23457-CG001Qv42Run232-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:163245 0.04009
DNA-23458-CG001Qv42Run232-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:85919 0.03779
DNA-23459-CG001Qv42Run232-12_S12.CG001v3.4.130	no read
DNA-23459-CG001Qv42Run232-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:110340 0.039
DNA-23460-CG001Qv42Run232-13_S13.CG001v3.4.130	no read
DNA-23460-CG001Qv42Run232-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:101104 0.03745
DNA-23461-CG001Qv42Run232-14_S14.CG001v3.4.130	no read
DNA-23461-CG001Qv42Run232-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:98501 0.04168
DNA-23462-CG001Qv42Run232-15_S15.CG001v3.4.130	no read
DNA-23462-CG001Qv42Run232-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:101583 0.03943
DNA-23463-CG001Qv42Run232-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:83390 0.02185
DNA-23464-CG001Qv42Run232-17_S17.CG001v3.4.130	no read
DNA-23464-CG001Qv42Run232-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:155442 0.03823
DNA-23465-CG001Qv42Run232-19_S19.CG001v3.4.130	no read
DNA-23465-CG001Qv42Run232-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:133012 0.0387
DNA-23550-CG001Qv42Run232-18_S18.CG001v3.4.130	no read
DNA-23550-CG001Qv42Run232-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:117060 0.03842
DNA-23551-CG001Qv42Run232-20_S20.CG001v3.4.130	no read
DNA-23551-CG001Qv42Run232-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:105554 0.0407
DNA-23552-CG001Qv42Run232-21_S21.CG001v3.4.130	no read
DNA-23552-CG001Qv42Run232-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:122022 0.0384
DNA-23553-CG001Qv42Run232-22_S22.CG001v3.4.130	no read
DNA-23553-CG001Qv42Run232-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:180624 0.03849
DNA-23554-CG001Qv42Run232-23_S23.CG001v3.4.130	no read
DNA-23554-CG001Qv42Run232-23_S23.CG001v4.0.40	nb/ratio of ambiguous positions:125615 0.03848
DNA-23555-CG001Qv42Run232-24_S24.CG001v4.0.40	nb/ratio of ambiguous positions:146126 0.03752
NF-CG001Qv42Run232-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run232-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:129585 0.0377
QMRS-CG001Qv42Run232-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run232-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:144177 0.03895
