DNA-23556-CG001Qv42Run234-4_S4.CG001v3.4.130	no read in clusters
DNA-23556-CG001Qv42Run234-4_S4.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-23760-CG001Qv42Run234-7_S7.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-23761-CG001Qv42Run234-8_S8.CG001v3.4.130	no read in clusters
DNA-23761-CG001Qv42Run234-8_S8.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-23762-CG001Qv42Run234-9_S9.CG001v3.4.130	no read in clusters
DNA-23762-CG001Qv42Run234-9_S9.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-23889-CG001Qv42Run234-10_S10.CG001v3.4.130	no read in clusters
DNA-23889-CG001Qv42Run234-10_S10.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-23890-CG001Qv42Run234-11_S11.CG001v3.4.130	no read in clusters
DNA-23890-CG001Qv42Run234-11_S11.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-23891-CG001Qv42Run234-12_S12.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-23892-CG001Qv42Run234-13_S13.CG001v3.4.130	no read in clusters
DNA-23892-CG001Qv42Run234-13_S13.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-23893-CG001Qv42Run234-14_S14.CG001v3.4.130	no read in clusters
DNA-23893-CG001Qv42Run234-14_S14.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-23894-CG001Qv42Run234-15_S15.CG001v3.4.130	no read in clusters
DNA-23894-CG001Qv42Run234-15_S15.CG001v4.0.40	ratio of reads in largest cluster:0.01
DNA-23895-CG001Qv42Run234-16_S16.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-23896-CG001Qv42Run234-17_S17.CG001v3.4.130	no read in clusters
DNA-23896-CG001Qv42Run234-17_S17.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-23897-CG001Qv42Run234-18_S18.CG001v3.4.130	no read in clusters
DNA-23897-CG001Qv42Run234-18_S18.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-23898-CG001Qv42Run234-19_S19.CG001v3.4.130	no read in clusters
DNA-23898-CG001Qv42Run234-19_S19.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24116-CG001Qv42Run234-20_S20.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24117-CG001Qv42Run234-21_S21.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24118-CG001Qv42Run234-22_S22.CG001v3.4.130	no read in clusters
DNA-24118-CG001Qv42Run234-22_S22.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24119-CG001Qv42Run234-23_S23.CG001v3.4.130	no read in clusters
DNA-24119-CG001Qv42Run234-23_S23.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24120-CG001Qv42Run234-24_S24.CG001v3.4.130	no read in clusters
DNA-24120-CG001Qv42Run234-24_S24.CG001v4.0.40	ratio of reads in largest cluster:0.0
DNA-24125-CG001Qv42Run234-6_S6.CG001v3.4.130	no read in clusters
DNA-24125-CG001Qv42Run234-6_S6.CG001v4.0.40	ratio of reads in largest cluster:0.01
DNA-24126-CG001Qv42Run234-5_S5.CG001v4.0.40	ratio of reads in largest cluster:0.0
NF-CG001Qv42Run234-3_S3.CG001v3.4.130	no read in clusters
NF-CG001Qv42Run234-3_S3.CG001v4.0.40	ratio of reads in largest cluster:0.0
QMRS-CG001Qv42Run234-2_S2.CG001v3.4.130	no read in clusters
QMRS-CG001Qv42Run234-2_S2.CG001v4.0.40	ratio of reads in largest cluster:0.0
