DNA-24374-CG001Qv42Run240-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:99548 0.03613
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.25	no read
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.39	no read
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.98	no read
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.130	no read
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.7	no read
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.8	no read
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.21	no read
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:119670 0.04258
DNA-24463-CG001Qv42Run240-5_S5.CG001v4.0.58	no read
DNA-24463-CG001Qv42Run240-5_S5.CG001v3.4.66	no read
DNA-24464-CG001Qv42Run240-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:108561 0.03614
DNA-24465-CG001Qv42Run240-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:71133 0.03596
DNA-24471-CG001Qv42Run240-8_S8.CG001v3.4.130	no read
DNA-24471-CG001Qv42Run240-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:106524 0.03723
DNA-24472-CG001Qv42Run240-9_S9.CG001v3.4.130	no read
DNA-24472-CG001Qv42Run240-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:91969 0.03527
DNA-24473-CG001Qv42Run240-10_S10.CG001v3.4.130	no read
DNA-24473-CG001Qv42Run240-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:108097 0.03712
DNA-24474-CG001Qv42Run240-11_S11.CG001v3.4.130	no read
DNA-24474-CG001Qv42Run240-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:139400 0.03642
DNA-24477-CG001Qv42Run240-12_S12.CG001v3.4.130	no read
DNA-24477-CG001Qv42Run240-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:117965 0.03589
DNA-24478-CG001Qv42Run240-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:119953 0.03583
DNA-24479-CG001Qv42Run240-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:92833 0.03597
DNA-24481-CG001Qv42Run240-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:100464 0.03692
DNA-24561-CG001Qv42Run240-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:101124 0.03652
DNA-24562-CG001Qv42Run240-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:122400 0.03569
DNA-24622-CG001Qv42Run240-18_S18.CG001v3.4.130	no read
DNA-24622-CG001Qv42Run240-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:123358 0.03707
NF-CG001Qv42Run240-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run240-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:106256 0.03391
QMRS-CG001Qv42Run240-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run240-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:111558 0.04382
