DNA-24805-CG001Qv42Run246-5_S5.CG001v3.4.130	no read
DNA-24805-CG001Qv42Run246-5_S5.CG001v4.0.40	nb/ratio of ambiguous positions:91302 0.0504
DNA-24882-CG001Qv42Run246-4_S4.CG001v4.0.40	nb/ratio of ambiguous positions:104366 0.04542
DNA-24981-CG001Qv42Run246-6_S6.CG001v3.4.130	no read
DNA-24981-CG001Qv42Run246-6_S6.CG001v4.0.40	nb/ratio of ambiguous positions:127343 0.04557
DNA-24982-CG001Qv42Run246-7_S7.CG001v3.4.130	no read
DNA-24982-CG001Qv42Run246-7_S7.CG001v4.0.40	nb/ratio of ambiguous positions:95794 0.04541
DNA-24983-CG001Qv42Run246-8_S8.CG001v3.4.130	no read
DNA-24983-CG001Qv42Run246-8_S8.CG001v4.0.40	nb/ratio of ambiguous positions:134056 0.0468
DNA-24984-CG001Qv42Run246-9_S9.CG001v3.4.130	no read
DNA-24984-CG001Qv42Run246-9_S9.CG001v4.0.40	nb/ratio of ambiguous positions:116141 0.04487
DNA-25043-CG001Qv42Run246-10_S10.CG001v3.4.130	no read
DNA-25043-CG001Qv42Run246-10_S10.CG001v4.0.40	nb/ratio of ambiguous positions:133564 0.04643
DNA-25044-CG001Qv42Run246-11_S11.CG001v3.4.130	no read
DNA-25044-CG001Qv42Run246-11_S11.CG001v4.0.40	nb/ratio of ambiguous positions:161132 0.04575
DNA-25045-CG001Qv42Run246-12_S12.CG001v4.0.40	nb/ratio of ambiguous positions:146038 0.0453
DNA-25046-CG001Qv42Run246-13_S13.CG001v4.0.40	nb/ratio of ambiguous positions:135189 0.04541
DNA-25047-CG001Qv42Run246-14_S14.CG001v3.4.130	no read
DNA-25047-CG001Qv42Run246-14_S14.CG001v4.0.40	nb/ratio of ambiguous positions:126866 0.04531
DNA-25048-CG001Qv42Run246-15_S15.CG001v3.4.130	no read
DNA-25048-CG001Qv42Run246-15_S15.CG001v4.0.40	nb/ratio of ambiguous positions:132909 0.04632
DNA-25049-CG001Qv42Run246-16_S16.CG001v3.4.130	no read
DNA-25049-CG001Qv42Run246-16_S16.CG001v4.0.40	nb/ratio of ambiguous positions:147064 0.04577
DNA-25050-CG001Qv42Run246-17_S17.CG001v4.0.40	nb/ratio of ambiguous positions:116156 0.04518
DNA-25051-CG001Qv42Run246-18_S18.CG001v4.0.40	nb/ratio of ambiguous positions:158919 0.04615
DNA-25052-CG001Qv42Run246-19_S19.CG001v3.4.130	no read
DNA-25052-CG001Qv42Run246-19_S19.CG001v4.0.40	nb/ratio of ambiguous positions:107419 0.04559
DNA-25053-CG001Qv42Run246-20_S20.CG001v4.0.40	nb/ratio of ambiguous positions:83171 0.0439
DNA-25054-CG001Qv42Run246-21_S21.CG001v3.4.130	no read
DNA-25054-CG001Qv42Run246-21_S21.CG001v4.0.40	nb/ratio of ambiguous positions:153497 0.04653
DNA-25055-CG001Qv42Run246-22_S22.CG001v4.0.40	nb/ratio of ambiguous positions:128182 0.0441
NF-CG001Qv42Run246-3_S3.CG001v3.4.130	no read
NF-CG001Qv42Run246-3_S3.CG001v4.0.40	nb/ratio of ambiguous positions:100937 0.04373
QMRS-CG001Qv42Run246-2_S2.CG001v3.4.130	no read
QMRS-CG001Qv42Run246-2_S2.CG001v4.0.40	nb/ratio of ambiguous positions:91504 0.05131
